chrom	start	end	comp	layer	GPSeq
chr1	14300001	14400000	B1	6	0.523586781529798
chr1	14400001	14500000	B1	6	0.582637584383808
chr1	14500001	14600000	B1	5	0.490764317524246
chr1	14600001	14700000	B1	6	0.524808633180507
chr1	14700001	14800000	B1	6	0.567772148776187
chr1	14800001	14900000	B1	6	0.584278732705206
chr1	14900001	15000000	B1	5	0.481566087237856
chr1	15000001	15100000	B1	7	0.606209892168977
chr1	15100001	15200000	B1	7	0.686847575838981
chr1	15200001	15300000	B1	7	0.637850362329145
chr1	15300001	15400000	A2	6	0.590228788966774
chr1	15400001	15500000	A2	8	0.725141973559832
chr1	15500001	15600000	A2	7	0.623328965975419
chr1	15600001	15700000	A2	7	0.641495860023389
chr1	15700001	15800000	A2	7	0.686863316452555
chr1	15800001	15900000	A1	8	0.778912544799283
chr1	15900001	16000000	A1	8	0.726681239080817
chr1	16000001	16100000	A1	8	0.754228111032481
chr1	16100001	16200000	A1	9	0.837969946444597
chr1	16200001	16300000	A1	7	0.689574131357734
chr1	16300001	16400000	A2	9	0.869808097890384
chr1	16400001	16500000	A1	9	0.861535510768613
chr1	16500001	16600000	A1	9	0.802821328204271
chr1	16600001	16700000	A1	7	0.62313289539108
chr1	16700001	16800000	A1	9	0.822849720648293
chr1	16800001	16900000	A1	8	0.734936920950065
chr1	16900001	17000000	A1	10	1
chr1	17000001	17100000	A1	9	0.873944489400653
chr1	17100001	17200000	A2	10	1
chr1	17200001	17300000	A1	9	0.889136898054681
chr1	17300001	17400000	A1	9	0.88769602186639
chr1	17400001	17500000	A2	10	0.950470846647233
chr1	17500001	17600000	B1	10	0.931018021353838
chr1	17600001	17700000	A1	10	0.924025701072383
chr1	17700001	17800000	A1	9	0.872985643886668
chr1	17800001	17900000	A1	10	0.903866268460332
chr1	17900001	18000000	A2	9	0.802757100469573
chr1	18000001	18100000	B1	9	0.811246562093738
chr1	18100001	18200000	B1	9	0.864333172977781
chr1	18200001	18300000	B1	9	0.842806902713169
chr1	18300001	18400000	B1	8	0.764420678153926
chr1	18400001	18500000	B1	8	0.752527268897308
chr1	18500001	18600000	B1	10	0.919997297503966
chr1	18600001	18700000	B1	10	0.967304600795842
chr1	18700001	18800000	B1	9	0.892802459293387
chr1	18800001	18900000	B1	9	0.896202106300111
chr1	18900001	19000000	B1	9	0.844053810312744
chr1	19000001	19100000	B1	9	0.863026483712568
chr1	19100001	19200000	B1	9	0.87654558021282
chr1	19200001	19300000	B1	9	0.87237524771934
chr1	19300001	19400000	B1	10	0.950581350695775
chr1	19400001	19500000	A2	10	0.976924330268963
chr1	19500001	19600000	A1	9	0.893964855505949
chr1	19600001	19700000	A1	10	0.942899304684299
chr1	19700001	19800000	A1	8	0.73669093688206
chr1	19800001	19900000	A1	7	0.662563788467707
chr1	19900001	20000000	A1	8	0.736968594887947
chr1	20000001	20100000	A1	8	0.704728511571051
chr1	20100001	20200000	A1	8	0.74141222223004
chr1	20200001	20300000	B1	7	0.643853781225567
chr1	20300001	20400000	B1	8	0.780802360268038
chr1	20400001	20500000	B1	9	0.878493923930294
chr1	20500001	20600000	B1	8	0.764893140560272
chr1	20600001	20700000	B1	9	0.899777295556413
chr1	20700001	20800000	B1	9	0.879039589345651
chr1	20800001	20900000	A2	8	0.781769616815619
chr1	20900001	21000000	A1	9	0.836296002793786
chr1	21000001	21100000	A1	9	0.816271072724383
chr1	21100001	21200000	A1	6	0.570001847631732
chr1	21200001	21300000	A1	7	0.602929613288702
chr1	21300001	21400000	A1	6	0.576584670776133
chr1	21400001	21500000	A1	9	0.845295038298331
chr1	21500001	21600000	A2	9	0.868591345098538
chr1	21600001	21700000	A2	8	0.779324244780755
chr1	21700001	21800000	A1	8	0.774276339777912
chr1	21800001	21900000	A2	9	0.842797995023858
chr1	21900001	22000000	A2	10	1
chr1	22000001	22100000	A1	8	0.733871698151846
chr1	22100001	22200000	A1	10	1
chr1	22200001	22300000	A1	9	0.800506351903605
chr1	22300001	22400000	A1	9	0.804695343289297
chr1	22400001	22500000	A2	9	0.808843566230527
chr1	22500001	22600000	A2	9	0.89589782534768
chr1	22600001	22700000	A2	8	0.761364663616318
chr1	22700001	22800000	A2	9	0.826781857849105
chr1	22800001	22900000	A2	10	0.97863959518181
chr1	22900001	23000000	A2	9	0.852407186503659
chr1	23000001	23100000	A2	9	0.840250971226927
chr1	23100001	23200000	A1	9	0.885956999357432
chr1	23200001	23300000	A2	9	0.847462280991913
chr1	23300001	23400000	A1	6	0.596498337443354
chr1	23400001	23500000	A1	8	0.722607659477435
chr1	23500001	23600000	A1	8	0.707653485964388
chr1	23600001	23700000	A1	8	0.744668137229901
chr1	23700001	23800000	A1	9	0.824829765071191
chr1	23800001	23900000	A1	9	0.856781132555099
chr1	23900001	24000000	A1	8	0.796406415573134
chr1	24000001	24100000	A1	10	0.965448090411854
chr1	24100001	24200000	A1	9	0.867827947046082
chr1	24200001	24300000	A1	9	0.84944142349329
chr1	24300001	24400000	A1	9	0.806817133439438
chr1	24400001	24500000	A2	9	0.884382980904809
chr1	24500001	24600000	A1	8	0.722448584076223
chr1	24600001	24700000	A1	9	0.889496062189479
chr1	24700001	24800000	A2	7	0.659544073205789
chr1	24800001	24900000	A1	8	0.787601400409104
chr1	24900001	25000000	A1	7	0.678180170822939
chr1	25000001	25100000	A1	8	0.728525751735545
chr1	25100001	25200000	A1	9	0.836596405359353
chr1	25200001	25300000	A2	9	0.896149358084326
chr1	25300001	25400000	A2	8	0.784941132919469
chr1	25400001	25500000	A2	9	0.838920987694597
chr1	25500001	25600000	A1	9	0.846712019044384
chr1	25600001	25700000	A1	10	1
chr1	25700001	25800000	A1	8	0.759900782828997
chr1	25800001	25900000	A1	9	0.813917208208556
chr1	25900001	26000000	A1	9	0.809064931095973
chr1	26000001	26100000	A1	9	0.883532286393894
chr1	26100001	26200000	A1	7	0.690809373091595
chr1	26200001	26300000	A1	9	0.825678513496972
chr1	26300001	26400000	A1	9	0.870516366960873
chr1	26400001	26500000	A1	9	0.810335392584703
chr1	26500001	26600000	A1	10	0.921314525690501
chr1	26600001	26700000	A1	9	0.801154956947323
chr1	26700001	26800000	A1	9	0.809282628470037
chr1	26800001	26900000	A1	9	0.867489970356601
chr1	26900001	27000000	A1	8	0.739619755270754
chr1	27000001	27100000	A1	8	0.726279041370807
chr1	27100001	27200000	A1	8	0.769529479274245
chr1	27200001	27300000	A1	10	0.993392283062089
chr1	27300001	27400000	A1	9	0.821536061758069
chr1	27400001	27500000	A1	9	0.819366270911163
chr1	27500001	27600000	A1	8	0.706020406512089
chr1	27600001	27700000	A1	10	1
chr1	27700001	27800000	A1	9	0.800649218344109
chr1	27800001	27900000	A1	9	0.854734509472512
chr1	27900001	28000000	A1	8	0.756839377433952
chr1	28000001	28100000	A1	8	0.734992789040513
chr1	28100001	28200000	A1	9	0.831628256995585
chr1	28200001	28300000	A1	8	0.756043508232042
chr1	28300001	28400000	A1	8	0.744633784448072
chr1	28400001	28500000	A1	7	0.669825131177097
chr1	28500001	28600000	A1	8	0.743677257593198
chr1	28600001	28700000	A1	9	0.876825679546227
chr1	28700001	28800000	A1	9	0.817760955077221
chr1	28800001	28900000	A1	9	0.883525941314361
chr1	28900001	29000000	A1	9	0.862134088707625
chr1	29000001	29100000	A1	8	0.775010694603186
chr1	29100001	29200000	A1	9	0.824910945318636
chr1	29200001	29300000	A1	8	0.723173554527073
chr1	29300001	29400000	A1	7	0.692005803981995
chr1	29400001	29500000	A1	7	0.637580188462182
chr1	29500001	29600000	A2	7	0.651702872965786
chr1	29600001	29700000	A2	8	0.789141206989879
chr1	29700001	29800000	B1	8	0.768467056526735
chr1	29800001	29900000	B1	9	0.855584086152451
chr1	30000001	30100000	B1	9	0.842099416583677
chr1	30100001	30200000	B1	8	0.758145756917433
chr1	30200001	30300000	B1	8	0.762029024397991
chr1	30300001	30400000	B1	9	0.879982666623053
chr1	30400001	30500000	B1	8	0.78892459571782
chr1	30500001	30600000	B1	7	0.609862014704826
chr1	30600001	30700000	B1	7	0.682710412713227
chr1	30700001	30800000	B1	9	0.852806566377756
chr1	30800001	30900000	B1	9	0.80890517802265
chr1	30900001	31000000	B1	8	0.759640836143853
chr1	31000001	31100000	B1	8	0.767393631844744
chr1	31100001	31200000	B1	9	0.845497499686374
chr1	31200001	31300000	A2	9	0.881176011166251
chr1	31300001	31400000	A2	9	0.818817770282374
chr1	31400001	31500000	A1	8	0.708891889879845
chr1	31500001	31600000	A1	8	0.75703717462473
chr1	31600001	31700000	A1	9	0.812581327186072
chr1	31700001	31800000	A1	8	0.704611445115805
chr1	31800001	31900000	A1	8	0.704360862952037
chr1	31900001	32000000	A2	8	0.74647123072535
chr1	32000001	32100000	A2	8	0.763145538902723
chr1	32100001	32200000	A2	10	0.911953171057182
chr1	32200001	32300000	A2	10	0.910413726066657
chr1	32300001	32400000	A1	8	0.780140984613623
chr1	32400001	32500000	A1	8	0.775256952952842
chr1	32500001	32600000	A1	7	0.627091969563587
chr1	32600001	32700000	A1	8	0.79673936522843
chr1	32700001	32800000	A1	9	0.838426941140772
chr1	32800001	32900000	A1	9	0.864434211808249
chr1	32900001	33000000	A1	8	0.768976479387625
chr1	33000001	33100000	A1	7	0.664828304012608
chr1	33100001	33200000	A1	7	0.656167336258134
chr1	33200001	33300000	A1	8	0.711979625948576
chr1	33300001	33400000	A1	7	0.699972305623425
chr1	33400001	33500000	A1	7	0.63150071154067
chr1	33500001	33600000	A2	7	0.64228098335962
chr1	33600001	33700000	A2	8	0.792834874931914
chr1	33700001	33800000	A2	8	0.781403662711081
chr1	33800001	33900000	B1	6	0.531321501831662
chr1	33900001	34000000	B1	6	0.555635402721897
chr1	34000001	34100000	B1	8	0.786272626320824
chr1	34100001	34200000	B1	10	0.902735087063734
chr1	34200001	34300000	B1	6	0.592628106514082
chr1	34300001	34400000	B1	7	0.67686560943541
chr1	34400001	34500000	B1	7	0.66843613079866
chr1	34500001	34600000	B1	7	0.671809989905013
chr1	34600001	34700000	B1	7	0.601266386064979
chr1	34700001	34800000	B1	6	0.592998032336723
chr1	34800001	34900000	B1	7	0.623902511475563
chr1	34900001	35000000	B1	7	0.656676167003511
chr1	35000001	35100000	B1	7	0.601507991805943
chr1	35100001	35200000	B1	7	0.657951906593122
chr1	35200001	35300000	B1	7	0.656926727118078
chr1	35300001	35400000	B1	7	0.620686821836201
chr1	35400001	35500000	A2	8	0.736709267676065
chr1	35500001	35600000	A1	7	0.651916439820269
chr1	35600001	35700000	A1	8	0.735256571918415
chr1	35700001	35800000	A1	6	0.586269652351573
chr1	35800001	35900000	A1	7	0.627816680561088
chr1	35900001	36000000	A2	7	0.643079192591183
chr1	36000001	36100000	A2	8	0.708492393367054
chr1	36100001	36200000	A1	7	0.660127591258348
chr1	36200001	36300000	A1	6	0.540228284574762
chr1	36300001	36400000	A1	8	0.717140287710842
chr1	36400001	36500000	A1	8	0.751431486484737
chr1	36500001	36600000	A1	7	0.662163158446833
chr1	36600001	36700000	A1	7	0.635179812018305
chr1	36700001	36800000	A1	8	0.782914708660665
chr1	36800001	36900000	A1	8	0.721611494837995
chr1	36900001	37000000	A1	7	0.693354825597699
chr1	37000001	37100000	B1	9	0.895159560195202
chr1	37100001	37200000	B1	9	0.84327017171546
chr1	37200001	37300000	B1	9	0.847563545750282
chr1	37300001	37400000	B1	8	0.763386890050252
chr1	37400001	37500000	B1	8	0.758203927325303
chr1	37500001	37600000	B1	8	0.711041152642419
chr1	37600001	37700000	B1	9	0.823033376962579
chr1	37700001	37800000	B1	8	0.792634685140016
chr1	37800001	37900000	B1	8	0.738263117830409
chr1	37900001	38000000	A2	8	0.791283794105883
chr1	38000001	38100000	A2	8	0.740018847933249
chr1	38100001	38200000	A2	8	0.720620926478703
chr1	38200001	38300000	A2	8	0.728274964081229
chr1	38300001	38400000	A1	6	0.592217797364525
chr1	38400001	38500000	A2	6	0.590355640338532
chr1	38500001	38600000	A2	8	0.756304090049948
chr1	38600001	38700000	A2	7	0.660891965764068
chr1	38700001	38800000	B1	7	0.698002090279618
chr1	38800001	38900000	B1	7	0.648512780701208
chr1	38900001	39000000	B1	7	0.695710918319987
chr1	39000001	39100000	B1	8	0.704592917003374
chr1	39100001	39200000	B1	6	0.596882452261323
chr1	39200001	39300000	A2	7	0.694851589165955
chr1	39300001	39400000	A1	8	0.728425013258172
chr1	39400001	39500000	A1	7	0.622358131640423
chr1	39500001	39600000	A1	8	0.707792929117475
chr1	39600001	39700000	A1	7	0.629678577596508
chr1	39700001	39800000	A2	8	0.713406178279573
chr1	39800001	39900000	A1	8	0.700351636602044
chr1	39900001	40000000	A2	7	0.672278199386258
chr1	40000001	40100000	A2	8	0.790127752351334
chr1	40100001	40200000	A2	8	0.789614209941577
chr1	40200001	40300000	A2	8	0.783555289024769
chr1	40300001	40400000	A1	6	0.597450074049688
chr1	40400001	40500000	A1	9	0.847127370039557
chr1	40500001	40600000	A1	8	0.739014367227994
chr1	40600001	40700000	A1	6	0.570266589109225
chr1	40700001	40800000	A1	7	0.636163089578576
chr1	40800001	40900000	A2	6	0.599927473099015
chr1	40900001	41000000	A1	9	0.855320356821263
chr1	41000001	41100000	A2	9	0.842811313071097
chr1	41100001	41200000	A2	7	0.664434710363286
chr1	41200001	41300000	A2	9	0.820566507701846
chr1	41300001	41400000	A2	8	0.777291202663624
chr1	41400001	41500000	A2	8	0.737192350516767
chr1	41500001	41600000	A2	8	0.721255772787441
chr1	41600001	41700000	A2	6	0.559198181444061
chr1	41700001	41800000	A2	7	0.698510357862754
chr1	41800001	41900000	A2	10	0.930136576281725
chr1	41900001	42000000	A2	9	0.852022702457497
chr1	42000001	42100000	B1	7	0.645144883239568
chr1	42100001	42200000	B1	9	0.849248269109534
chr1	42200001	42300000	B1	8	0.744447309038221
chr1	42300001	42400000	B1	8	0.710378933877215
chr1	42400001	42500000	B1	6	0.553416806642546
chr1	42500001	42600000	B1	8	0.707490699152792
chr1	42600001	42700000	A2	6	0.597687670009363
chr1	42700001	42800000	A2	6	0.581641415483454
chr1	42800001	42900000	A2	7	0.640666448961253
chr1	42900001	43000000	A2	7	0.619942835146963
chr1	43000001	43100000	A2	7	0.666108995711364
chr1	43100001	43200000	A1	8	0.719576202522704
chr1	43200001	43300000	A2	8	0.730142475695183
chr1	43300001	43400000	A2	7	0.653941287220011
chr1	43400001	43500000	A1	10	0.916584667522173
chr1	43500001	43600000	A2	10	0.980808049655606
chr1	43600001	43700000	A2	9	0.824152860120289
chr1	43700001	43800000	A2	9	0.826029566380325
chr1	43800001	43900000	A2	8	0.777195726533602
chr1	43900001	44000000	A2	9	0.831602662165451
chr1	44000001	44100000	A2	10	0.958551517312042
chr1	44100001	44200000	A1	9	0.816119978362995
chr1	44200001	44300000	A2	8	0.727363541152658
chr1	44300001	44400000	A2	9	0.890065031896707
chr1	44400001	44500000	A2	9	0.808975731019108
chr1	44500001	44600000	A2	8	0.735207063450471
chr1	44600001	44700000	A2	7	0.635951055559994
chr1	44700001	44800000	A2	9	0.852026759795574
chr1	44800001	44900000	A2	7	0.689892422367127
chr1	44900001	45000000	A1	6	0.561843964872157
chr1	45000001	45100000	A2	8	0.746651649423927
chr1	45100001	45200000	A2	9	0.840142834249116
chr1	45200001	45300000	A1	9	0.829801628329641
chr1	45300001	45400000	A1	7	0.641760800321411
chr1	45400001	45500000	A2	7	0.634808990783221
chr1	45500001	45600000	A2	7	0.686568899055499
chr1	45600001	45700000	A2	6	0.545924295293662
chr1	45700001	45800000	A2	7	0.659076545271579
chr1	45800001	45900000	A1	7	0.622331583313406
chr1	45900001	46000000	A1	8	0.733466759716523
chr1	46000001	46100000	A2	7	0.697295590881985
chr1	46100001	46200000	A1	6	0.559481220757994
chr1	46200001	46300000	A1	6	0.583317665946144
chr1	46300001	46400000	A2	6	0.573034493678704
chr1	46400001	46500000	A2	6	0.590945289841443
chr1	46500001	46600000	A2	7	0.678636694823262
chr1	46600001	46700000	A2	7	0.682031102973468
chr1	46700001	46800000	A1	8	0.71579234769068
chr1	46800001	46900000	A2	7	0.688840745275675
chr1	46900001	47000000	A2	7	0.651562274261087
chr1	47000001	47100000	A2	7	0.652614857594604
chr1	47100001	47200000	A2	5	0.45102118580438
chr1	47200001	47300000	B1	6	0.557507407632425
chr1	47300001	47400000	B3	6	0.558937979083748
chr1	47400001	47500000	B3	6	0.537144841295003
chr1	47500001	47600000	A2	5	0.445254047632575
chr1	47600001	47700000	A2	6	0.527618205963402
chr1	47700001	47800000	A2	5	0.421985410731125
chr1	47800001	47900000	A2	5	0.441646614451123
chr1	47900001	48000000	A2	5	0.474995905543105
chr1	48000001	48100000	B1	6	0.548138109150378
chr1	48100001	48200000	B1	6	0.503131367697883
chr1	48200001	48300000	B3	6	0.599780572799094
chr1	48300001	48400000	B3	6	0.556573672005665
chr1	48400001	48500000	B3	5	0.498025291493226
chr1	48500001	48600000	B3	5	0.407016300009032
chr1	48600001	48700000	B3	5	0.41356716803763
chr1	48700001	48800000	B3	5	0.401859439115091
chr1	48800001	48900000	B3	4	0.336481404896469
chr1	48900001	49000000	B1	6	0.511811212856817
chr1	49000001	49100000	B3	4	0.328620230879254
chr1	49100001	49200000	B3	5	0.4610959218298
chr1	49200001	49300000	B3	4	0.390575028342005
chr1	49300001	49400000	B3	4	0.338649582166306
chr1	49400001	49500000	B3	4	0.338609637206724
chr1	49500001	49600000	B3	4	0.384564837380235
chr1	49600001	49700000	B3	4	0.33037491212196
chr1	49700001	49800000	B3	7	0.655851791785545
chr1	49800001	49900000	B3	4	0.385499260794396
chr1	49900001	50000000	B3	5	0.447279847815401
chr1	50000001	50100000	B3	5	0.469214699712607
chr1	50100001	50200000	B3	5	0.428736650097545
chr1	50200001	50300000	B3	4	0.398460506306199
chr1	50300001	50400000	B3	7	0.607142803292453
chr1	50400001	50500000	B3	4	0.390087701482871
chr1	50500001	50600000	B3	4	0.370857020793544
chr1	50600001	50700000	B3	4	0.383109059030921
chr1	50700001	50800000	B3	4	0.372108213875777
chr1	50800001	50900000	B3	4	0.345665664611556
chr1	50900001	51000000	A2	3	0.268921655031265
chr1	51000001	51100000	A2	5	0.403946359879438
chr1	51100001	51200000	A2	5	0.442928584481908
chr1	51200001	51300000	A2	6	0.543618166093203
chr1	51300001	51400000	A2	4	0.395310850402202
chr1	51400001	51500000	A2	4	0.375339891902465
chr1	51500001	51600000	A2	4	0.397447886838359
chr1	51600001	51700000	A2	5	0.462110743329472
chr1	51700001	51800000	A2	6	0.519153905570615
chr1	51800001	51900000	A2	6	0.557975839646009
chr1	51900001	52000000	A2	5	0.479822883754077
chr1	52000001	52100000	A2	6	0.525327308219742
chr1	52100001	52200000	A2	5	0.432463913415692
chr1	52200001	52300000	A2	8	0.719802428401013
chr1	52300001	52400000	A2	6	0.511674036120147
chr1	52400001	52500000	A2	6	0.546653903126571
chr1	52500001	52600000	A2	6	0.519273975581506
chr1	52600001	52700000	A2	7	0.602822459366147
chr1	52700001	52800000	A2	7	0.628084916171027
chr1	52800001	52900000	A2	8	0.703678192134224
chr1	52900001	53000000	A1	5	0.488118767446155
chr1	53000001	53100000	A2	7	0.654192502184685
chr1	53100001	53200000	A2	7	0.697400567865823
chr1	53200001	53300000	A1	6	0.577304997213573
chr1	53300001	53400000	A2	7	0.60465658474138
chr1	53400001	53500000	A2	6	0.553150618927566
chr1	53500001	53600000	A2	8	0.711498309131858
chr1	53600001	53700000	A2	8	0.715367883268067
chr1	53700001	53800000	A2	8	0.755777753917369
chr1	53800001	53900000	A2	7	0.672276937113402
chr1	53900001	54000000	A2	9	0.819609556963525
chr1	54000001	54100000	A2	8	0.798939485913969
chr1	54100001	54200000	A2	10	0.942793619900347
chr1	54200001	54300000	A2	7	0.600029923678796
chr1	54300001	54400000	A2	8	0.702831399409274
chr1	54400001	54500000	A2	7	0.628984456748252
chr1	54500001	54600000	A2	6	0.595112362063482
chr1	54600001	54700000	A2	8	0.791155072907227
chr1	54700001	54800000	A2	8	0.715267018912036
chr1	54800001	54900000	A2	7	0.630399356612032
chr1	54900001	55000000	A2	7	0.673738277477895
chr1	55000001	55100000	A2	9	0.897375543943937
chr1	55100001	55200000	A2	8	0.723692365490275
chr1	55200001	55300000	A2	7	0.685222834021742
chr1	55300001	55400000	A2	6	0.518183766185436
chr1	55400001	55500000	A2	6	0.565223432311825
chr1	55500001	55600000	A2	6	0.545252953541234
chr1	55600001	55700000	A2	5	0.473359744298731
chr1	55700001	55800000	A2	4	0.382577914831917
chr1	55800001	55900000	B3	4	0.381364821057341
chr1	55900001	56000000	B3	4	0.388543013951866
chr1	56000001	56100000	B3	5	0.448842815452363
chr1	56100001	56200000	B3	5	0.44070474292401
chr1	56200001	56300000	B3	5	0.453741882060483
chr1	56300001	56400000	B3	4	0.386849362692849
chr1	56400001	56500000	B3	4	0.355050595031908
chr1	56500001	56600000	B3	5	0.405223039192184
chr1	56600001	56700000	B3	3	0.296708625805829
chr1	56700001	56800000	B3	4	0.349847059739928
chr1	56800001	56900000	B3	4	0.377654611303384
chr1	56900001	57000000	A2	4	0.371692561590187
chr1	57000001	57100000	A2	3	0.220680959589152
chr1	57100001	57200000	A2	4	0.371720557363584
chr1	57200001	57300000	B3	4	0.350023672944944
chr1	57300001	57400000	B3	4	0.334318858092282
chr1	57400001	57500000	B3	5	0.457846814055905
chr1	57500001	57600000	B3	4	0.302723016436089
