chrom	start	end	expression	gpseq_score
chr1	4400001	5400000	5.66666666666667	1.61578668435846
chr1	4500001	5500000	6.66666666666667	1.60947907025995
chr1	4600001	5600000	6.33333333333333	1.60890267007671
chr1	4700001	5700000	6.66666666666667	1.59562072067537
chr1	4800001	5800000	7.83333333333333	1.60375423310948
chr1	4900001	5900000	8	1.61396187047627
chr1	5000001	6e+06	269.833333333333	1.63319997264152
chr1	5100001	6100000	381.333333333333	1.64576628447379
chr1	5200001	6200000	466.166666666667	1.65829475374836
chr1	5300001	6300000	3234.66666666667	1.65129607419941
chr1	5400001	6400000	4147.5	1.68047524361981
chr1	5500001	6500000	4278.16666666667	1.68967130340566
chr1	5600001	6600000	5491.83333333333	1.70569849247721
chr1	5700001	6700000	8194	1.73131377579327
chr1	5800001	6800000	8955.66666666667	1.73578177387214
chr1	5900001	6900000	9052	1.71052508695752
chr1	6000001	7e+06	9028.83333333333	1.70464251499132
chr1	6100001	7100000	8919.16666666667	1.72584788520355
chr1	6200001	7200000	8836.33333333333	1.72006628286771
chr1	6300001	7300000	6071	1.74161785052122
chr1	6400001	7400000	5174	1.71141347813954
chr1	6500001	7500000	5048.5	1.70969618622192
chr1	6600001	7600000	3840.83333333333	1.72029304923393
chr1	6700001	7700000	1140.33333333333	1.71310024287699
chr1	6800001	7800000	481	1.69927984670249
chr1	6900001	7900000	1829.5	1.70399667220348
chr1	7000001	8e+06	1975.33333333333	1.7150585532016
chr1	7100001	8100000	2741.5	1.68435515688645
chr1	7200001	8200000	2736.33333333333	1.66832885765355
chr1	7300001	8300000	2734	1.68670679336875
chr1	7400001	8400000	2727	1.68171291890757
chr1	7500001	8500000	3675	1.70009296438455
chr1	7600001	8600000	3751.16666666667	1.67096993076825
chr1	7700001	8700000	3834.83333333333	1.653494811313
chr1	7800001	8800000	3785.66666666667	1.6512861428094
chr1	7900001	8900000	2386.5	1.63951496383506
chr1	8000001	9e+06	3995.5	1.64147918875392
chr1	8100001	9100000	3285.16666666667	1.63617586742173
chr1	8200001	9200000	3747.83333333333	1.62958425777247
chr1	8300001	9300000	3777.83333333333	1.66337902361864
chr1	8400001	9400000	4761.5	1.66960382965023
chr1	8500001	9500000	3994	1.65302338513346
chr1	8600001	9600000	3914.16666666667	1.66493262681225
chr1	8700001	9700000	4977.83333333333	1.66545667398975
chr1	8800001	9800000	6369.16666666667	1.70067358445848
chr1	8900001	9900000	6777.33333333333	1.7216372425906
chr1	9000001	1e+07	5843.66666666667	1.73141600986702
chr1	9100001	10100000	6241	1.73292695549566
chr1	9200001	10200000	6268.5	1.7581485849554
chr1	9300001	10300000	6891.5	1.70477689663181
chr1	9400001	10400000	7519.33333333333	1.68334228390105
chr1	9500001	10500000	10098.3333333333	1.68210540360896
chr1	9600001	10600000	11755	1.67335601834852
chr1	9700001	10700000	11143.8333333333	1.69910699520816
chr1	9800001	10800000	9877.5	1.6937764094468
chr1	9900001	10900000	9429.66666666667	1.72076536041464
chr1	10000001	1.1e+07	8370.66666666667	1.73422202680108
chr1	10100001	11100000	9528.33333333333	1.77086157233556
chr1	10200001	11200000	11798.3333333333	1.75485859068685
chr1	10300001	11300000	11859.6666666667	1.79185272931054
chr1	10400001	11400000	11407.6666666667	1.81515736001031
chr1	10500001	11500000	8649.83333333333	1.81381712574766
chr1	10600001	11600000	7010	1.83330979160041
chr1	10700001	11700000	6474	1.84060293203609
chr1	10800001	11800000	7791.16666666667	1.84654533376425
chr1	10900001	11900000	8826.66666666667	1.81897867861703
chr1	11000001	1.2e+07	9633.16666666667	1.78942203404226
chr1	11100001	12100000	10924.3333333333	1.76333827071648
chr1	11200001	12200000	8165.83333333333	1.7712639176789
chr1	11300001	12300000	7604	1.76108309903101
chr1	11400001	12400000	7059.5	1.71280133982185
chr1	11500001	12500000	7390.83333333333	1.67836691165046
chr1	11600001	12600000	7623.33333333333	1.64920149454766
chr1	11700001	12700000	8008.16666666667	1.6179594718916
chr1	11800001	12800000	6512.5	1.58230284679397
chr1	11900001	12900000	5470.66666666667	1.57055752594501
chr1	12000001	1.3e+07	4665.5	1.56539311422859
chr1	12100001	13100000	1761.83333333333	1.55552730163796
chr1	12200001	13200000	1759.83333333333	1.52002777710105
chr1	12300001	13300000	1606.5	1.49846490053745
chr1	12400001	13400000	982.5	1.51286175961335
chr1	12500001	13500000	643.166666666667	1.51938701612171
chr1	12600001	13600000	391.5	1.49868727488035
chr1	12700001	13700000	4.33333333333333	1.49385221757291
chr1	12800001	13800000	4.16666666666667	1.48697258514443
chr1	12900001	13900000	6	1.49512561202888
chr1	13000001	1.4e+07	1274.83333333333	1.46004922055514
chr1	13100001	14100000	1395.33333333333	1.4206384574582
chr1	13200001	14200000	2235.16666666667	1.44087636395651
chr1	13300001	14300000	2236	1.43882627144267
chr1	13400001	14400000	2236.83333333333	1.43377247499247
chr1	13500001	14500000	2237.16666666667	1.44790839783435
chr1	13600001	14600000	2237.66666666667	1.45013835363669
chr1	13700001	14700000	2238.83333333333	1.45323498366209
chr1	13800001	14800000	2240.16666666667	1.45954723684626
chr1	13900001	14900000	2238.83333333333	1.46281461852567
chr1	14000001	1.5e+07	1014.33333333333	1.45857614376275
chr1	14100001	15100000	911	1.49256450855627
chr1	14200001	15200000	85.5	1.50583689275058
chr1	14300001	15300000	113.166666666667	1.51878495536689
chr1	14400001	15400000	427.166666666667	1.52676963451385
chr1	14500001	15500000	476	1.53131478971252
chr1	14600001	15600000	579	1.53511403538358
chr1	14700001	15700000	582	1.54834189827765
chr1	14800001	15800000	1201	1.5628026103979
chr1	14900001	15900000	1763.33333333333	1.57124913203778
chr1	15000001	1.6e+07	3103.83333333333	1.61994434324242
chr1	15100001	16100000	4045.83333333333	1.62985206140479
chr1	15200001	16200000	4604.5	1.62592792169675
chr1	15300001	16300000	6772.33333333333	1.61805528962385
chr1	15400001	16400000	6599.83333333333	1.65189763169098
chr1	15500001	16500000	7090.33333333333	1.67689715143498
chr1	15600001	16600000	7957.66666666667	1.69721984946526
chr1	15700001	16700000	8095.83333333333	1.69271735980544
chr1	15800001	16800000	9792.5	1.71988237013008
chr1	15900001	16900000	9628.16666666667	1.72907954675922
chr1	16000001	1.7e+07	9413.66666666667	1.71842429399506
chr1	16100001	17100000	8540.83333333333	1.72399893194701
chr1	16200001	17200000	7969.16666666667	1.73698346303972
chr1	16300001	17300000	6065.16666666667	1.78448370230579
chr1	16400001	17400000	7512.16666666667	1.7768250977169
chr1	16500001	17500000	7004.33333333333	1.79308944707641
chr1	16600001	17600000	6034	1.83730361557797
chr1	16700001	17700000	5892.83333333333	1.89994942716536
chr1	16800001	17800000	6003	1.90643489872246
chr1	16900001	17900000	5623	1.93056597134121
chr1	17000001	1.8e+07	4581.5	1.91731536994243
chr1	17100001	18100000	4561.5	1.91644684534051
chr1	17200001	18200000	4871.33333333333	1.91901294061165
chr1	17300001	18300000	4586.66666666667	1.92517210173064
chr1	17400001	18400000	2997.5	1.90670040846826
chr1	17500001	18500000	2966	1.88141975500809
chr1	17600001	18600000	2965.66666666667	1.88713140780656
chr1	17700001	18700000	2965.16666666667	1.88924756171549
chr1	17800001	18800000	566.333333333333	1.90518820263795
chr1	17900001	18900000	548.5	1.91203811206608
chr1	18000001	1.9e+07	417.833333333333	1.92898148010456
chr1	18100001	19100000	353	1.93665323230478
chr1	18200001	19200000	335.833333333333	1.93903595686898
chr1	18300001	19300000	1081.5	1.93879825168703
chr1	18400001	19400000	1082.66666666667	1.97234965212218
chr1	18500001	19500000	3768.5	2.00557205879764
chr1	18600001	19600000	6972.16666666667	1.99441475225032
chr1	18700001	19700000	8873.66666666667	1.98587844200527
chr1	18800001	19800000	9038.16666666667	1.94253943844836
chr1	18900001	19900000	9059.33333333333	1.89058481182513
chr1	19000001	2e+07	10118.8333333333	1.86355082125821
chr1	19100001	20100000	10419.1666666667	1.83651919502939
chr1	19200001	20200000	10165	1.80199837779269
chr1	19300001	20300000	10025	1.77847752147737
chr1	19400001	20400000	10023.6666666667	1.76648335623572
chr1	19500001	20500000	7338	1.77008053393629
chr1	19600001	20600000	4136.66666666667	1.76704515523055
chr1	19700001	20700000	2235	1.7722063010174
chr1	19800001	20800000	2041.66666666667	1.79144314655466
chr1	19900001	20900000	2705.66666666667	1.82434757602021
chr1	20000001	2.1e+07	3600	1.8477476293363
chr1	20100001	21100000	5241	1.85374971918697
chr1	20200001	21200000	6632.33333333333	1.8238455923594
chr1	20300001	21300000	6745.5	1.82258300483514
chr1	20400001	21400000	6909	1.77078131994631
chr1	20500001	21500000	6952.33333333333	1.74449562023899
chr1	20600001	21600000	7925.5	1.74903857916708
chr1	20700001	21700000	7985	1.72688417733409
chr1	20800001	21800000	8205.33333333333	1.69959132880421
chr1	20900001	21900000	7778	1.70349035490865
chr1	21000001	2.2e+07	6283.83333333333	1.73412009602368
chr1	21100001	22100000	5504.33333333333	1.73148682876759
chr1	21200001	22200000	4934.16666666667	1.78410565550191
chr1	21300001	22300000	4581.5	1.79209967919748
chr1	21400001	22400000	4796.16666666667	1.84714339388379
chr1	21500001	22500000	5519.33333333333	1.86527865957259
chr1	21600001	22600000	4552.33333333333	1.88736591137071
chr1	21700001	22700000	4497.66666666667	1.89112301240934
chr1	21800001	22800000	4292.66666666667	1.90051635637363
chr1	21900001	22900000	4901.5	1.92937161547776
chr1	22000001	2.3e+07	4459	1.90134988109099
chr1	22100001	23100000	3323	1.93116741745607
chr1	22200001	23200000	2663	1.92584211816664
chr1	22300001	23300000	2791	1.94221591076557
chr1	22400001	23400000	3294	1.8924363759662
chr1	22500001	23500000	4403.16666666667	1.87363035473185
chr1	22600001	23600000	4485.5	1.8324108445282
chr1	22700001	23700000	7415.5	1.82453545596372
chr1	22800001	23800000	8225.83333333333	1.81766910319696
chr1	22900001	23900000	9211.83333333333	1.79100439689441
chr1	23000001	2.4e+07	9198.16666666667	1.77759847473164
chr1	23100001	24100000	11327.6666666667	1.79209205031149
chr1	23200001	24200000	13000.3333333333	1.78912952379662
chr1	23300001	24300000	12606.1666666667	1.78520058647286
chr1	23400001	24400000	11773.1666666667	1.82000740515328
chr1	23500001	24500000	10228.6666666667	1.85020336005095
chr1	23600001	24600000	10162.8333333333	1.86106611385572
chr1	23700001	24700000	7444.66666666667	1.88492812508212
chr1	23800001	24800000	7487.83333333333	1.85175456684592
chr1	23900001	24900000	6466.66666666667	1.85257514854593
chr1	24000001	2.5e+07	7948.83333333333	1.85130155697916
chr1	24100001	25100000	5830.33333333333	1.81383506880683
chr1	24200001	25200000	5518.83333333333	1.79836548747078
chr1	24300001	25300000	5963.66666666667	1.8191192163377
chr1	24400001	25400000	5915.33333333333	1.80369477413737
chr1	24500001	25500000	5584	1.79230736985965
chr1	24600001	25600000	6369.66666666667	1.8057803903649
chr1	24700001	25700000	6881.66666666667	1.79120416224677
chr1	24800001	25800000	6188.33333333333	1.81966468511549
chr1	24900001	25900000	6157	1.81479730967203
chr1	25000001	2.6e+07	4719.66666666667	1.83531051164786
chr1	25100001	26100000	4759.83333333333	1.86350744278995
chr1	25200001	26200000	6063	1.84466673474341
chr1	25300001	26300000	6806.33333333333	1.82996387066698
chr1	25400001	26400000	6977.5	1.87662907037857
chr1	25500001	26500000	7505.16666666667	1.86786177431765
chr1	25600001	26600000	7270.83333333333	1.87862679845427
chr1	25700001	26700000	7494	1.85659138411746
chr1	25800001	26800000	7966.33333333333	1.85913719066358
chr1	25900001	26900000	8068	1.87283540662108
chr1	26000001	2.7e+07	8249.83333333334	1.85834525370925
chr1	26100001	27100000	9127.5	1.82253886148349
chr1	26200001	27200000	8381.16666666667	1.83145300692925
chr1	26300001	27300000	8937.33333333334	1.85478520497344
chr1	26400001	27400000	9091.66666666667	1.83637933739263
chr1	26500001	27500000	8915.33333333334	1.83360398643022
chr1	26600001	27600000	8390.83333333333	1.8095700212977
chr1	26700001	27700000	8856	1.85030025744
chr1	26800001	27800000	9727.33333333333	1.84357698888589
chr1	26900001	27900000	9071.16666666667	1.83239589694916
chr1	27000001	2.8e+07	8946.83333333333	1.83761497451182
chr1	27100001	28100000	8219.66666666667	1.84840338529325
chr1	27200001	28200000	7367.33333333333	1.85590290288035
chr1	27300001	28300000	7027.33333333333	1.81960143642599
chr1	27400001	28400000	7195.16666666667	1.80521676084915
chr1	27500001	28500000	6876.66666666667	1.78237561884691
chr1	27600001	28600000	8306.33333333334	1.77906810189775
chr1	27700001	28700000	7513.16666666667	1.74410657700888
chr1	27800001	28800000	6195.33333333333	1.74383930106744
chr1	27900001	28900000	9762	1.72070943307983
chr1	28000001	2.9e+07	10629.3333333333	1.7413095288459
chr1	28100001	29100000	11679	1.74773882539546
chr1	28200001	29200000	10427.1666666667	1.75343551287527
chr1	28300001	29300000	8970.66666666667	1.74129574988877
chr1	28400001	29400000	9256.16666666667	1.73592281187391
chr1	28500001	29500000	11843.1666666667	1.7493425316733
chr1	28600001	29600000	11300.1666666667	1.72880275036468
chr1	28700001	29700000	12157.1666666667	1.72667971226772
chr1	28800001	29800000	11957	1.72255835249155
chr1	28900001	29900000	8146.83333333333	1.74415876760723
chr1	29000001	3e+07	7173.16666666667	1.73363962846711
chr1	29100001	30100000	5894.5	1.74523954358841
chr1	29200001	30200000	5879.33333333333	1.74600743047136
chr1	29300001	30300000	5824	1.77106128584343
chr1	29400001	30400000	5045	1.79954027483184
chr1	29500001	30500000	2424.83333333333	1.81820587683187
chr1	29600001	30600000	1486.16666666667	1.80526273785685
chr1	29700001	30700000	147.833333333333	1.78190328636939
chr1	29800001	30800000	197	1.80756475603843
chr1	29900001	30900000	194.333333333333	1.80584773719551
chr1	30000001	3.1e+07	194.5	1.80508724225265
chr1	30100001	31100000	194.5	1.80030692270815
chr1	30200001	31200000	227	1.8075416825998
chr1	30300001	31300000	228.166666666667	1.8186281211895
chr1	30400001	31400000	1128.5	1.80751384322284
chr1	30500001	31500000	2692.33333333333	1.78470781485965
chr1	30600001	31600000	2825.66666666667	1.81162211620348
chr1	30700001	31700000	2780.33333333333	1.82637627440239
chr1	30800001	31800000	3643.66666666667	1.7946901288398
chr1	30900001	31900000	4214	1.7790028306319
chr1	31000001	3.2e+07	4235.33333333333	1.77834330097157
chr1	31100001	32100000	4767.5	1.7753070576799
chr1	31200001	32200000	5056.66666666667	1.78408165682774
chr1	31300001	32300000	5436.83333333333	1.7812514781587
chr1	31400001	32400000	5631.5	1.77957293293755
chr1	31500001	32500000	4418.5	1.79579365637433
chr1	31600001	32600000	5752.33333333333	1.77595248827982
chr1	31700001	32700000	10017.6666666667	1.78039768021752
chr1	31800001	32800000	11014.5	1.79062525547936
chr1	31900001	32900000	11986.1666666667	1.80457647350907
chr1	32000001	3.3e+07	12153.1666666667	1.80456582021943
chr1	32100001	33100000	12392.8333333333	1.78623812735342
chr1	32200001	33200000	14026.1666666667	1.73523501109296
chr1	32300001	33300000	16259	1.7078028014805
chr1	32400001	33400000	16300.6666666667	1.69180307136078
chr1	32500001	33500000	17963.1666666667	1.66542211409568
chr1	32600001	33600000	16719.1666666667	1.66737524263643
chr1	32700001	33700000	12655.8333333333	1.66575712041851
chr1	32800001	33800000	11975.5	1.66184894380428
chr1	32900001	33900000	10683.8333333333	1.62277925908753
chr1	33000001	3.4e+07	10722.6666666667	1.59570624054972
chr1	33100001	34100000	9951	1.62021207123268
chr1	33200001	34200000	7996.33333333333	1.64765509626684
chr1	33300001	34300000	5382.16666666667	1.62679513908507
chr1	33400001	34400000	4245.5	1.63172022947677
chr1	33500001	34500000	2232.16666666667	1.63845530816142
chr1	33600001	34600000	2009	1.65105877675291
chr1	33700001	34700000	1709.5	1.630806818796
chr1	33800001	34800000	479.166666666667	1.61452307912184
chr1	33900001	34900000	228.666666666667	1.62582270988876
chr1	34000001	3.5e+07	1.5	1.63804413901844
chr1	34100001	35100000	1.33333333333333	1.62461177940624
chr1	34200001	35200000	1.66666666666667	1.61931074949051
chr1	34300001	35300000	11	1.61619009384277
chr1	34400001	35400000	650.333333333333	1.60372717010872
chr1	34500001	35500000	1154.16666666667	1.60038650758234
chr1	34600001	35600000	1901	1.58226945406207
chr1	34700001	35700000	4522.16666666667	1.58961833752766
chr1	34800001	35800000	4566.83333333333	1.57895358877865
chr1	34900001	35900000	6200.16666666667	1.58029253117374
chr1	35000001	3.6e+07	7296.83333333333	1.57823925226555
chr1	35100001	36100000	9190.83333333333	1.57952356391119
chr1	35200001	36200000	9921.16666666667	1.57662198821201
chr1	35300001	36300000	11103	1.56057033748119
chr1	35400001	36400000	12502.3333333333	1.56038803484562
chr1	35500001	36500000	12320.6666666667	1.55875553716349
chr1	35600001	36600000	12287.8333333333	1.55867855545011
chr1	35700001	36700000	10980.3333333333	1.56177647967506
chr1	35800001	36800000	12995.3333333333	1.58022112281919
chr1	35900001	36900000	12564.3333333333	1.59546169739783
chr1	36000001	3.7e+07	12099.8333333333	1.59942010014826
chr1	36100001	37100000	10206.5	1.63898574353485
chr1	36200001	37200000	9476	1.67448278190161
chr1	36300001	37300000	8286.16666666667	1.71852735295263
chr1	36400001	37400000	6248.33333333333	1.74495137430402
chr1	36500001	37500000	5926.16666666667	1.75714482839938
chr1	36600001	37600000	5212.16666666667	1.78179694095392
chr1	36700001	37700000	3898.33333333333	1.81688206532546
chr1	36800001	37800000	1839	1.82690811005421
chr1	36900001	37900000	637.666666666667	1.84007542146837
chr1	37000001	3.8e+07	750.666666666667	1.86327208596893
chr1	37100001	38100000	2106.83333333333	1.820675283943
chr1	37200001	38200000	3549.83333333333	1.78582434861364
chr1	37300001	38300000	4598.66666666667	1.77215458845442
chr1	37400001	38400000	5273.66666666667	1.74771226711773
chr1	37500001	38500000	7105.66666666667	1.71656119062196
chr1	37600001	38600000	7233.16666666667	1.71366122356358
chr1	37700001	38700000	7237.33333333333	1.6785064111399
chr1	37800001	38800000	7237.83333333333	1.6602430514137
chr1	37900001	38900000	7237.33333333333	1.65092794088552
chr1	38000001	3.9e+07	6492	1.63970597294818
chr1	38100001	39100000	5135.33333333333	1.64841794388859
chr1	38200001	39200000	3703	1.62552888522641
chr1	38300001	39300000	2653.33333333333	1.62089170692317
chr1	38400001	39400000	2947	1.6155133784945
chr1	38500001	39500000	2293	1.62114436717002
chr1	38600001	39600000	2388.5	1.61866487588701
chr1	38700001	39700000	2388.83333333333	1.62299660971837
chr1	38800001	39800000	2481.16666666667	1.63046009722998
chr1	38900001	39900000	3118.83333333333	1.64432414102043
chr1	39000001	4e+07	3847.66666666667	1.6375394096124
chr1	39100001	40100000	5393.33333333333	1.64690289132341
chr1	39200001	40200000	5624.16666666667	1.67973282550282
chr1	39300001	40300000	6564.33333333333	1.68677006973518
chr1	39400001	40400000	6616.66666666667	1.67466822161475
chr1	39500001	40500000	5742	1.70576550796188
chr1	39600001	40600000	7691.33333333333	1.70234652106004
chr1	39700001	40700000	7827	1.6977003520847
chr1	39800001	40800000	9214.66666666667	1.68221662673864
chr1	39900001	40900000	9313.33333333333	1.65710610272575
chr1	40000001	4.1e+07	9240.16666666667	1.67651126764644
chr1	40100001	41100000	8365	1.66616628868377
chr1	40200001	41200000	8470.5	1.65510099381644
chr1	40300001	41300000	8571.83333333333	1.67220507220459
chr1	40400001	41400000	7830.16666666667	1.70849241968969
chr1	40500001	41500000	9135.16666666667	1.68596643030858
chr1	40600001	41600000	7458.66666666667	1.69088578158543
chr1	40700001	41700000	7593	1.68889657994198
chr1	40800001	41800000	6130.5	1.6968459425629
chr1	40900001	41900000	5464.66666666667	1.74831625372743
chr1	41000001	4.2e+07	4839.83333333333	1.74718944784798
chr1	41100001	42100000	4225	1.72158124603494
chr1	41200001	42200000	3881.66666666667	1.74053832968602
chr1	41300001	42300000	2841.5	1.72324362620601
chr1	41400001	42400000	2584.33333333333	1.72814800036031
chr1	41500001	42500000	981	1.71389616946316
chr1	41600001	42600000	486.166666666667	1.70864957043224
chr1	41700001	42700000	1156.16666666667	1.71437507428488
chr1	41800001	42800000	1306	1.68700946397593
chr1	41900001	42900000	1631	1.65495730185531
chr1	42000001	4.3e+07	1830.66666666667	1.62902929559443
chr1	42100001	43100000	1787.16666666667	1.64315207580402
chr1	42200001	43200000	3452	1.6313012231032
chr1	42300001	43300000	4725.33333333333	1.6344171522859
chr1	42400001	43400000	5909.5	1.61836414133922
chr1	42500001	43500000	6012.5	1.66835969497388
chr1	42600001	43600000	6014.5	1.69856223102479
chr1	42700001	43700000	5658	1.73222475585587
chr1	42800001	43800000	5492.83333333333	1.7754946510101
chr1	42900001	43900000	7414.33333333333	1.78439500610452
chr1	43000001	4.4e+07	7668.83333333333	1.80714367739772
chr1	43100001	44100000	10083.6666666667	1.82653745650591
chr1	43200001	44200000	9783.83333333333	1.83144016970899
chr1	43300001	44300000	8548	1.82676829047402
chr1	43400001	44400000	7632.66666666667	1.86193731905113
chr1	43500001	44500000	10842.3333333333	1.8358376516133
chr1	43600001	44600000	10860.5	1.80714200054466
chr1	43700001	44700000	11050.8333333333	1.78582378600956
chr1	43800001	44800000	11365	1.80075928655425
chr1	43900001	44900000	9381	1.79876926916791
chr1	44000001	4.5e+07	9016.33333333333	1.76994190060411
chr1	44100001	45100000	6708	1.74161263652053
chr1	44200001	45200000	6209.66666666667	1.74788449718488
chr1	44300001	45300000	8383.83333333333	1.75156718368769
chr1	44400001	45400000	8615.5	1.72898917943121
chr1	44500001	45500000	6803.16666666667	1.70597475910566
chr1	44600001	45600000	6889.33333333333	1.70249131435054
chr1	44700001	45700000	6170	1.69494793364664
chr1	44800001	45800000	6111.66666666667	1.654263462289
chr1	44900001	45900000	6305.33333333333	1.63898871749622
chr1	45000001	4.6e+07	7551.66666666667	1.65468031233524
chr1	45100001	46100000	10614.8333333333	1.63243316689888
chr1	45200001	46200000	11170.6666666667	1.58482036232732
chr1	45300001	46300000	9077.83333333333	1.55440702826146
chr1	45400001	46400000	8589	1.53805049310717
chr1	45500001	46500000	7991.83333333333	1.53595643704337
chr1	45600001	46600000	8918.16666666667	1.5324545628656
chr1	45700001	46700000	9826	1.54423833548615
chr1	45800001	46800000	12192	1.55691379888642
chr1	45900001	46900000	12136.5	1.56835958268659
chr1	46000001	4.7e+07	11052.6666666667	1.54265378323115
chr1	46100001	47100000	8805.5	1.53617097589311
chr1	46200001	47200000	9173.5	1.52016991613432
chr1	46300001	47300000	9052.83333333333	1.5173943851313
chr1	46400001	47400000	9018.5	1.53000847817044
chr1	46500001	47500000	8111.5	1.52930712311169
chr1	46600001	47600000	7086.5	1.51759059115103
chr1	46700001	47700000	6889.5	1.49226404340341
chr1	46800001	47800000	5067.5	1.45894545312339
chr1	46900001	47900000	5514.83333333333	1.42406277490397
chr1	47000001	4.8e+07	5448.66666666667	1.40353186354638
chr1	47100001	48100000	4514.16666666667	1.39155089946507
chr1	47200001	48200000	2720.16666666667	1.39528736660789
chr1	47300001	48300000	2741.33333333333	1.41173959177004
chr1	47400001	48400000	2743.33333333333	1.40979277130589
chr1	47500001	48500000	2749.83333333333	1.39938507207073
chr1	47600001	48600000	2741.33333333333	1.3895587781646
chr1	47700001	48700000	1972.16666666667	1.38495219489588
chr1	47800001	48800000	1182	1.39205586231099
chr1	47900001	48900000	304.666666666667	1.38725370246211
chr1	48000001	4.9e+07	107.5	1.39160670498829
chr1	48100001	49100000	108.833333333333	1.36589535038542
chr1	48200001	49200000	121	1.36403435495889
chr1	48300001	49300000	172.666666666667	1.32926470403799
chr1	48400001	49400000	170.5	1.30528262307695
chr1	48500001	49500000	163.166666666667	1.28895182961709
chr1	48600001	49600000	163	1.28400236030896
chr1	48700001	49700000	162.333333333333	1.27937862310328
chr1	48800001	49800000	149.666666666667	1.28888710780773
chr1	48900001	49900000	108	1.29645033401006
chr1	49000001	5e+07	88.6666666666667	1.29506497731696
chr1	49100001	50100000	87	1.31307887011364
chr1	49200001	50200000	74	1.31251919990065
chr1	49300001	50300000	1.16666666666667	1.31386590748585
chr1	49400001	50400000	1	1.33783594639116
chr1	49500001	50500000	1.66666666666667	1.34836544151208
chr1	49600001	50600000	1.83333333333333	1.34546891545613
chr1	49700001	50700000	2	1.34468746620716
chr1	49800001	50800000	10.6666666666667	1.31538566846108
chr1	49900001	50900000	66.5	1.29858059715618
chr1	50000001	5.1e+07	418	1.27349170603394
chr1	50100001	51100000	690	1.26567466354469
chr1	50200001	51200000	790.666666666667	1.25471153788478
chr1	50300001	51300000	956.666666666667	1.26014022731138
chr1	50400001	51400000	997.5	1.25126274183338
chr1	50500001	51500000	1825.33333333333	1.24148563167832
chr1	50600001	51600000	1830	1.23918686612493
chr1	50700001	51700000	1831.5	1.24493888279655
chr1	50800001	51800000	2565.66666666667	1.25496569619918
chr1	50900001	51900000	3325	1.27421386337626
chr1	51000001	5.2e+07	3255.66666666667	1.28931943171661
chr1	51100001	52100000	2995.83333333333	1.30520153034697
chr1	51200001	52200000	2967.5	1.30340461761449
chr1	51300001	52300000	5097.83333333333	1.31136914412818
chr1	51400001	52400000	6776.33333333333	1.32253714167111
chr1	51500001	52500000	6773.83333333333	1.34858630504475
chr1	51600001	52600000	7656.16666666667	1.35767435987762
chr1	51700001	52700000	7694	1.37636190709921
chr1	51800001	52800000	7503.16666666667	1.40258399417818
chr1	51900001	52900000	9432	1.42386946753412
chr1	52000001	5.3e+07	10007.5	1.43499572685463
chr1	52100001	53100000	10385.8333333333	1.45649810363957
chr1	52200001	53200000	10936.1666666667	1.49414892538182
chr1	52300001	53300000	9533.83333333333	1.49565837318435
chr1	52400001	53400000	7927	1.50380820377219
chr1	52500001	53500000	7242.66666666667	1.50493272057961
