chrom	start	end	layer	damid_sig_over_ctrl
chr1	185900001	1.86e+08	3	1.70037634372711
chr1	186400001	186500000	3	1.22379722893238
chr1	186500001	186600000	3	1.73149753659964
chr1	186700001	186800000	3	1.47600516472012
chr1	186800001	186900000	3	0.306428883736953
chr1	186900001	1.87e+08	3	0.396923586167395
chr1	187000001	187100000	3	1.18443595468998
chr1	187400001	187500000	3	0.925884497910738
chr1	187600001	187700000	3	1.20452504754066
chr1	187700001	187800000	3	1.25978763103485
chr1	188200001	188300000	3	0.39068049415946
chr1	188600001	188700000	3	0.421611748728901
chr1	188800001	188900000	3	0.739811392128468
chr1	188900001	1.89e+08	3	0.517457046138588
chr1	189000001	189100000	3	0.42989687025547
chr1	189300001	189400000	3	0.81889868657745
chr1	189600001	189700000	3	0.778283328423277
chr1	189700001	189800000	3	1.04318849742413
chr1	190100001	190200000	3	1.12164072096348
chr1	190300001	190400000	3	0.96967915147543
chr1	190400001	190500000	3	0.895208249986172
chr1	190500001	190600000	3	1.35270046293736
chr1	190600001	190700000	3	1.65035527348518
chr1	190700001	190800000	3	1.81611150503159
chr1	190800001	190900000	3	1.84058038294315
chr1	191200001	191300000	3	1.71271132230759
chr1	191500001	191600000	3	1.27357688695192
chr1	191600001	191700000	3	1.17747324183583
chr1	191700001	191800000	3	1.39966220706701
chr1	192000001	192100000	3	1.54014461180195
chr1	192100001	192200000	3	1.46929568201303
chr1	192300001	192400000	3	1.89155902415514
chr1	192400001	192500000	3	-0.194906057417393
chr1	192500001	192600000	3	-0.871169291832484
chr1	192600001	192700000	3	0.317223500367254
chr1	192900001	1.93e+08	3	-0.617819659411907
chr1	193000001	193100000	3	-1.3658043384552
chr1	193100001	193200000	3	-0.534608095884323
chr1	193200001	193300000	3	1.07020674161613
chr1	193300001	193400000	3	1.50307187438011
chr1	193400001	193500000	3	0.97431860268116
chr1	193500001	193600000	3	1.20196912996471
chr1	193800001	193900000	3	1.398856985569
chr1	194200001	194300000	3	1.73557832688093
chr1	194800001	194900000	3	1.56446444094181
chr1	194900001	1.95e+08	3	1.77767041027546
chr1	195400001	195500000	3	1.34963179826736
chr1	195600001	195700000	3	1.17306029014289
chr1	195700001	195800000	3	1.18556693866849
chr1	196000001	196100000	3	1.04582956470549
chr1	196200001	196300000	3	1.04285838007927
chr1	196400001	196500000	3	1.25454779267311
chr1	196900001	1.97e+08	3	2.27932575941086
chr1	197000001	197100000	3	0.758837506268174
chr1	197500001	197600000	3	0.297540383879095
chr1	197800001	197900000	3	-1.15894886851311
chr1	197900001	1.98e+08	3	0.198310404457152
chr1	198000001	198100000	3	0.487469175737351
chr1	198200001	198300000	3	0.0577921930234879
chr1	198300001	198400000	3	0.929061022400856
chr1	198400001	198500000	3	0.948617189750075
chr1	198600001	198700000	3	0.378088220208883
chr1	198800001	198900000	3	-0.7746860566549
chr1	198900001	1.99e+08	3	0.152169797569513
chr1	199200001	199300000	3	0.837737679854035
chr1	200200001	200300000	3	-1.45916410088539
chr1	214200001	214300000	3	-0.0768805843545124
chr1	214300001	214400000	3	-0.741496420837939
chr1	214700001	214800000	3	-1.32924921512604
chr1	214900001	2.15e+08	3	0.944333759322762
chr1	215000001	215100000	3	0.38777911812067
chr1	215400001	215500000	3	0.783621978759766
chr1	215600001	215700000	3	0.0908032005390851
chr1	215900001	2.16e+08	3	1.18640173524618
chr1	216000001	216100000	3	1.67002478539944
chr1	216200001	216300000	3	1.22262793630362
chr1	216400001	216500000	3	1.23514215201139
chr1	216500001	216600000	3	1.59511234462261
chr1	216800001	216900000	3	-0.380610969476402
chr1	217000001	217100000	3	-0.806330695562065
chr1	217500001	217600000	3	1.08285986110568
chr1	217700001	217800000	3	0.373691319860518
chr1	217800001	217900000	3	0.753747129440308
chr1	218000001	218100000	3	1.20415959358215
chr1	218100001	218200000	3	0.777141125500202
chr1	218300001	218400000	3	-0.689293137192726
chr1	218400001	218500000	3	-1.21117093712091
chr1	218500001	218600000	3	-0.219138812285382
chr1	218800001	218900000	3	0.663902588933706
chr1	218900001	2.19e+08	3	0.769442541152239
chr1	219100001	219200000	3	0.206596134603024
chr1	219300001	219400000	3	-0.41288979947567
chr1	219400001	219500000	3	0.371462624520063
chr1	219500001	219600000	3	-0.211107032001019
chr1	219900001	2.2e+08	3	0.030643073329702
chr1	220000001	220100000	3	0.338115837145597
chr1	220300001	220400000	3	-1.03700400777161
chr1	220400001	220500000	3	-0.95561107173562
chr1	220700001	220800000	3	-0.461890431353822
chr1	220900001	2.21e+08	3	-1.05052188634872
chr1	221800001	221900000	3	1.50032808985561
chr1	221900001	2.22e+08	3	0.697848238050938
chr1	222100001	222200000	3	1.33928583934903
chr1	222400001	222500000	3	2.00750573277473
chr1	222800001	222900000	3	-0.935716756433249
chr1	222900001	2.23e+08	3	-0.12539393119514
chr1	232900001	2.33e+08	3	1.5365193426609
chr1	233400001	233500000	3	-0.695637530740351
chr1	237200001	237300000	3	1.44426406472921
chr1	237500001	237600000	3	0.718791447207332
chr1	237600001	237700000	3	1.18329091221094
chr1	237700001	237800000	3	1.11241427734494
chr1	237800001	237900000	3	0.0197831232100725
chr1	237900001	2.38e+08	3	-0.6169359408319
chr1	238000001	238100000	3	-0.9984575022012
chr1	238100001	238200000	3	-1.28350603580475
chr1	238200001	238300000	3	-0.849600397795439
chr1	238300001	238400000	3	-0.162019914202392
chr1	238400001	238500000	3	0.117910498008132
chr1	238500001	238600000	3	-0.258077691096696
chr1	238600001	238700000	3	0.173349512089044
chr1	239000001	239100000	3	1.12970850430429
chr1	239100001	239200000	3	0.751987990736961
chr1	239200001	239300000	3	1.01685758766253
chr1	239300001	239400000	3	1.09985349364579
chr1	239400001	239500000	3	1.41765856593847
chr1	239500001	239600000	3	1.51574205011129
chr1	239600001	239700000	3	2.19876115322113
chr1	239900001	2.4e+08	3	1.91869712769985
chr1	240000001	240100000	3	1.30427534496412
chr1	240200001	240300000	3	0.518362022191286
chr1	240300001	240400000	3	0.765158742666245
chr1	240400001	240500000	3	0.847334438562393
chr1	240700001	240800000	3	0.615304117649794
chr1	240800001	240900000	3	0.895867987722158
chr1	240900001	2.41e+08	3	2.01693007349968
chr1	241200001	241300000	3	1.97966345250607
chr1	241300001	241400000	3	1.77802106440067
chr1	241600001	241700000	3	0.774985876679421
chr1	241700001	241800000	3	0.710777097195387
chr1	243500001	243600000	3	-0.618288321793079
chr1	243800001	243900000	3	-0.805029659159482
chr1	243900001	2.44e+08	3	-1.18678076602519
chr1	247100001	247200000	3	-0.770939270779491
chr1	50900001	5.1e+07	4	-0.371925361733884
chr1	56600001	56700000	4	1.06507101263851
chr1	57500001	57600000	4	1.16291295178235
chr1	58400001	58500000	4	0.793280079029501
chr1	58900001	5.9e+07	4	0.384471829188988
chr1	60200001	60300000	4	0.37647434991668
chr1	60300001	60400000	4	0.965583674609661
chr1	61000001	61100000	4	1.71438914239407
chr1	61200001	61300000	4	0.994794902717695
chr1	61700001	61800000	4	-1.55461057722569
chr1	61800001	61900000	4	-1.34390760660172
chr1	62100001	62200000	4	-1.68531438410282
chr1	64900001	6.5e+07	4	-1.45298446938396
chr1	65100001	65200000	4	-0.757327654212713
chr1	65400001	65500000	4	-0.672028677165508
chr1	65600001	65700000	4	-1.26971722170711
chr1	65800001	65900000	4	0.342224217951298
chr1	65900001	6.6e+07	4	0.74173621237278
chr1	66100001	66200000	4	1.16846494972706
chr1	67000001	67100000	4	0.583288944838569
chr1	67300001	67400000	4	0.709524380695075
chr1	67400001	67500000	4	-0.562547570373863
chr1	68600001	68700000	4	-1.50143691748381
chr1	68800001	68900000	4	-0.343295211205259
chr1	68900001	6.9e+07	4	-0.493795547634363
chr1	69300001	69400000	4	0.122930343309417
chr1	69500001	69600000	4	-0.555692523904145
chr1	69700001	69800000	4	0.139349225815386
chr1	69800001	69900000	4	0.35568817909807
chr1	69900001	7e+07	4	0.354211003519595
chr1	70000001	70100000	4	0.246526878932491
chr1	70100001	70200000	4	0.368514026029152
chr1	70300001	70400000	4	1.08082391470671
chr1	70400001	70500000	4	0.768783960491419
chr1	70500001	70600000	4	0.0891383394598961
chr1	70600001	70700000	4	-1.44357720315456
chr1	70700001	70800000	4	-1.79532019644976
chr1	71000001	71100000	4	-1.03125974535942
chr1	71100001	71200000	4	0.232553524058312
chr1	71400001	71500000	4	0.335156003385782
chr1	71500001	71600000	4	-0.102840760350227
chr1	71600001	71700000	4	1.47172773778439
chr1	71800001	71900000	4	1.20813246741891
chr1	71900001	7.2e+07	4	1.29979486763477
chr1	72200001	72300000	4	0.155004744417965
chr1	72300001	72400000	4	-0.0417623556917533
chr1	72500001	72600000	4	0.426023940742016
chr1	72600001	72700000	4	1.28189303874969
chr1	72800001	72900000	4	1.74895203113556
chr1	73000001	73100000	4	1.37660356163979
chr1	73200001	73300000	4	1.64511585831642
chr1	73400001	73500000	4	-0.148792674764991
chr1	73500001	73600000	4	0.0779318390414119
chr1	73600001	73700000	4	0.598753767833114
chr1	73800001	73900000	4	1.47790459245443
chr1	74200001	74300000	4	1.38391636759043
chr1	74300001	74400000	4	1.34764371812344
chr1	74400001	74500000	4	1.38633873164654
chr1	74500001	74600000	4	1.62541403472424
chr1	74900001	7.5e+07	4	0.538522928953171
chr1	75400001	75500000	4	1.82039142847061
chr1	75500001	75600000	4	1.64107495844364
chr1	75600001	75700000	4	1.47049632966518
chr1	75800001	75900000	4	0.166621322615538
chr1	75900001	7.6e+07	4	1.00683766249567
chr1	76000001	76100000	4	0.592540559405461
chr1	76100001	76200000	4	0.547135401144624
chr1	76300001	76400000	4	1.55650464892387
chr1	76500001	76600000	4	1.31037699282169
chr1	76800001	76900000	4	1.71360420882702
chr1	77000001	77100000	4	1.88484327495098
chr1	77300001	77400000	4	1.8578592300415
chr1	77600001	77700000	4	0.516125931218267
chr1	77800001	77900000	4	1.59352013170719
chr1	78000001	78100000	4	-0.578837521350943
chr1	78100001	78200000	4	-1.19813351333141
chr1	78900001	7.9e+07	4	1.53474744409323
chr1	79200001	79300000	4	2.0567787989974
chr1	79900001	8e+07	4	1.28732008971274
chr1	80000001	80100000	4	1.50974211096764
chr1	80100001	80200000	4	1.14260551333427
chr1	80200001	80300000	4	1.31353530138731
chr1	80400001	80500000	4	1.25164863163373
chr1	80900001	8.1e+07	4	0.643329137936235
chr1	81200001	81300000	4	-0.0988945232704282
chr1	81300001	81400000	4	-0.00367330545559526
chr1	81400001	81500000	4	-0.150631153443828
chr1	81500001	81600000	4	-0.566505653038621
chr1	81600001	81700000	4	-0.401702540373663
chr1	81700001	81800000	4	-1.31487567573786
chr1	81800001	81900000	4	-1.17012138068676
chr1	81900001	8.2e+07	4	-1.33682662844658
chr1	82000001	82100000	4	-1.45480819940567
chr1	82500001	82600000	4	-0.210245537525043
chr1	82800001	82900000	4	0.0472954203607515
chr1	82900001	8.3e+07	4	-0.358532418457617
chr1	83000001	83100000	4	0.0128687750548124
chr1	84000001	84100000	4	-0.0808994069113396
chr1	84100001	84200000	4	-0.324905966641381
chr1	84200001	84300000	4	-0.940836301445961
chr1	85100001	85200000	4	-1.27135242670774
chr1	85600001	85700000	4	-1.46009953171015
chr1	85800001	85900000	4	-1.75709805190563
chr1	86200001	86300000	4	0.138666787417606
chr1	86600001	86700000	4	-0.13985180016607
chr1	87300001	87400000	4	-1.55070628523827
chr1	89100001	89200000	4	-1.23746711760759
chr1	89400001	89500000	4	-0.509581758826971
chr1	90200001	90300000	4	-1.57823576927185
chr1	90400001	90500000	4	-1.63808263540268
chr1	91100001	91200000	4	-0.107428718637675
chr1	96400001	96500000	4	-0.403601476922631
chr1	96600001	96700000	4	-1.12563703656197
chr1	96700001	96800000	4	-0.746812096238136
chr1	96800001	96900000	4	-0.852601095288992
chr1	96900001	9.7e+07	4	-1.54338160157204
chr1	97000001	97100000	4	-1.48095430880785
chr1	97200001	97300000	4	-1.43772968649864
chr1	97300001	97400000	4	0.130827683466487
chr1	97400001	97500000	4	0.352001870144159
chr1	97500001	97600000	4	0.377314953319728
chr1	97800001	97900000	4	1.08156893998384
chr1	98000001	98100000	4	1.37903966158628
chr1	98100001	98200000	4	1.52962055504322
chr1	99100001	99200000	4	-0.186493045731913
chr1	99200001	99300000	4	0.874895074218512
chr1	99400001	99500000	4	0.26640828885138
chr1	100000001	100100000	4	0.181434830185026
chr1	100100001	100200000	4	-0.279792539519258
chr1	100200001	100300000	4	-1.32210991978645
chr1	101100001	101200000	4	-0.237886423803866
chr1	101600001	101700000	4	-0.677353442646563
chr1	101700001	101800000	4	-0.674071677401662
chr1	102100001	102200000	4	-0.52427089503035
chr1	102400001	102500000	4	0.388726730365306
chr1	103200001	103300000	4	1.14829235076904
chr1	103700001	103800000	4	0.636731407046318
chr1	104100001	104200000	4	0.639298890531063
chr1	108000001	108100000	4	1.07097215652466
chr1	108200001	108300000	4	0.844622641056776
chr1	108400001	108500000	4	1.23957410305738
chr1	109100001	109200000	4	-0.64497338347137
chr1	158900001	1.59e+08	4	0.921889393776655
chr1	163500001	163600000	4	0.407313125301152
chr1	163600001	163700000	4	0.777271187119186
chr1	164500001	164600000	4	-1.49645884018391
chr1	164700001	164800000	4	-1.07020980417728
chr1	164800001	164900000	4	-0.607168270274997
chr1	165000001	165100000	4	-0.840391891822219
chr1	165500001	165600000	4	-0.0759086033329368
chr1	168600001	168700000	4	0.452215971052647
chr1	168800001	168900000	4	-0.557511978968978
chr1	169100001	169200000	4	0.220382190517557
chr1	169300001	169400000	4	0.0947796836495399
chr1	169400001	169500000	4	0.428809082030784
chr1	169800001	169900000	4	-0.475254009757191
chr1	170200001	170300000	4	1.0326958373189
chr1	170600001	170700000	4	0.22256666123867
chr1	172000001	172100000	4	1.01834894567728
chr1	172200001	172300000	4	0.762350726639852
chr1	172300001	172400000	4	-0.181270818877965
chr1	172400001	172500000	4	0.227425321936607
chr1	172500001	172600000	4	0.133693461120129
chr1	172600001	172700000	4	1.13567021638155
chr1	172800001	172900000	4	1.42089841365814
chr1	173300001	173400000	4	0.745075244829059
chr1	174000001	174100000	4	-0.00973434951156378
chr1	174100001	174200000	4	-0.00667265206575394
chr1	174900001	1.75e+08	4	-0.343577346205711
chr1	175900001	1.76e+08	4	-0.533942764997482
chr1	176100001	176200000	4	-1.01463629752398
chr1	178000001	178100000	4	-1.17047771811485
chr1	178300001	178400000	4	-0.509758985973895
chr1	181200001	181300000	4	0.720238065486774
chr1	182300001	182400000	4	-0.839055303676287
chr1	183600001	183700000	4	-0.895614603161812
chr1	183900001	1.84e+08	4	-1.66479113101959
chr1	184300001	184400000	4	-0.806602443754673
chr1	184400001	184500000	4	-0.60027235224843
chr1	184600001	184700000	4	-0.846740256249905
chr1	184700001	184800000	4	-0.296618552878499
chr1	184800001	184900000	4	0.657748693972826
chr1	184900001	1.85e+08	4	0.412870344147086
chr1	185200001	185300000	4	0.0477166280150414
chr1	185300001	185400000	4	0.643031383026391
chr1	185400001	185500000	4	1.09724370352924
chr1	185500001	185600000	4	0.787631747871637
chr1	185800001	185900000	4	1.02554012171458
chr1	186000001	186100000	4	1.95044727921486
chr1	186100001	186200000	4	1.45246805250645
chr1	186200001	186300000	4	0.84941031918861
chr1	186300001	186400000	4	-0.274710614234209
chr1	186600001	186700000	4	1.26786640360951
chr1	187100001	187200000	4	1.40593492239714
chr1	187300001	187400000	4	1.1727971509099
chr1	187800001	187900000	4	1.43854579925537
chr1	187900001	1.88e+08	4	1.39808327555656
chr1	188000001	188100000	4	1.22842963039875
chr1	188100001	188200000	4	1.11706338468939
chr1	188300001	188400000	4	0.833295661583543
chr1	188400001	188500000	4	0.885330213606358
chr1	188500001	188600000	4	0.621822066511959
chr1	189100001	189200000	4	0.760552350746002
chr1	189200001	189300000	4	1.05088546872139
chr1	189400001	189500000	4	1.35861174336169
chr1	189900001	1.9e+08	4	0.399801799934357
chr1	190000001	190100000	4	0.632971372362226
chr1	190200001	190300000	4	1.46471472978592
chr1	190900001	1.91e+08	4	1.06816680282354
chr1	191000001	191100000	4	1.628776460886
chr1	191100001	191200000	4	1.31107458919287
chr1	191400001	191500000	4	1.74616948366165
chr1	191800001	191900000	4	1.4617585003376
chr1	191900001	1.92e+08	4	1.57102745473385
chr1	192700001	192800000	4	-0.79146357215941
chr1	192800001	192900000	4	-0.207085526408628
chr1	193600001	193700000	4	1.09364363700151
chr1	193700001	193800000	4	1.40823445096612
chr1	194000001	194100000	4	1.49074258953333
chr1	194100001	194200000	4	2.07281569838524
chr1	194400001	194500000	4	1.92071154713631
chr1	194500001	194600000	4	1.85561164021492
chr1	194600001	194700000	4	1.821212233603
chr1	194700001	194800000	4	2.30920018851757
chr1	195000001	195100000	4	1.49854874163866
chr1	195100001	195200000	4	1.51135838478804
chr1	195300001	195400000	4	1.30608717501163
chr1	195500001	195600000	4	1.10641938801855
chr1	195900001	1.96e+08	4	1.65144419372082
chr1	196100001	196200000	4	1.43189007341862
chr1	196600001	196700000	4	2.04445610940456
chr1	196800001	196900000	4	1.79732166230679
chr1	197700001	197800000	4	-0.566884455084801
chr1	198100001	198200000	4	-0.0399689979851246
chr1	198500001	198600000	4	1.45995872318745
chr1	199000001	199100000	4	0.309984291344881
chr1	199100001	199200000	4	-0.135575029067695
chr1	199300001	199400000	4	1.30092876404524
chr1	199400001	199500000	4	0.662451975606382
chr1	199600001	199700000	4	-1.12274025380611
chr1	199700001	199800000	4	-1.37996253073215
chr1	199800001	199900000	4	-1.28505735397339
chr1	199900001	2e+08	4	-1.82190950512886
chr1	200000001	200100000	4	-1.94808657765389
chr1	200400001	200500000	4	-1.53073634207249
chr1	207300001	207400000	4	0.873776814341545
chr1	207700001	207800000	4	0.232675025239587
chr1	208800001	208900000	4	1.13932824283838
chr1	209400001	209500000	4	1.31070681735873
chr1	209500001	209600000	4	-0.476754676923156
chr1	209600001	209700000	4	0.609409331018105
chr1	210100001	210200000	4	1.09637341201305
chr1	210200001	210300000	4	0.635867559164763
chr1	210300001	210400000	4	0.62569768242538
chr1	210400001	210500000	4	-1.14018922001123
chr1	210500001	210600000	4	-0.857428847113624
chr1	211300001	211400000	4	0.70216153524816
chr1	211400001	211500000	4	-1.05419439561665
chr1	213000001	213100000	4	-1.65644460171461
chr1	213200001	213300000	4	-1.21547026634216
chr1	213400001	213500000	4	-0.403411199897528
chr1	213700001	213800000	4	0.733776897192001
chr1	213900001	2.14e+08	4	0.799102395027876
chr1	214100001	214200000	4	-0.72466889526695
chr1	214400001	214500000	4	-1.35885971188545
chr1	214600001	214700000	4	-1.03578807264566
chr1	214800001	214900000	4	-0.242486868798733
chr1	215100001	215200000	4	0.826948142796755
chr1	215200001	215300000	4	-0.4738275680691
chr1	215300001	215400000	4	0.172390747675672
chr1	215500001	215600000	4	0.875438998639584
chr1	215700001	215800000	4	-0.76834016063367
chr1	215800001	215900000	4	0.615510769933462
chr1	216600001	216700000	4	1.28544567972422
chr1	217100001	217200000	4	-0.952272813767195
chr1	217200001	217300000	4	0.306799763161689
chr1	217300001	217400000	4	0.685841899365187
chr1	217400001	217500000	4	-0.115614422410727
chr1	217600001	217700000	4	1.02662784978747
chr1	218600001	218700000	4	0.746009518951178
chr1	218700001	218800000	4	0.58862664597109
chr1	219600001	219700000	4	1.05485516190529
chr1	219700001	219800000	4	0.114510372187942
chr1	219800001	219900000	4	0.895410332083702
chr1	220100001	220200000	4	-0.461108428239822
chr1	220200001	220300000	4	-1.26635893583298
chr1	220800001	220900000	4	-0.541909537091851
chr1	221000001	221100000	4	0.866600221395493
chr1	221100001	221200000	4	2.32235493659973
chr1	221200001	221300000	4	2.34535884857178
chr1	221300001	221400000	4	1.62334177345037
chr1	221400001	221500000	4	1.48099382817745
chr1	221500001	221600000	4	2.23403914570808
chr1	221600001	221700000	4	1.43244306575507
chr1	221700001	221800000	4	1.73458250313997
chr1	222000001	222100000	4	1.82844753563404
chr1	222200001	222300000	4	1.42271808534861
chr1	222300001	222400000	4	1.7622162938118
chr1	222500001	222600000	4	1.85413290262222
chr1	222600001	222700000	4	0.195436671376228
chr1	223000001	223100000	4	0.543591689318419
chr1	223100001	223200000	4	0.432828407362103
chr1	223300001	223400000	4	0.269261855445802
chr1	223500001	223600000	4	0.581735872849822
chr1	224600001	224700000	4	-1.67521538436413
chr1	225100001	225200000	4	0.0117419680580497
chr1	225500001	225600000	4	-1.00345030408353
chr1	231700001	231800000	4	-0.189481824450195
chr1	231800001	231900000	4	1.32299086544663
chr1	232000001	232100000	4	1.11138455346227
chr1	232100001	232200000	4	1.3512681812048
chr1	232200001	232300000	4	0.688352096290328
chr1	232300001	232400000	4	-0.252771612070501
chr1	232400001	232500000	4	-0.835580004937947
chr1	232500001	232600000	4	-1.20743127539754
chr1	232600001	232700000	4	-1.40825466103852
chr1	232700001	232800000	4	-1.02905879914761
chr1	232800001	232900000	4	0.891921919584274
chr1	233100001	233200000	4	0.885703924670816
chr1	233500001	233600000	4	0.389577982015908
chr1	233600001	233700000	4	1.32594857513905
chr1	233700001	233800000	4	0.09372612927109
chr1	233800001	233900000	4	1.33519520461559
chr1	234000001	234100000	4	1.75114240455441
chr1	234100001	234200000	4	1.7960938513279
chr1	234200001	234300000	4	0.859643705934286
chr1	234600001	234700000	4	-1.65824753493071
chr1	235800001	235900000	4	-1.12186251431704
chr1	236200001	236300000	4	-1.29257086664438
chr1	236400001	236500000	4	-0.667595759034157
chr1	236600001	236700000	4	-1.16342124938965
chr1	236800001	236900000	4	0.265609112381935
chr1	236900001	2.37e+08	4	-0.426234761299565
chr1	237000001	237100000	4	0.0555014811456204
chr1	237300001	237400000	4	1.83163486123085
chr1	237400001	237500000	4	1.93426473140717
chr1	238700001	238800000	4	0.856820157915354
chr1	238800001	238900000	4	1.18376823067665
chr1	240500001	240600000	4	1.36467385292053
chr1	240600001	240700000	4	1.26683012545109
chr1	241000001	241100000	4	2.21123731732368
chr1	241100001	241200000	4	1.98851541280746
chr1	241400001	241500000	4	2.17277703881264
chr1	241500001	241600000	4	1.94294770658016
chr1	241800001	241900000	4	0.553988637030125
chr1	241900001	2.42e+08	4	0.744608174730092
chr1	242000001	242100000	4	-0.8903026483953
chr1	242100001	242200000	4	-1.44265469238162
chr1	242200001	242300000	4	-1.13498863950372
chr1	242300001	242400000	4	-1.16840018108487
chr1	242400001	242500000	4	-0.832439620792866
chr1	242500001	242600000	4	-0.667334944754839
chr1	242600001	242700000	4	-0.909857117664069
chr1	242700001	242800000	4	-0.16116367476061
chr1	242800001	242900000	4	0.281009697727859
chr1	242900001	2.43e+08	4	0.618198764650151
chr1	243200001	243300000	4	-0.304918588907458
chr1	243300001	243400000	4	-0.763140496611595
chr1	243400001	243500000	4	-1.06804876029491
chr1	243600001	243700000	4	-0.858501849323511
chr1	244200001	244300000	4	-0.928077034652233
chr1	244500001	244600000	4	-0.738548832386732
chr1	244600001	244700000	4	-0.113330851867795
chr1	244900001	2.45e+08	4	-0.808422983624041
chr1	245100001	245200000	4	-0.652857031114399
chr1	245400001	245500000	4	0.865426660235971
chr1	245500001	245600000	4	0.849151653237641
chr1	246000001	246100000	4	0.440489395614713
chr1	246100001	246200000	4	0.161431872181129
chr1	246200001	246300000	4	0.309685402177274
chr1	246300001	246400000	4	0.0809697879478335
chr1	246400001	246500000	4	0.0568561295047402
chr1	246500001	246600000	4	0.193063597381115
chr1	246800001	246900000	4	-1.13573309630156
chr1	247000001	247100000	4	-1.47194743454456
chr1	13200001	13300000	5	0.0212359599769115
chr1	47100001	47200000	5	-1.10469512231648
chr1	47700001	47800000	5	-1.39371442347765
chr1	47800001	47900000	5	-1.63045234382153
chr1	48500001	48600000	5	0.337721534632146
chr1	48600001	48700000	5	0.628125125542283
chr1	48700001	48800000	5	1.14747975450009
chr1	48800001	48900000	5	1.17254559397697
chr1	49000001	49100000	5	0.681627148389816
chr1	49200001	49300000	5	0.591506663803011
chr1	49300001	49400000	5	1.24553626477718
chr1	49400001	49500000	5	1.20734838247299
chr1	49500001	49600000	5	1.38913032114506
chr1	49600001	49700000	5	1.480656722188
chr1	49800001	49900000	5	1.46302238255739
chr1	50200001	50300000	5	1.44287429749966
chr1	50400001	50500000	5	1.3935327203013
chr1	50500001	50600000	5	1.38429746776819
chr1	50600001	50700000	5	0.879054504446685
chr1	50700001	50800000	5	0.374163834005594
chr1	50800001	50900000	5	-0.492113395524211
chr1	51000001	51100000	5	-0.751286348700523
chr1	51100001	51200000	5	-0.762348780035973
chr1	51300001	51400000	5	-0.776808320730925
chr1	51400001	51500000	5	-1.06466524526477
chr1	51500001	51600000	5	-0.387459690673859
chr1	51900001	5.2e+07	5	-1.4761294785887
chr1	52100001	52200000	5	-1.35706871151924
chr1	52900001	5.3e+07	5	-1.42570635974407
chr1	55600001	55700000	5	-1.13556994348764
chr1	55700001	55800000	5	-0.566521709598601
chr1	55800001	55900000	5	0.731939542852342
chr1	55900001	5.6e+07	5	0.965170903503895
chr1	56300001	56400000	5	1.37177091538906
chr1	56400001	56500000	5	1.39536074027419
chr1	56500001	56600000	5	1.6226076617837
chr1	56700001	56800000	5	1.15762035697699
chr1	56800001	56900000	5	-0.0197022998705506
chr1	56900001	5.7e+07	5	-1.25218779295683
chr1	57100001	57200000	5	0.0372575068846345
chr1	57200001	57300000	5	1.01164941042662
chr1	57300001	57400000	5	1.2020503744483
chr1	57600001	57700000	5	1.26689813435078
chr1	57700001	57800000	5	1.23140740394592
chr1	57800001	57900000	5	1.35861125290394
chr1	57900001	5.8e+07	5	1.42527317553759
chr1	58000001	58100000	5	1.20244117379189
chr1	58300001	58400000	5	0.777880402468145
chr1	58500001	58600000	5	1.04101546853781
chr1	58600001	58700000	5	1.13899949491024
chr1	58700001	58800000	5	1.27545082718134
