chrom	start	end	MboI
chr1	8400000	9400000	2994
chr1	8500000	9500000	3022
chr1	8600000	9600000	3056
chr1	8700000	9700000	3123
chr1	8800000	9800000	3165
chr1	8900000	9900000	3201
chr1	9000000	10000000	3174
chr1	9100000	10100000	3253
chr1	9200000	10200000	3283
chr1	9300000	10300000	3294
chr1	9400000	10400000	3303
chr1	9500000	10500000	3361
chr1	9600000	10600000	3382
chr1	9700000	10700000	3325
chr1	9800000	10800000	3206
chr1	9900000	10900000	3120
chr1	10000000	11000000	3108
chr1	10100000	11100000	3015
chr1	10200000	11200000	2987
chr1	10300000	11300000	2959
chr1	10400000	11400000	2994
chr1	10500000	11500000	3001
chr1	10600000	11600000	2924
chr1	10700000	11700000	2922
chr1	10800000	11800000	3020
chr1	10900000	11900000	3039
chr1	11000000	12000000	3062
chr1	11100000	12100000	3065
chr1	11200000	12200000	3036
chr1	11300000	12300000	2992
chr1	11400000	12400000	2971
chr1	11500000	12500000	2911
chr1	11600000	12600000	2931
chr1	11700000	12700000	2953
chr1	11800000	12800000	2930
chr1	11900000	12900000	2949
chr1	12000000	13000000	2972
chr1	12100000	13100000	2843
chr1	12200000	13200000	2932
chr1	12300000	13300000	2745
chr1	12400000	13400000	2731
chr1	12500000	13500000	2818
chr1	12600000	13600000	2747
chr1	12700000	13700000	2767
chr1	12800000	13800000	2855
chr1	12900000	13900000	2836
chr1	13000000	14000000	2793
chr1	13100000	14100000	2869
chr1	13200000	14200000	2763
chr1	13300000	14300000	2962
chr1	13400000	14400000	2905
chr1	13500000	14500000	2821
chr1	13600000	14600000	2840
chr1	13700000	14700000	2792
chr1	13800000	14800000	2691
chr1	13900000	14900000	2695
chr1	14000000	15000000	2632
chr1	14100000	15100000	2651
chr1	14200000	15200000	2676
chr1	14300000	15300000	2684
chr1	14400000	15400000	2715
chr1	14500000	15500000	2707
chr1	14600000	15600000	2754
chr1	14700000	15700000	2769
chr1	14800000	15800000	2814
chr1	14900000	15900000	2816
chr1	15000000	16000000	2876
chr1	15100000	16100000	2896
chr1	15200000	16200000	2982
chr1	15300000	16300000	2987
chr1	15400000	16400000	2980
chr1	15500000	16500000	2989
chr1	15600000	16600000	2996
chr1	15700000	16700000	3071
chr1	15800000	16800000	3096
chr1	15900000	16900000	3080
chr1	16000000	17000000	3026
chr1	16100000	17100000	2961
chr1	16200000	17200000	2709
chr1	16300000	17300000	2680
chr1	16400000	17400000	2707
chr1	16500000	17500000	2703
chr1	16600000	17600000	2671
chr1	16700000	17700000	2613
chr1	16800000	17800000	2626
chr1	16900000	17900000	2692
chr1	17000000	18000000	2688
chr1	17100000	18100000	2679
chr1	17200000	18200000	2813
chr1	17300000	18300000	2845
chr1	17400000	18400000	2811
chr1	17500000	18500000	2770
chr1	17600000	18600000	2790
chr1	17700000	18700000	2740
chr1	17800000	18800000	2643
chr1	17900000	18900000	2530
chr1	18000000	19000000	2516
chr1	18100000	19100000	2542
chr1	18200000	19200000	2574
chr1	18300000	19300000	2567
chr1	18400000	19400000	2596
chr1	18500000	19500000	2634
chr1	18600000	19600000	2687
chr1	18700000	19700000	2744
chr1	18800000	19800000	2769
chr1	18900000	19900000	2888
chr1	19000000	20000000	2955
chr1	19100000	20100000	2993
chr1	19200000	20200000	2996
chr1	19300000	20300000	2993
chr1	19400000	20400000	2978
chr1	19500000	20500000	3002
chr1	19600000	20600000	2912
chr1	19700000	20700000	2897
chr1	19800000	20800000	2869
chr1	19900000	20900000	2855
chr1	20000000	21000000	2875
chr1	20100000	21100000	2861
chr1	20200000	21200000	2862
chr1	20300000	21300000	2846
chr1	20400000	21400000	2848
chr1	20500000	21500000	2875
chr1	20600000	21600000	2967
chr1	20700000	21700000	2974
chr1	20800000	21800000	3000
chr1	20900000	21900000	2954
chr1	21000000	22000000	2869
chr1	21100000	22100000	2873
chr1	21200000	22200000	2889
chr1	21300000	22300000	2886
chr1	21400000	22400000	2980
chr1	21500000	22500000	2929
chr1	21600000	22600000	2874
chr1	21700000	22700000	2835
chr1	21800000	22800000	2817
chr1	21900000	22900000	2770
chr1	22000000	23000000	2766
chr1	22100000	23100000	2721
chr1	22200000	23200000	2651
chr1	22300000	23300000	2671
chr1	22400000	23400000	2601
chr1	22500000	23500000	2657
chr1	22600000	23600000	2738
chr1	22700000	23700000	2774
chr1	22800000	23800000	2852
chr1	22900000	23900000	2941
chr1	23000000	24000000	3011
chr1	23100000	24100000	3110
chr1	23200000	24200000	3204
chr1	23300000	24300000	3265
chr1	23400000	24400000	3291
chr1	23500000	24500000	3242
chr1	23600000	24600000	3175
chr1	23700000	24700000	3139
chr1	23800000	24800000	3077
chr1	23900000	24900000	3049
chr1	24000000	25000000	3044
chr1	24100000	25100000	3037
chr1	24200000	25200000	2997
chr1	24300000	25300000	2907
chr1	24400000	25400000	2803
chr1	24500000	25500000	2835
chr1	24600000	25600000	2853
chr1	24700000	25700000	2901
chr1	24800000	25800000	2906
chr1	24900000	25900000	2864
chr1	25000000	26000000	2819
chr1	25100000	26100000	2734
chr1	25200000	26200000	2717
chr1	25300000	26300000	2781
chr1	25400000	26400000	2890
chr1	25500000	26500000	2934
chr1	25600000	26600000	2947
chr1	25700000	26700000	2951
chr1	25800000	26800000	3006
chr1	25900000	26900000	3080
chr1	26000000	27000000	3171
chr1	26100000	27100000	3225
chr1	26200000	27200000	3247
chr1	26300000	27300000	3280
chr1	26400000	27400000	3286
chr1	26500000	27500000	3246
chr1	26600000	27600000	3284
chr1	26700000	27700000	3264
chr1	26800000	27800000	3261
chr1	26900000	27900000	3202
chr1	27000000	28000000	3123
chr1	27100000	28100000	3157
chr1	27200000	28200000	3184
chr1	27300000	28300000	3187
chr1	27400000	28400000	3154
chr1	27500000	28500000	3212
chr1	27600000	28600000	3200
chr1	27700000	28700000	3293
chr1	27800000	28800000	3311
chr1	27900000	28900000	3430
chr1	28000000	29000000	3513
chr1	28100000	29100000	3537
chr1	28200000	29200000	3558
chr1	28300000	29300000	3566
chr1	28400000	29400000	3559
chr1	28500000	29500000	3519
chr1	28600000	29600000	3503
chr1	28700000	29700000	3380
chr1	28800000	29800000	3300
chr1	28900000	29900000	3113
chr1	29000000	30000000	2754
chr1	29100000	30100000	2578
chr1	29200000	30200000	2504
chr1	29300000	30300000	2384
chr1	29400000	30400000	2322
chr1	29500000	30500000	2256
chr1	29600000	30600000	2187
chr1	29700000	30700000	2162
chr1	29800000	30800000	2162
chr1	29900000	30900000	2186
chr1	30000000	31000000	2464
chr1	30100000	31100000	2527
chr1	30200000	31200000	2514
chr1	30300000	31300000	2527
chr1	30400000	31400000	2569
chr1	30500000	31500000	2573
chr1	30600000	31600000	2680
chr1	30700000	31700000	2827
chr1	30800000	31800000	2881
chr1	30900000	31900000	2934
chr1	31000000	32000000	2912
chr1	31100000	32100000	2954
chr1	31200000	32200000	2932
chr1	31300000	32300000	2924
chr1	31400000	32400000	2979
chr1	31500000	32500000	3058
chr1	31600000	32600000	3054
chr1	31700000	32700000	2990
chr1	31800000	32800000	3025
chr1	31900000	32900000	3039
chr1	32000000	33000000	3122
chr1	32100000	33100000	3193
chr1	32200000	33200000	3319
chr1	32300000	33300000	3395
chr1	32400000	33400000	3346
chr1	32500000	33500000	3283
chr1	32600000	33600000	3179
chr1	32700000	33700000	3140
chr1	32800000	33800000	3048
chr1	32900000	33900000	2988
chr1	33000000	34000000	2916
chr1	33100000	34100000	2821
chr1	33200000	34200000	2703
chr1	33300000	34300000	2658
chr1	33400000	34400000	2642
chr1	33500000	34500000	2666
chr1	33600000	34600000	2664
chr1	33700000	34700000	2626
chr1	33800000	34800000	2620
chr1	33900000	34900000	2617
chr1	34000000	35000000	2608
chr1	34100000	35100000	2630
chr1	34200000	35200000	2643
chr1	34300000	35300000	2603
chr1	34400000	35400000	2618
chr1	34500000	35500000	2565
chr1	34600000	35600000	2652
chr1	34700000	35700000	2732
chr1	34800000	35800000	2790
chr1	34900000	35900000	2812
chr1	35000000	36000000	2823
chr1	35100000	36100000	2776
chr1	35200000	36200000	2829
chr1	35300000	36300000	2920
chr1	35400000	36400000	2939
chr1	35500000	36500000	2977
chr1	35600000	36600000	2959
chr1	35700000	36700000	2941
chr1	35800000	36800000	2968
chr1	35900000	36900000	3012
chr1	36000000	37000000	3048
chr1	36100000	37100000	3044
chr1	36200000	37200000	2992
chr1	36300000	37300000	2891
chr1	36400000	37400000	2835
chr1	36500000	37500000	2796
chr1	36600000	37600000	2744
chr1	36700000	37700000	2701
chr1	36800000	37800000	2589
chr1	36900000	37900000	2569
chr1	37000000	38000000	2577
chr1	37100000	38100000	2653
chr1	37200000	38200000	2660
chr1	37300000	38300000	2732
chr1	37400000	38400000	2814
chr1	37500000	38500000	2882
chr1	37600000	38600000	2856
chr1	37700000	38700000	2895
chr1	37800000	38800000	2916
chr1	37900000	38900000	2899
chr1	38000000	39000000	2833
chr1	38100000	39100000	2765
chr1	38200000	39200000	2748
chr1	38300000	39300000	2754
chr1	38400000	39400000	2748
chr1	38500000	39500000	2799
chr1	38600000	39600000	2888
chr1	38700000	39700000	2891
chr1	38800000	39800000	2894
chr1	38900000	39900000	2931
chr1	39000000	40000000	2952
chr1	39100000	40100000	3030
chr1	39200000	40200000	3057
chr1	39300000	40300000	3021
chr1	39400000	40400000	3014
chr1	39500000	40500000	2952
chr1	39600000	40600000	2923
chr1	39700000	40700000	2908
chr1	39800000	40800000	2985
chr1	39900000	40900000	2950
chr1	40000000	41000000	2972
chr1	40100000	41100000	2925
chr1	40200000	41200000	2943
chr1	40300000	41300000	2940
chr1	40400000	41400000	2919
chr1	40500000	41500000	2921
chr1	40600000	41600000	2892
chr1	40700000	41700000	2862
chr1	40800000	41800000	2799
chr1	40900000	41900000	2758
chr1	41000000	42000000	2665
chr1	41100000	42100000	2642
chr1	41200000	42200000	2577
chr1	41300000	42300000	2558
chr1	41400000	42400000	2490
chr1	41500000	42500000	2451
chr1	41600000	42600000	2423
chr1	41700000	42700000	2409
chr1	41800000	42800000	2419
chr1	41900000	42900000	2499
chr1	42000000	43000000	2584
chr1	42100000	43100000	2594
chr1	42200000	43200000	2651
chr1	42300000	43300000	2688
chr1	42400000	43400000	2735
chr1	42500000	43500000	2719
chr1	42600000	43600000	2753
chr1	42700000	43700000	2816
chr1	42800000	43800000	2821
chr1	42900000	43900000	2822
chr1	43000000	44000000	2829
chr1	43100000	44100000	2792
chr1	43200000	44200000	2795
chr1	43300000	44300000	2771
chr1	43400000	44400000	2788
chr1	43500000	44500000	2810
chr1	43600000	44600000	2860
chr1	43700000	44700000	2842
chr1	43800000	44800000	2798
chr1	43900000	44900000	2741
chr1	44000000	45000000	2757
chr1	44100000	45100000	2786
chr1	44200000	45200000	2809
chr1	44300000	45300000	2893
chr1	44400000	45400000	2916
chr1	44500000	45500000	2993
chr1	44600000	45600000	2929
chr1	44700000	45700000	2945
chr1	44800000	45800000	2984
chr1	44900000	45900000	3057
chr1	45000000	46000000	3113
chr1	45100000	46100000	3189
chr1	45200000	46200000	3188
chr1	45300000	46300000	3183
chr1	45400000	46400000	3126
chr1	45500000	46500000	3091
chr1	45600000	46600000	3078
chr1	45700000	46700000	3119
chr1	45800000	46800000	3169
chr1	45900000	46900000	3162
chr1	46000000	47000000	3044
chr1	46100000	47100000	2986
chr1	46200000	47200000	2934
chr1	46300000	47300000	2843
chr1	46400000	47400000	2848
chr1	46500000	47500000	2812
chr1	46600000	47600000	2802
chr1	46700000	47700000	2738
chr1	46800000	47800000	2741
chr1	46900000	47900000	2728
chr1	47000000	48000000	2755
chr1	47100000	48100000	2729
chr1	47200000	48200000	2709
chr1	47300000	48300000	2702
chr1	47400000	48400000	2693
chr1	47500000	48500000	2661
chr1	47600000	48600000	2679
chr1	47700000	48700000	2620
chr1	47800000	48800000	2542
chr1	47900000	48900000	2460
chr1	48000000	49000000	2433
chr1	48100000	49100000	2422
chr1	48200000	49200000	2413
chr1	48300000	49300000	2406
chr1	48400000	49400000	2417
chr1	48500000	49500000	2403
chr1	48600000	49600000	2372
chr1	48700000	49700000	2407
chr1	48800000	49800000	2414
chr1	48900000	49900000	2448
chr1	49000000	50000000	2442
chr1	49100000	50100000	2442
chr1	49200000	50200000	2449
chr1	49300000	50300000	2454
chr1	49400000	50400000	2438
chr1	49500000	50500000	2434
chr1	49600000	50600000	2434
chr1	49700000	50700000	2409
chr1	49800000	50800000	2405
chr1	49900000	50900000	2402
chr1	50000000	51000000	2380
chr1	50100000	51100000	2375
chr1	50200000	51200000	2405
chr1	50300000	51300000	2424
chr1	50400000	51400000	2430
chr1	50500000	51500000	2465
chr1	50600000	51600000	2515
chr1	50700000	51700000	2624
chr1	50800000	51800000	2650
chr1	50900000	51900000	2696
chr1	51000000	52000000	2742
chr1	51100000	52100000	2825
chr1	51200000	52200000	2815
chr1	51300000	52300000	2791
chr1	51400000	52400000	2845
chr1	51500000	52500000	2878
chr1	51600000	52600000	2904
chr1	51700000	52700000	2889
chr1	51800000	52800000	2905
chr1	51900000	52900000	2901
chr1	52000000	53000000	2883
chr1	52100000	53100000	2855
chr1	52200000	53200000	2921
chr1	52300000	53300000	3023
chr1	52400000	53400000	3037
chr1	52500000	53500000	3033
chr1	52600000	53600000	2958
chr1	52700000	53700000	2895
chr1	52800000	53800000	2816
chr1	52900000	53900000	2779
chr1	53000000	54000000	2727
chr1	53100000	54100000	2667
chr1	53200000	54200000	2586
chr1	53300000	54300000	2558
chr1	53400000	54400000	2514
chr1	53500000	54500000	2521
chr1	53600000	54600000	2551
chr1	53700000	54700000	2576
chr1	53800000	54800000	2599
chr1	53900000	54900000	2594
chr1	54000000	55000000	2715
chr1	54100000	55100000	2763
chr1	54200000	55200000	2818
chr1	54300000	55300000	2755
chr1	54400000	55400000	2748
chr1	54500000	55500000	2677
chr1	54600000	55600000	2650
chr1	54700000	55700000	2604
chr1	54800000	55800000	2634
chr1	54900000	55900000	2629
chr1	55000000	56000000	2552
chr1	55100000	56100000	2500
chr1	55200000	56200000	2429
chr1	55300000	56300000	2441
chr1	55400000	56400000	2420
chr1	55500000	56500000	2405
chr1	55600000	56600000	2418
chr1	55700000	56700000	2400
chr1	55800000	56800000	2379
chr1	55900000	56900000	2392
chr1	56000000	57000000	2436
chr1	56100000	57100000	2464
chr1	56200000	57200000	2474
chr1	56300000	57300000	2475
chr1	56400000	57400000	2489
chr1	56500000	57500000	2506
chr1	56600000	57600000	2505
chr1	56700000	57700000	2535
chr1	56800000	57800000	2525
chr1	56900000	57900000	2493
chr1	57000000	58000000	2449
chr1	57100000	58100000	2466
chr1	57200000	58200000	2480
chr1	57300000	58300000	2472
chr1	57400000	58400000	2435
chr1	57500000	58500000	2467
chr1	57600000	58600000	2481
chr1	57700000	58700000	2452
chr1	57800000	58800000	2479
chr1	57900000	58900000	2506
chr1	58000000	59000000	2516
chr1	58100000	59100000	2503
chr1	58200000	59200000	2501
chr1	58300000	59300000	2501
chr1	58400000	59400000	2529
chr1	58500000	59500000	2485
chr1	58600000	59600000	2488
chr1	58700000	59700000	2499
chr1	58800000	59800000	2452
chr1	58900000	59900000	2413
chr1	59000000	60000000	2422
chr1	59100000	60100000	2413
chr1	59200000	60200000	2419
chr1	59300000	60300000	2426
chr1	59400000	60400000	2385
chr1	59500000	60500000	2396
chr1	59600000	60600000	2354
chr1	59700000	60700000	2324
chr1	59800000	60800000	2330
chr1	59900000	60900000	2356
chr1	60000000	61000000	2336
chr1	60100000	61100000	2301
chr1	60200000	61200000	2305
chr1	60300000	61300000	2295
chr1	60400000	61400000	2304
chr1	60500000	61500000	2318
chr1	60600000	61600000	2342
chr1	60700000	61700000	2374
chr1	60800000	61800000	2388
chr1	60900000	61900000	2376
chr1	61000000	62000000	2358
chr1	61100000	62100000	2412
chr1	61200000	62200000	2454
chr1	61300000	62300000	2500
chr1	61400000	62400000	2503
chr1	61500000	62500000	2517
chr1	61600000	62600000	2560
chr1	61700000	62700000	2686
chr1	61800000	62800000	2729
chr1	61900000	62900000	2793
chr1	62000000	63000000	2835
chr1	62100000	63100000	2803
chr1	62200000	63200000	2783
chr1	62300000	63300000	2728
chr1	62400000	63400000	2750
chr1	62500000	63500000	2728
chr1	62600000	63600000	2677
chr1	62700000	63700000	2549
chr1	62800000	63800000	2579
chr1	62900000	63900000	2572
chr1	63000000	64000000	2551
chr1	63100000	64100000	2570
chr1	63200000	64200000	2539
chr1	63300000	64300000	2539
chr1	63400000	64400000	2535
chr1	63500000	64500000	2546
chr1	63600000	64600000	2564
chr1	63700000	64700000	2564
chr1	63800000	64800000	2539
chr1	63900000	64900000	2489
chr1	64000000	65000000	2458
chr1	64100000	65100000	2454
chr1	64200000	65200000	2456
chr1	64300000	65300000	2457
chr1	64400000	65400000	2460
chr1	64500000	65500000	2492
chr1	64600000	65600000	2537
chr1	64700000	65700000	2613
chr1	64800000	65800000	2586
chr1	64900000	65900000	2587
chr1	65000000	66000000	2616
chr1	65100000	66100000	2581
chr1	65200000	66200000	2573
chr1	65300000	66300000	2556
chr1	65400000	66400000	2531
chr1	65500000	66500000	2461
chr1	65600000	66600000	2375
chr1	65700000	66700000	2294
chr1	65800000	66800000	2254
chr1	65900000	66900000	2277
chr1	66000000	67000000	2288
chr1	66100000	67100000	2291
chr1	66200000	67200000	2245
chr1	66300000	67300000	2280
chr1	66400000	67400000	2287
chr1	66500000	67500000	2299
chr1	66600000	67600000	2328
chr1	66700000	67700000	2371
chr1	66800000	67800000	2416
chr1	66900000	67900000	2424
chr1	67000000	68000000	2506
chr1	67100000	68100000	2551
chr1	67200000	68200000	2625
chr1	67300000	68300000	2605
chr1	67400000	68400000	2640
chr1	67500000	68500000	2652
chr1	67600000	68600000	2646
chr1	67700000	68700000	2623
chr1	67800000	68800000	2666
chr1	67900000	68900000	2635
chr1	68000000	69000000	2549
chr1	68100000	69100000	2488
chr1	68200000	69200000	2450
chr1	68300000	69300000	2440
chr1	68400000	69400000	2411
chr1	68500000	69500000	2412
chr1	68600000	69600000	2409
chr1	68700000	69700000	2381
chr1	68800000	69800000	2335
chr1	68900000	69900000	2321
chr1	69000000	70000000	2286
chr1	69100000	70100000	2288
chr1	69200000	70200000	2248
chr1	69300000	70300000	2218
chr1	69400000	70400000	2206
chr1	69500000	70500000	2204
chr1	69600000	70600000	2191
chr1	69700000	70700000	2181
chr1	69800000	70800000	2200
chr1	69900000	70900000	2281
chr1	70000000	71000000	2338
chr1	70100000	71100000	2337
chr1	70200000	71200000	2380
chr1	70300000	71300000	2410
chr1	70400000	71400000	2424
chr1	70500000	71500000	2405
chr1	70600000	71600000	2430
chr1	70700000	71700000	2464
chr1	70800000	71800000	2400
chr1	70900000	71900000	2316
chr1	71000000	72000000	2272
chr1	71100000	72100000	2286
chr1	71200000	72200000	2251
chr1	71300000	72300000	2262
chr1	71400000	72400000	2247
chr1	71500000	72500000	2232
chr1	71600000	72600000	2194
chr1	71700000	72700000	2139
chr1	71800000	72800000	2126
chr1	71900000	72900000	2104
chr1	72000000	73000000	2070
chr1	72100000	73100000	2011
chr1	72200000	73200000	2016
chr1	72300000	73300000	1994
chr1	72400000	73400000	1995
chr1	72500000	73500000	2001
chr1	72600000	73600000	2023
chr1	72700000	73700000	2057
chr1	72800000	73800000	2066
chr1	72900000	73900000	2074
chr1	73000000	74000000	2081
chr1	73100000	74100000	2134
chr1	73200000	74200000	2138
chr1	73300000	74300000	2163
chr1	73400000	74400000	2192
chr1	73500000	74500000	2216
chr1	73600000	74600000	2215
chr1	73700000	74700000	2158
chr1	73800000	74800000	2164
chr1	73900000	74900000	2169
chr1	74000000	75000000	2195
chr1	74100000	75100000	2184
chr1	74200000	75200000	2192
chr1	74300000	75300000	2178
chr1	74400000	75400000	2176
chr1	74500000	75500000	2176
chr1	74600000	75600000	2191
chr1	74700000	75700000	2254
chr1	74800000	75800000	2281
chr1	74900000	75900000	2302
chr1	75000000	76000000	2324
chr1	75100000	76100000	2337
chr1	75200000	76200000	2386
chr1	75300000	76300000	2452
chr1	75400000	76400000	2437
chr1	75500000	76500000	2440
chr1	75600000	76600000	2422
chr1	75700000	76700000	2420
chr1	75800000	76800000	2382
chr1	75900000	76900000	2361
chr1	76000000	77000000	2362
chr1	76100000	77100000	2388
chr1	76200000	77200000	2341
chr1	76300000	77300000	2291
chr1	76400000	77400000	2317
chr1	76500000	77500000	2311
chr1	76600000	77600000	2279
chr1	76700000	77700000	2282
chr1	76800000	77800000	2301
chr1	76900000	77900000	2322
chr1	77000000	78000000	2332
chr1	77100000	78100000	2344
chr1	77200000	78200000	2417
chr1	77300000	78300000	2476
chr1	77400000	78400000	2504
chr1	77500000	78500000	2516
chr1	77600000	78600000	2572
chr1	77700000	78700000	2573
chr1	77800000	78800000	2592
chr1	77900000	78900000	2568
chr1	78000000	79000000	2535
chr1	78100000	79100000	2478
chr1	78200000	79200000	2429
chr1	78300000	79300000	2346
chr1	78400000	79400000	2282
chr1	78500000	79500000	2232
chr1	78600000	79600000	2179
chr1	78700000	79700000	2136
chr1	78800000	79800000	2096
chr1	78900000	79900000	2108
chr1	79000000	80000000	2097
chr1	79100000	80100000	2113
chr1	79200000	80200000	2081
chr1	79300000	80300000	2057
chr1	79400000	80400000	2073
chr1	79500000	80500000	2096
chr1	79600000	80600000	2081
chr1	79700000	80700000	2114
chr1	79800000	80800000	2128
chr1	79900000	80900000	2118
chr1	80000000	81000000	2105
chr1	80100000	81100000	2095
chr1	80200000	81200000	2112
chr1	80300000	81300000	2126
chr1	80400000	81400000	2090
chr1	80500000	81500000	2081
chr1	80600000	81600000	2132
chr1	80700000	81700000	2109
chr1	80800000	81800000	2106
chr1	80900000	81900000	2097
chr1	81000000	82000000	2132
chr1	81100000	82100000	2168
chr1	81200000	82200000	2214
chr1	81300000	82300000	2215
chr1	81400000	82400000	2219
chr1	81500000	82500000	2238
chr1	81600000	82600000	2260
chr1	81700000	82700000	2256
chr1	81800000	82800000	2282
chr1	81900000	82900000	2283
chr1	82000000	83000000	2287
chr1	82100000	83100000	2258
chr1	82200000	83200000	2190
chr1	82300000	83300000	2160
chr1	82400000	83400000	2168
chr1	82500000	83500000	2145
chr1	82600000	83600000	2108
chr1	82700000	83700000	2149
chr1	82800000	83800000	2119
chr1	82900000	83900000	2112
chr1	83000000	84000000	2098
chr1	83100000	84100000	2111
chr1	83200000	84200000	2150
chr1	83300000	84300000	2177
chr1	83400000	84400000	2136
chr1	83500000	84500000	2125
chr1	83600000	84600000	2136
chr1	83700000	84700000	2119
chr1	83800000	84800000	2148
chr1	83900000	84900000	2183
chr1	84000000	85000000	2224
chr1	84100000	85100000	2263
chr1	84200000	85200000	2280
chr1	84300000	85300000	2284
chr1	84400000	85400000	2363
chr1	84500000	85500000	2454
chr1	84600000	85600000	2455
chr1	84700000	85700000	2454
chr1	84800000	85800000	2488
chr1	84900000	85900000	2501
chr1	85000000	86000000	2481
chr1	85100000	86100000	2471
chr1	85200000	86200000	2436
chr1	85300000	86300000	2472
chr1	85400000	86400000	2491
chr1	85500000	86500000	2443
chr1	85600000	86600000	2457
chr1	85700000	86700000	2482
chr1	85800000	86800000	2456
chr1	85900000	86900000	2419
chr1	86000000	87000000	2403
chr1	86100000	87100000	2414
chr1	86200000	87200000	2405
chr1	86300000	87300000	2411
chr1	86400000	87400000	2410
chr1	86500000	87500000	2416
chr1	86600000	87600000	2394
chr1	86700000	87700000	2395
chr1	86800000	87800000	2370
chr1	86900000	87900000	2392
chr1	87000000	88000000	2390
chr1	87100000	88100000	2384
chr1	87200000	88200000	2428
chr1	87300000	88300000	2410
chr1	87400000	88400000	2365
chr1	87500000	88500000	2345
chr1	87600000	88600000	2347
chr1	87700000	88700000	2312
chr1	87800000	88800000	2312
chr1	87900000	88900000	2317
chr1	88000000	89000000	2287
chr1	88100000	89100000	2270
chr1	88200000	89200000	2263
chr1	88300000	89300000	2253
chr1	88400000	89400000	2306
chr1	88500000	89500000	2368
chr1	88600000	89600000	2385
chr1	88700000	89700000	2414
chr1	88800000	89800000	2457
chr1	88900000	89900000	2463
chr1	89000000	90000000	2490
chr1	89100000	90100000	2492
chr1	89200000	90200000	2471
chr1	89300000	90300000	2514
chr1	89400000	90400000	2489
chr1	89500000	90500000	2431
chr1	89600000	90600000	2420
chr1	89700000	90700000	2450
chr1	89800000	90800000	2447
chr1	89900000	90900000	2429
chr1	90000000	91000000	2411
chr1	90100000	91100000	2391
chr1	90200000	91200000	2380
chr1	90300000	91300000	2371
chr1	90400000	91400000	2362
chr1	90500000	91500000	2368
chr1	90600000	91600000	2414
chr1	90700000	91700000	2426
chr1	90800000	91800000	2435
chr1	90900000	91900000	2446
chr1	91000000	92000000	2490
chr1	91100000	92100000	2554
chr1	91200000	92200000	2575
chr1	91300000	92300000	2581
chr1	91400000	92400000	2645
chr1	91500000	92500000	2709
chr1	91600000	92600000	2726
chr1	91700000	92700000	2717
chr1	91800000	92800000	2706
chr1	91900000	92900000	2740
chr1	92000000	93000000	2741
chr1	92100000	93100000	2734
chr1	92200000	93200000	2758
chr1	92300000	93300000	2790
chr1	92400000	93400000	2761
chr1	92500000	93500000	2759
chr1	92600000	93600000	2743
chr1	92700000	93700000	2723
chr1	92800000	93800000	2729
chr1	92900000	93900000	2719
chr1	93000000	94000000	2704
chr1	93100000	94100000	2670
chr1	93200000	94200000	2648
