chrom	start	end	GC_percentage	MboI
chr1	23200001	24200000	0.464375	3204
chr1	23300001	24300000	0.460171	3265
chr1	23400001	24400000	0.464966	3291
chr1	23500001	24500000	0.472684	3242
chr1	23600001	24600000	0.471998	3175
chr1	23700001	24700000	0.479427	3139
chr1	23800001	24800000	0.47417	3077
chr1	23900001	24900000	0.469118	3049
chr1	24000001	25000000	0.464707	3044
chr1	24100001	25100000	0.465258	3037
chr1	24200001	25200000	0.460946	2997
chr1	24300001	25300000	0.467888	2907
chr1	24400001	25400000	0.473633	2803
chr1	24500001	25500000	0.469411	2835
chr1	24600001	25600000	0.469321	2853
chr1	24700001	25700000	0.466153	2901
chr1	24800001	25800000	0.466648	2906
chr1	24900001	25900000	0.470756	2864
chr1	25000001	26000000	0.474254	2819
chr1	25100001	26100000	0.476734	2734
chr1	25200001	26200000	0.483173	2717
chr1	25300001	26300000	0.478226	2781
chr1	25400001	26400000	0.476333	2890
chr1	25500001	26500000	0.476881	2934
chr1	25600001	26600000	0.477938	2947
chr1	25700001	26700000	0.485669	2951
chr1	25800001	26800000	0.487956	3006
chr1	25900001	26900000	0.489103	3080
chr1	26000001	27000000	0.487044	3171
chr1	26100001	27100000	0.482985	3225
chr1	26200001	27200000	0.483539	3247
chr1	26300001	27300000	0.485227	3280
chr1	26400001	27400000	0.486257	3286
chr1	26500001	27500000	0.489494	3246
chr1	26600001	27600000	0.486711	3284
chr1	26700001	27700000	0.485331	3264
chr1	26800001	27800000	0.486141	3261
chr1	26900001	27900000	0.488352	3202
chr1	27000001	28000000	0.495588	3123
chr1	27100001	28100000	0.49428	3157
chr1	27200001	28200000	0.488983	3184
chr1	27300001	28300000	0.488271	3187
chr1	27400001	28400000	0.476512	3154
chr1	27500001	28500000	0.471237	3212
chr1	27600001	28600000	0.472556	3200
chr1	27700001	28700000	0.467056	3293
chr1	27800001	28800000	0.461964	3311
chr1	27900001	28900000	0.457147	3430
chr1	28000001	29000000	0.452362	3513
chr1	28100001	29100000	0.452875	3537
chr1	28200001	29200000	0.457345	3558
chr1	28300001	29300000	0.453651	3566
chr1	28400001	29400000	0.453795	3559
chr1	28500001	29500000	0.4548	3519
chr1	28600001	29600000	0.457557	3503
chr1	28700001	29700000	0.46199	3380
chr1	28800001	29800000	0.467752	3300
chr1	28900001	29900000	0.457948	3113
chr1	29000001	30000000	0.410058	2754
chr1	29100001	30100000	0.398479	2578
chr1	29200001	30200000	0.397939	2503
chr1	29300001	30300000	0.399979	2384
chr1	29400001	30400000	0.408296	2322
chr1	29500001	30500000	0.409103	2256
chr1	29600001	30600000	0.410191	2187
chr1	29700001	30700000	0.405238	2162
chr1	29800001	30800000	0.405628	2162
chr1	29900001	30900000	0.416873	2186
chr1	30000001	31000000	0.464344	2464
chr1	30100001	31100000	0.475212	2527
chr1	30200001	31200000	0.478003	2514
chr1	30300001	31300000	0.48364	2527
chr1	30400001	31400000	0.486868	2569
chr1	30500001	31500000	0.48043	2573
chr1	30600001	31600000	0.474986	2680
chr1	30700001	31700000	0.478851	2827
chr1	30800001	31800000	0.474773	2881
chr1	30900001	31900000	0.472533	2934
chr1	31000001	32000000	0.469672	2912
chr1	31100001	32100000	0.474015	2954
chr1	31200001	32200000	0.476236	2932
chr1	31300001	32300000	0.4766	2924
chr1	31400001	32400000	0.468469	2979
chr1	31500001	32500000	0.474363	3058
chr1	31600001	32600000	0.475818	3054
chr1	31700001	32700000	0.474272	2990
chr1	31800001	32800000	0.478845	3025
chr1	31900001	32900000	0.48141	3039
chr1	32000001	33000000	0.482056	3122
chr1	32100001	33100000	0.477553	3193
chr1	32200001	33200000	0.471027	3319
chr1	32300001	33300000	0.466836	3395
chr1	32400001	33400000	0.47238	3346
chr1	32500001	33500000	0.47261	3283
chr1	32600001	33600000	0.473142	3179
chr1	32700001	33700000	0.471498	3140
chr1	32800001	33800000	0.47295	3048
chr1	32900001	33900000	0.468004	2988
chr1	33000001	34000000	0.467666	2916
chr1	33100001	34100000	0.46865	2821
chr1	33200001	34200000	0.465779	2703
chr1	33300001	34300000	0.462406	2658
chr1	33400001	34400000	0.459083	2642
chr1	33500001	34500000	0.459036	2666
chr1	33600001	34600000	0.45644	2664
chr1	33700001	34700000	0.456954	2626
chr1	33800001	34800000	0.448384	2620
chr1	33900001	34900000	0.447609	2617
chr1	34000001	35000000	0.446014	2608
chr1	34100001	35100000	0.444617	2630
chr1	34200001	35200000	0.445282	2643
chr1	34300001	35300000	0.448215	2603
chr1	34400001	35400000	0.45183	2618
chr1	34500001	35500000	0.446226	2565
chr1	34600001	35600000	0.444399	2652
chr1	34700001	35700000	0.440824	2732
chr1	34800001	35800000	0.439779	2790
chr1	34900001	35900000	0.43469	2812
chr1	35000001	36000000	0.433097	2823
chr1	35100001	36100000	0.435705	2776
chr1	35200001	36200000	0.436745	2829
chr1	35300001	36300000	0.431419	2920
chr1	35400001	36400000	0.426496	2939
chr1	35500001	36500000	0.423951	2977
chr1	35600001	36600000	0.429786	2959
chr1	35700001	36700000	0.436415	2941
chr1	35800001	36800000	0.442016	2968
chr1	35900001	36900000	0.453597	3012
chr1	36000001	37000000	0.460455	3048
chr1	36100001	37100000	0.462948	3044
chr1	36200001	37200000	0.464755	2992
chr1	36300001	37300000	0.471257	2891
chr1	36400001	37400000	0.475313	2835
chr1	36500001	37500000	0.487862	2796
chr1	36600001	37600000	0.489082	2744
chr1	36700001	37700000	0.480681	2701
chr1	36800001	37800000	0.483563	2589
chr1	36900001	37900000	0.480666	2569
chr1	37000001	38000000	0.480215	2577
chr1	37100001	38100000	0.478007	2653
chr1	37200001	38200000	0.480138	2660
chr1	37300001	38300000	0.477939	2732
chr1	37400001	38400000	0.475299	2814
chr1	37500001	38500000	0.473197	2882
chr1	37600001	38600000	0.474844	2856
chr1	37700001	38700000	0.480287	2895
chr1	37800001	38800000	0.476479	2916
chr1	37900001	38900000	0.470949	2899
chr1	38000001	39000000	0.466472	2833
chr1	38100001	39100000	0.465495	2765
chr1	38200001	39200000	0.459311	2748
chr1	38300001	39300000	0.458254	2754
chr1	38400001	39400000	0.456141	2748
chr1	38500001	39500000	0.45308	2799
chr1	38600001	39600000	0.448285	2888
chr1	38700001	39700000	0.444075	2891
chr1	38800001	39800000	0.439744	2894
chr1	38900001	39900000	0.440161	2931
chr1	39000001	40000000	0.444043	2952
chr1	39100001	40100000	0.446508	3030
chr1	39200001	40200000	0.450483	3057
chr1	39300001	40300000	0.454275	3021
chr1	39400001	40400000	0.456429	3014
chr1	39500001	40500000	0.457115	2952
chr1	39600001	40600000	0.453616	2923
chr1	39700001	40700000	0.451079	2908
chr1	39800001	40800000	0.454885	2985
chr1	39900001	40900000	0.455179	2950
chr1	40000001	41000000	0.4495	2972
chr1	40100001	41100000	0.445037	2925
chr1	40200001	41200000	0.443039	2943
chr1	40300001	41300000	0.443543	2940
chr1	40400001	41400000	0.446389	2919
chr1	40500001	41500000	0.44674	2921
chr1	40600001	41600000	0.443846	2892
chr1	40700001	41700000	0.441807	2862
chr1	40800001	41800000	0.442515	2799
chr1	40900001	41900000	0.452798	2758
chr1	41000001	42000000	0.46445	2665
chr1	41100001	42100000	0.468915	2642
chr1	41200001	42200000	0.47251	2577
chr1	41300001	42300000	0.469148	2558
chr1	41400001	42400000	0.464888	2490
chr1	41500001	42500000	0.459195	2451
chr1	41600001	42600000	0.459598	2423
chr1	41700001	42700000	0.464749	2409
chr1	41800001	42800000	0.457283	2419
chr1	41900001	42900000	0.447924	2499
chr1	42000001	43000000	0.434464	2584
chr1	42100001	43100000	0.426169	2594
chr1	42200001	43200000	0.418998	2651
chr1	42300001	43300000	0.418857	2688
chr1	42400001	43400000	0.419106	2735
chr1	42500001	43500000	0.427133	2719
chr1	42600001	43600000	0.431421	2753
chr1	42700001	43700000	0.431504	2816
chr1	42800001	43800000	0.442663	2821
chr1	42900001	43900000	0.447811	2822
chr1	43000001	44000000	0.454821	2829
chr1	43100001	44100000	0.470053	2792
chr1	43200001	44200000	0.473768	2795
chr1	43300001	44300000	0.468451	2771
chr1	43400001	44400000	0.471808	2788
chr1	43500001	44500000	0.477619	2810
chr1	43600001	44600000	0.477423	2860
chr1	43700001	44700000	0.47732	2842
chr1	43800001	44800000	0.476544	2798
chr1	43900001	44900000	0.472605	2741
chr1	44000001	45000000	0.469327	2757
chr1	44100001	45100000	0.464182	2786
chr1	44200001	45200000	0.467076	2809
chr1	44300001	45300000	0.476784	2893
chr1	44400001	45400000	0.473356	2916
chr1	44500001	45500000	0.462638	2993
chr1	44600001	45600000	0.459625	2929
chr1	44700001	45700000	0.456082	2945
chr1	44800001	45800000	0.452357	2984
chr1	44900001	45900000	0.451018	3057
chr1	45000001	46000000	0.451592	3113
chr1	45100001	46100000	0.447833	3189
chr1	45200001	46200000	0.440373	3188
chr1	45300001	46300000	0.432556	3183
chr1	45400001	46400000	0.427631	3126
chr1	45500001	46500000	0.426012	3091
chr1	45600001	46600000	0.425696	3078
chr1	45700001	46700000	0.433788	3119
chr1	45800001	46800000	0.436511	3168
chr1	45900001	46900000	0.442428	3162
chr1	46000001	47000000	0.451369	3044
chr1	46100001	47100000	0.454502	2986
chr1	46200001	47200000	0.454313	2934
chr1	46300001	47300000	0.454276	2843
chr1	46400001	47400000	0.455327	2848
chr1	46500001	47500000	0.455105	2812
chr1	46600001	47600000	0.452806	2802
chr1	46700001	47700000	0.453051	2738
chr1	46800001	47800000	0.447863	2741
chr1	46900001	47900000	0.443822	2728
chr1	47000001	48000000	0.438481	2755
chr1	47100001	48100000	0.436895	2729
chr1	47200001	48200000	0.443201	2709
chr1	47300001	48300000	0.450136	2702
chr1	47400001	48400000	0.457693	2693
chr1	47500001	48500000	0.461355	2661
chr1	47600001	48600000	0.466619	2679
chr1	47700001	48700000	0.460873	2620
chr1	47800001	48800000	0.458126	2542
chr1	47900001	48900000	0.449514	2460
chr1	48000001	49000000	0.442325	2433
chr1	48100001	49100000	0.438554	2422
chr1	48200001	49200000	0.436021	2413
chr1	48300001	49300000	0.428205	2406
chr1	48400001	49400000	0.419967	2416
chr1	48500001	49500000	0.41393	2403
chr1	48600001	49600000	0.408804	2372
chr1	48700001	49700000	0.40463	2407
chr1	48800001	49800000	0.402932	2414
chr1	48900001	49900000	0.404083	2448
chr1	49000001	50000000	0.399961	2442
chr1	49100001	50100000	0.395235	2442
chr1	49200001	50200000	0.385757	2449
chr1	49300001	50300000	0.379783	2454
chr1	49400001	50400000	0.377837	2438
chr1	49500001	50500000	0.374945	2434
chr1	49600001	50600000	0.375019	2434
chr1	49700001	50700000	0.378551	2409
chr1	49800001	50800000	0.385717	2405
chr1	49900001	50900000	0.392887	2402
chr1	50000001	51000000	0.39493	2380
chr1	50100001	51100000	0.393637	2375
chr1	50200001	51200000	0.396987	2405
chr1	50300001	51300000	0.398177	2424
chr1	50400001	51400000	0.398102	2430
chr1	50500001	51500000	0.400639	2465
chr1	50600001	51600000	0.400987	2515
chr1	50700001	51700000	0.400743	2624
chr1	50800001	51800000	0.402338	2650
chr1	50900001	51900000	0.397947	2696
chr1	51000001	52000000	0.39765	2742
chr1	51100001	52100000	0.402811	2825
chr1	51200001	52200000	0.403368	2815
chr1	51300001	52300000	0.403391	2791
chr1	51400001	52400000	0.40809	2845
chr1	51500001	52500000	0.413124	2878
chr1	51600001	52600000	0.416259	2904
chr1	51700001	52700000	0.41662	2889
chr1	51800001	52800000	0.409806	2905
chr1	51900001	52900000	0.413949	2901
chr1	52000001	53000000	0.413492	2883
chr1	52100001	53100000	0.414983	2855
chr1	52200001	53200000	0.420733	2921
chr1	52300001	53300000	0.424335	3023
chr1	52400001	53400000	0.426841	3037
chr1	52500001	53500000	0.422238	3033
chr1	52600001	53600000	0.430879	2958
chr1	52700001	53700000	0.433754	2895
chr1	52800001	53800000	0.445307	2816
chr1	52900001	53900000	0.448112	2779
chr1	53000001	54000000	0.461702	2727
chr1	53100001	54100000	0.467117	2667
chr1	53200001	54200000	0.471643	2586
chr1	53300001	54300000	0.472005	2558
chr1	53400001	54400000	0.470642	2514
chr1	53500001	54500000	0.475638	2521
chr1	53600001	54600000	0.46822	2551
chr1	53700001	54700000	0.473379	2576
chr1	53800001	54800000	0.473595	2599
chr1	53900001	54900000	0.476009	2594
chr1	54000001	55000000	0.47356	2715
chr1	54100001	55100000	0.474727	2763
chr1	54200001	55200000	0.471708	2818
chr1	54300001	55300000	0.479494	2755
chr1	54400001	55400000	0.482125	2748
chr1	54500001	55500000	0.485686	2677
chr1	54600001	55600000	0.485563	2650
chr1	54700001	55700000	0.473693	2604
chr1	54800001	55800000	0.465707	2634
chr1	54900001	55900000	0.458499	2629
chr1	55000001	56000000	0.451045	2552
chr1	55100001	56100000	0.441664	2500
chr1	55200001	56200000	0.434945	2429
chr1	55300001	56300000	0.425437	2441
chr1	55400001	56400000	0.418239	2420
chr1	55500001	56500000	0.408862	2405
chr1	55600001	56600000	0.404566	2418
chr1	55700001	56700000	0.405455	2400
chr1	55800001	56800000	0.402296	2379
chr1	55900001	56900000	0.401493	2392
chr1	56000001	57000000	0.403637	2436
chr1	56100001	57100000	0.40296	2463
chr1	56200001	57200000	0.399498	2474
chr1	56300001	57300000	0.399429	2475
chr1	56400001	57400000	0.402436	2489
chr1	56500001	57500000	0.405499	2506
chr1	56600001	57600000	0.407775	2505
chr1	56700001	57700000	0.409341	2535
chr1	56800001	57800000	0.410262	2525
chr1	56900001	57900000	0.409021	2493
chr1	57000001	58000000	0.404398	2449
chr1	57100001	58100000	0.405135	2466
chr1	57200001	58200000	0.407914	2480
chr1	57300001	58300000	0.407613	2472
chr1	57400001	58400000	0.406378	2435
chr1	57500001	58500000	0.405209	2467
chr1	57600001	58600000	0.406113	2481
chr1	57700001	58700000	0.406796	2452
chr1	57800001	58800000	0.407152	2479
chr1	57900001	58900000	0.40885	2506
chr1	58000001	59000000	0.409237	2516
chr1	58100001	59100000	0.410148	2503
chr1	58200001	59200000	0.409534	2501
chr1	58300001	59300000	0.413362	2501
chr1	58400001	59400000	0.415814	2529
chr1	58500001	59500000	0.418163	2485
chr1	58600001	59600000	0.417243	2488
chr1	58700001	59700000	0.418168	2499
chr1	58800001	59800000	0.416259	2452
chr1	58900001	59900000	0.414047	2413
chr1	59000001	60000000	0.414909	2422
chr1	59100001	60100000	0.412717	2413
chr1	59200001	60200000	0.415058	2419
chr1	59300001	60300000	0.410332	2426
chr1	59400001	60400000	0.404398	2385
chr1	59500001	60500000	0.401223	2396
chr1	59600001	60600000	0.397406	2354
chr1	59700001	60700000	0.392358	2324
chr1	59800001	60800000	0.389924	2330
chr1	59900001	60900000	0.388059	2356
chr1	60000001	61000000	0.384905	2336
chr1	60100001	61100000	0.382334	2301
chr1	60200001	61200000	0.380617	2305
chr1	60300001	61300000	0.381615	2295
chr1	60400001	61400000	0.384739	2304
chr1	60500001	61500000	0.387179	2318
chr1	60600001	61600000	0.38939	2342
chr1	60700001	61700000	0.391226	2374
chr1	60800001	61800000	0.392148	2388
chr1	60900001	61900000	0.393519	2376
chr1	61000001	62000000	0.397585	2358
chr1	61100001	62100000	0.400657	2412
chr1	61200001	62200000	0.402113	2454
chr1	61300001	62300000	0.403333	2500
chr1	61400001	62400000	0.402187	2503
chr1	61500001	62500000	0.398957	2517
chr1	61600001	62600000	0.400517	2560
chr1	61700001	62700000	0.407173	2686
chr1	61800001	62800000	0.415813	2729
chr1	61900001	62900000	0.420277	2793
chr1	62000001	63000000	0.416299	2835
chr1	62100001	63100000	0.410369	2803
chr1	62200001	63200000	0.409052	2783
chr1	62300001	63300000	0.406461	2728
chr1	62400001	63400000	0.405187	2750
chr1	62500001	63500000	0.407821	2728
chr1	62600001	63600000	0.406082	2677
chr1	62700001	63700000	0.399088	2549
chr1	62800001	63800000	0.394304	2579
chr1	62900001	63900000	0.389825	2572
chr1	63000001	64000000	0.389097	2551
chr1	63100001	64100000	0.393296	2570
chr1	63200001	64200000	0.397427	2539
chr1	63300001	64300000	0.401355	2539
chr1	63400001	64400000	0.404342	2535
chr1	63500001	64500000	0.402875	2546
chr1	63600001	64600000	0.403942	2564
chr1	63700001	64700000	0.405833	2564
chr1	63800001	64800000	0.404329	2539
chr1	63900001	64900000	0.406016	2489
chr1	64000001	65000000	0.410554	2458
chr1	64100001	65100000	0.41087	2454
chr1	64200001	65200000	0.407868	2456
chr1	64300001	65300000	0.403179	2457
chr1	64400001	65400000	0.405643	2460
chr1	64500001	65500000	0.406868	2492
chr1	64600001	65600000	0.409239	2537
chr1	64700001	65700000	0.411622	2613
chr1	64800001	65800000	0.411475	2586
chr1	64900001	65900000	0.410006	2587
chr1	65000001	66000000	0.407677	2616
chr1	65100001	66100000	0.405023	2581
chr1	65200001	66200000	0.403182	2573
chr1	65300001	66300000	0.402414	2556
chr1	65400001	66400000	0.395671	2531
chr1	65500001	66500000	0.390616	2461
chr1	65600001	66600000	0.383719	2375
chr1	65700001	66700000	0.379053	2294
chr1	65800001	66800000	0.377856	2254
chr1	65900001	66900000	0.378044	2277
chr1	66000001	67000000	0.377587	2288
chr1	66100001	67100000	0.379026	2291
chr1	66200001	67200000	0.377851	2245
chr1	66300001	67300000	0.377424	2280
chr1	66400001	67400000	0.378025	2287
chr1	66500001	67500000	0.378114	2299
chr1	66600001	67600000	0.380626	2328
chr1	66700001	67700000	0.382652	2371
chr1	66800001	67800000	0.383182	2416
chr1	66900001	67900000	0.38477	2424
chr1	67000001	68000000	0.389603	2506
chr1	67100001	68100000	0.395469	2551
chr1	67200001	68200000	0.399053	2625
chr1	67300001	68300000	0.404224	2605
chr1	67400001	68400000	0.406551	2640
chr1	67500001	68500000	0.409403	2652
chr1	67600001	68600000	0.411135	2646
chr1	67700001	68700000	0.412007	2623
chr1	67800001	68800000	0.413266	2666
chr1	67900001	68900000	0.410846	2635
chr1	68000001	69000000	0.404482	2549
chr1	68100001	69100000	0.396745	2488
chr1	68200001	69200000	0.392085	2450
chr1	68300001	69300000	0.388441	2440
chr1	68400001	69400000	0.387396	2411
chr1	68500001	69500000	0.38514	2412
chr1	68600001	69600000	0.382914	2409
chr1	68700001	69700000	0.377837	2381
chr1	68800001	69800000	0.373839	2335
chr1	68900001	69900000	0.372058	2321
chr1	69000001	70000000	0.371276	2286
chr1	69100001	70100000	0.370372	2288
chr1	69200001	70200000	0.3688	2248
chr1	69300001	70300000	0.365921	2218
chr1	69400001	70400000	0.36386	2206
chr1	69500001	70500000	0.361551	2204
chr1	69600001	70600000	0.358917	2191
chr1	69700001	70700000	0.358993	2181
chr1	69800001	70800000	0.359011	2200
