chrom	start	end	GC_percentage	HindIII
chr1	16500001	17500000	0.464397	204
chr1	16600001	17600000	0.464503	208
chr1	16700001	17700000	0.46876	202
chr1	16800001	17800000	0.470701	196
chr1	16900001	17900000	0.474167	181
chr1	17000001	18000000	0.481437	181
chr1	17100001	18100000	0.483123	183
chr1	17200001	18200000	0.508686	199
chr1	17300001	18300000	0.505542	202
chr1	17400001	18400000	0.503436	215
chr1	17500001	18500000	0.50396	220
chr1	17600001	18600000	0.501936	220
chr1	17700001	18700000	0.502706	219
chr1	17800001	18800000	0.499512	221
chr1	17900001	18900000	0.496079	221
chr1	18000001	19000000	0.491613	229
chr1	18100001	19100000	0.490202	226
chr1	18200001	19200000	0.492918	232
chr1	18300001	19300000	0.497824	217
chr1	18400001	19400000	0.498432	208
chr1	18500001	19500000	0.492779	216
chr1	18600001	19600000	0.489351	220
chr1	18700001	19700000	0.491109	223
chr1	18800001	19800000	0.491105	236
chr1	18900001	19900000	0.489736	230
chr1	19000001	20000000	0.487321	226
chr1	19100001	20100000	0.486396	228
chr1	19200001	20200000	0.480248	218
chr1	19300001	20300000	0.471845	224
chr1	19400001	20400000	0.465127	231
chr1	19500001	20500000	0.470138	231
chr1	19600001	20600000	0.470581	233
chr1	19700001	20700000	0.469307	237
chr1	19800001	20800000	0.469953	231
chr1	19900001	20900000	0.472892	238
chr1	20000001	21000000	0.473806	235
chr1	20100001	21100000	0.473456	232
chr1	20200001	21200000	0.470392	236
chr1	20300001	21300000	0.46323	236
chr1	20400001	21400000	0.459885	243
chr1	20500001	21500000	0.450294	244
chr1	20600001	21600000	0.453883	232
chr1	20700001	21700000	0.454912	229
chr1	20800001	21800000	0.452314	223
chr1	20900001	21900000	0.453221	223
chr1	21000001	22000000	0.460534	220
chr1	21100001	22100000	0.4528	236
chr1	21200001	22200000	0.463836	226
chr1	21300001	22300000	0.479665	218
chr1	21400001	22400000	0.488719	203
chr1	21500001	22500000	0.497759	204
chr1	21600001	22600000	0.499848	207
chr1	21700001	22700000	0.49713	202
chr1	21800001	22800000	0.496553	200
chr1	21900001	22900000	0.494753	211
chr1	22000001	23000000	0.491468	216
chr1	22100001	23100000	0.500935	206
chr1	22200001	23200000	0.499972	204
chr1	22300001	23300000	0.495967	204
chr1	22400001	23400000	0.489603	221
chr1	22500001	23500000	0.483373	218
chr1	22600001	23600000	0.479274	242
chr1	22700001	23700000	0.471812	256
chr1	22800001	23800000	0.475579	252
chr1	22900001	23900000	0.477479	243
chr1	23000001	24000000	0.472911	242
chr1	23100001	24100000	0.468498	238
chr1	23200001	24200000	0.464375	251
chr1	23300001	24300000	0.460171	257
chr1	23400001	24400000	0.464966	236
chr1	23500001	24500000	0.472684	234
chr1	23600001	24600000	0.471998	208
chr1	23700001	24700000	0.479427	204
chr1	23800001	24800000	0.47417	227
chr1	23900001	24900000	0.469118	227
chr1	24000001	25000000	0.464707	232
chr1	24100001	25100000	0.465258	228
chr1	24200001	25200000	0.460946	217
chr1	24300001	25300000	0.467888	219
chr1	24400001	25400000	0.473633	237
chr1	24500001	25500000	0.469411	232
chr1	24600001	25600000	0.469321	231
chr1	24700001	25700000	0.466153	224
chr1	24800001	25800000	0.466648	210
chr1	24900001	25900000	0.470756	210
chr1	25000001	26000000	0.474254	203
chr1	25100001	26100000	0.476734	214
chr1	25200001	26200000	0.483173	221
chr1	25300001	26300000	0.478226	226
chr1	25400001	26400000	0.476333	217
chr1	25500001	26500000	0.476881	221
chr1	25600001	26600000	0.477938	229
chr1	25700001	26700000	0.485669	232
chr1	25800001	26800000	0.487956	239
chr1	25900001	26900000	0.489103	234
chr1	26000001	27000000	0.487044	240
chr1	26100001	27100000	0.482985	237
chr1	26200001	27200000	0.483539	235
chr1	26300001	27300000	0.485227	225
chr1	26400001	27400000	0.486257	224
chr1	26500001	27500000	0.489494	221
chr1	26600001	27600000	0.486711	218
chr1	26700001	27700000	0.485331	214
chr1	26800001	27800000	0.486141	208
chr1	26900001	27900000	0.488352	214
chr1	27000001	28000000	0.495588	207
chr1	27100001	28100000	0.49428	202
chr1	27200001	28200000	0.488983	195
chr1	27300001	28300000	0.488271	192
chr1	27400001	28400000	0.476512	195
chr1	27500001	28500000	0.471237	197
chr1	27600001	28600000	0.472556	194
chr1	27700001	28700000	0.467056	190
chr1	27800001	28800000	0.461964	189
chr1	27900001	28900000	0.457147	176
chr1	28000001	29000000	0.452362	172
chr1	28100001	29100000	0.452875	173
chr1	28200001	29200000	0.457345	172
chr1	28300001	29300000	0.453651	178
chr1	28400001	29400000	0.453795	180
chr1	28500001	29500000	0.4548	178
chr1	28600001	29600000	0.457557	184
chr1	28700001	29700000	0.46199	179
chr1	28800001	29800000	0.467752	182
chr1	28900001	29900000	0.457948	190
chr1	29000001	30000000	0.410058	177
chr1	29100001	30100000	0.398479	176
chr1	29200001	30200000	0.397939	184
chr1	29300001	30300000	0.399979	193
chr1	29400001	30400000	0.408296	187
chr1	29500001	30500000	0.409103	189
chr1	29600001	30600000	0.410191	194
chr1	29700001	30700000	0.405238	208
chr1	29800001	30800000	0.405628	211
chr1	29900001	30900000	0.416873	208
chr1	30000001	31000000	0.464344	230
chr1	30100001	31100000	0.475212	234
chr1	30200001	31200000	0.478003	233
chr1	30300001	31300000	0.48364	234
chr1	30400001	31400000	0.486868	231
chr1	30500001	31500000	0.48043	240
chr1	30600001	31600000	0.474986	224
chr1	30700001	31700000	0.478851	219
chr1	30800001	31800000	0.474773	212
chr1	30900001	31900000	0.472533	220
chr1	31000001	32000000	0.469672	219
chr1	31100001	32100000	0.474015	221
chr1	31200001	32200000	0.476236	221
chr1	31300001	32300000	0.4766	208
chr1	31400001	32400000	0.468469	207
chr1	31500001	32500000	0.474363	200
chr1	31600001	32600000	0.475818	211
chr1	31700001	32700000	0.474272	214
chr1	31800001	32800000	0.478845	212
chr1	31900001	32900000	0.48141	209
chr1	32000001	33000000	0.482056	202
chr1	32100001	33100000	0.477553	198
chr1	32200001	33200000	0.471027	196
chr1	32300001	33300000	0.466836	194
chr1	32400001	33400000	0.47238	194
chr1	32500001	33500000	0.47261	198
chr1	32600001	33600000	0.473142	188
chr1	32700001	33700000	0.471498	190
chr1	32800001	33800000	0.47295	190
chr1	32900001	33900000	0.468004	190
chr1	33000001	34000000	0.467666	210
chr1	33100001	34100000	0.46865	210
chr1	33200001	34200000	0.465779	211
chr1	33300001	34300000	0.462406	232
chr1	33400001	34400000	0.459083	247
chr1	33500001	34500000	0.459036	255
chr1	33600001	34600000	0.45644	276
chr1	33700001	34700000	0.456954	292
chr1	33800001	34800000	0.448384	307
chr1	33900001	34900000	0.447609	323
chr1	34000001	35000000	0.446014	329
chr1	34100001	35100000	0.444617	338
chr1	34200001	35200000	0.445282	341
chr1	34300001	35300000	0.448215	327
chr1	34400001	35400000	0.45183	316
chr1	34500001	35500000	0.446226	305
chr1	34600001	35600000	0.444399	286
chr1	34700001	35700000	0.440824	268
chr1	34800001	35800000	0.439779	253
chr1	34900001	35900000	0.43469	249
chr1	35000001	36000000	0.433097	241
chr1	35100001	36100000	0.435705	237
chr1	35200001	36200000	0.436745	239
chr1	35300001	36300000	0.431419	243
chr1	35400001	36400000	0.426496	241
chr1	35500001	36500000	0.423951	241
chr1	35600001	36600000	0.429786	244
chr1	35700001	36700000	0.436415	243
chr1	35800001	36800000	0.442016	243
chr1	35900001	36900000	0.453597	233
chr1	36000001	37000000	0.460455	224
chr1	36100001	37100000	0.462948	222
chr1	36200001	37200000	0.464755	226
chr1	36300001	37300000	0.471257	223
chr1	36400001	37400000	0.475313	225
chr1	36500001	37500000	0.487862	219
chr1	36600001	37600000	0.489082	223
chr1	36700001	37700000	0.480681	236
chr1	36800001	37800000	0.483563	243
chr1	36900001	37900000	0.480666	243
chr1	37000001	38000000	0.480215	247
chr1	37100001	38100000	0.478007	256
chr1	37200001	38200000	0.480138	247
chr1	37300001	38300000	0.477939	251
chr1	37400001	38400000	0.475299	252
chr1	37500001	38500000	0.473197	252
chr1	37600001	38600000	0.474844	255
chr1	37700001	38700000	0.480287	248
chr1	37800001	38800000	0.476479	243
chr1	37900001	38900000	0.470949	253
chr1	38000001	39000000	0.466472	256
chr1	38100001	39100000	0.465495	247
chr1	38200001	39200000	0.459311	255
chr1	38300001	39300000	0.458254	257
chr1	38400001	39400000	0.456141	255
chr1	38500001	39500000	0.45308	264
chr1	38600001	39600000	0.448285	260
chr1	38700001	39700000	0.444075	269
chr1	38800001	39800000	0.439744	280
chr1	38900001	39900000	0.440161	279
chr1	39000001	40000000	0.444043	269
chr1	39100001	40100000	0.446508	272
chr1	39200001	40200000	0.450483	265
chr1	39300001	40300000	0.454275	253
chr1	39400001	40400000	0.456429	253
chr1	39500001	40500000	0.457115	248
chr1	39600001	40600000	0.453616	256
chr1	39700001	40700000	0.451079	257
chr1	39800001	40800000	0.454885	248
chr1	39900001	40900000	0.455179	249
chr1	40000001	41000000	0.4495	248
chr1	40100001	41100000	0.445037	239
chr1	40200001	41200000	0.443039	253
chr1	40300001	41300000	0.443543	264
chr1	40400001	41400000	0.446389	260
chr1	40500001	41500000	0.44674	266
chr1	40600001	41600000	0.443846	268
chr1	40700001	41700000	0.441807	256
chr1	40800001	41800000	0.442515	256
chr1	40900001	41900000	0.452798	238
chr1	41000001	42000000	0.46445	242
chr1	41100001	42100000	0.468915	257
chr1	41200001	42200000	0.47251	244
chr1	41300001	42300000	0.469148	247
chr1	41400001	42400000	0.464888	263
chr1	41500001	42500000	0.459195	265
chr1	41600001	42600000	0.459598	260
chr1	41700001	42700000	0.464749	260
chr1	41800001	42800000	0.457283	268
chr1	41900001	42900000	0.447924	286
chr1	42000001	43000000	0.434464	300
chr1	42100001	43100000	0.426169	296
chr1	42200001	43200000	0.418998	300
chr1	42300001	43300000	0.418857	299
chr1	42400001	43400000	0.419106	297
chr1	42500001	43500000	0.427133	291
chr1	42600001	43600000	0.431421	286
chr1	42700001	43700000	0.431504	283
chr1	42800001	43800000	0.442663	279
chr1	42900001	43900000	0.447811	271
chr1	43000001	44000000	0.454821	245
chr1	43100001	44100000	0.470053	236
chr1	43200001	44200000	0.473768	221
chr1	43300001	44300000	0.468451	211
chr1	43400001	44400000	0.471808	197
chr1	43500001	44500000	0.477619	191
chr1	43600001	44600000	0.477423	204
chr1	43700001	44700000	0.47732	210
chr1	43800001	44800000	0.476544	210
chr1	43900001	44900000	0.472605	216
chr1	44000001	45000000	0.469327	224
chr1	44100001	45100000	0.464182	231
chr1	44200001	45200000	0.467076	251
chr1	44300001	45300000	0.476784	247
chr1	44400001	45400000	0.473356	252
chr1	44500001	45500000	0.462638	250
chr1	44600001	45600000	0.459625	235
chr1	44700001	45700000	0.456082	240
chr1	44800001	45800000	0.452357	242
chr1	44900001	45900000	0.451018	239
chr1	45000001	46000000	0.451592	244
chr1	45100001	46100000	0.447833	235
chr1	45200001	46200000	0.440373	223
chr1	45300001	46300000	0.432556	224
chr1	45400001	46400000	0.427631	226
chr1	45500001	46500000	0.426012	224
chr1	45600001	46600000	0.425696	230
chr1	45700001	46700000	0.433788	222
chr1	45800001	46800000	0.436511	219
chr1	45900001	46900000	0.442428	215
chr1	46000001	47000000	0.451369	214
chr1	46100001	47100000	0.454502	218
chr1	46200001	47200000	0.454313	226
chr1	46300001	47300000	0.454276	242
chr1	46400001	47400000	0.455327	244
chr1	46500001	47500000	0.455105	256
chr1	46600001	47600000	0.452806	253
chr1	46700001	47700000	0.453051	252
chr1	46800001	47800000	0.447863	241
chr1	46900001	47900000	0.443822	241
chr1	47000001	48000000	0.438481	239
chr1	47100001	48100000	0.436895	241
chr1	47200001	48200000	0.443201	244
chr1	47300001	48300000	0.450136	236
chr1	47400001	48400000	0.457693	232
chr1	47500001	48500000	0.461355	246
chr1	47600001	48600000	0.466619	242
chr1	47700001	48700000	0.460873	255
chr1	47800001	48800000	0.458126	269
chr1	47900001	48900000	0.449514	279
chr1	48000001	49000000	0.442325	288
chr1	48100001	49100000	0.438554	301
chr1	48200001	49200000	0.436021	292
chr1	48300001	49300000	0.428205	295
chr1	48400001	49400000	0.419967	302
chr1	48500001	49500000	0.41393	292
chr1	48600001	49600000	0.408804	309
chr1	48700001	49700000	0.40463	303
chr1	48800001	49800000	0.402932	301
chr1	48900001	49900000	0.404083	306
chr1	49000001	50000000	0.399961	315
chr1	49100001	50100000	0.395235	301
chr1	49200001	50200000	0.385757	325
chr1	49300001	50300000	0.379783	325
chr1	49400001	50400000	0.377837	319
chr1	49500001	50500000	0.374945	317
chr1	49600001	50600000	0.375019	323
chr1	49700001	50700000	0.378551	317
chr1	49800001	50800000	0.385717	312
chr1	49900001	50900000	0.392887	300
chr1	50000001	51000000	0.39493	287
chr1	50100001	51100000	0.393637	300
chr1	50200001	51200000	0.396987	277
chr1	50300001	51300000	0.398177	272
chr1	50400001	51400000	0.398102	281
chr1	50500001	51500000	0.400639	281
chr1	50600001	51600000	0.400987	269
chr1	50700001	51700000	0.400743	269
chr1	50800001	51800000	0.402338	272
chr1	50900001	51900000	0.397947	266
chr1	51000001	52000000	0.39765	266
chr1	51100001	52100000	0.402811	255
chr1	51200001	52200000	0.403368	265
chr1	51300001	52300000	0.403391	274
chr1	51400001	52400000	0.40809	272
chr1	51500001	52500000	0.413124	259
chr1	51600001	52600000	0.416259	253
chr1	51700001	52700000	0.41662	255
chr1	51800001	52800000	0.409806	253
chr1	51900001	52900000	0.413949	263
chr1	52000001	53000000	0.413492	268
chr1	52100001	53100000	0.414983	264
chr1	52200001	53200000	0.420733	253
chr1	52300001	53300000	0.424335	248
chr1	52400001	53400000	0.426841	239
chr1	52500001	53500000	0.422238	246
chr1	52600001	53600000	0.430879	249
chr1	52700001	53700000	0.433754	253
chr1	52800001	53800000	0.445307	250
chr1	52900001	53900000	0.448112	243
chr1	53000001	54000000	0.461702	241
chr1	53100001	54100000	0.467117	254
chr1	53200001	54200000	0.471643	252
chr1	53300001	54300000	0.472005	252
chr1	53400001	54400000	0.470642	250
chr1	53500001	54500000	0.475638	246
chr1	53600001	54600000	0.46822	247
chr1	53700001	54700000	0.473379	242
chr1	53800001	54800000	0.473595	249
chr1	53900001	54900000	0.476009	254
chr1	54000001	55000000	0.47356	250
chr1	54100001	55100000	0.474727	231
chr1	54200001	55200000	0.471708	246
chr1	54300001	55300000	0.479494	238
chr1	54400001	55400000	0.482125	239
chr1	54500001	55500000	0.485686	241
chr1	54600001	55600000	0.485563	246
chr1	54700001	55700000	0.473693	260
chr1	54800001	55800000	0.465707	270
chr1	54900001	55900000	0.458499	286
chr1	55000001	56000000	0.451045	300
chr1	55100001	56100000	0.441664	322
chr1	55200001	56200000	0.434945	324
chr1	55300001	56300000	0.425437	343
chr1	55400001	56400000	0.418239	369
chr1	55500001	56500000	0.408862	380
chr1	55600001	56600000	0.404566	381
chr1	55700001	56700000	0.405455	378
chr1	55800001	56800000	0.402296	367
chr1	55900001	56900000	0.401493	348
chr1	56000001	57000000	0.403637	330
chr1	56100001	57100000	0.40296	325
chr1	56200001	57200000	0.399498	322
chr1	56300001	57300000	0.399429	318
chr1	56400001	57400000	0.402436	306
chr1	56500001	57500000	0.405499	312
chr1	56600001	57600000	0.407775	314
chr1	56700001	57700000	0.409341	310
chr1	56800001	57800000	0.410262	311
chr1	56900001	57900000	0.409021	325
chr1	57000001	58000000	0.404398	340
chr1	57100001	58100000	0.405135	350
chr1	57200001	58200000	0.407914	348
chr1	57300001	58300000	0.407613	348
chr1	57400001	58400000	0.406378	343
chr1	57500001	58500000	0.405209	333
chr1	57600001	58600000	0.406113	321
chr1	57700001	58700000	0.406796	324
chr1	57800001	58800000	0.407152	332
chr1	57900001	58900000	0.40885	318
chr1	58000001	59000000	0.409237	311
chr1	58100001	59100000	0.410148	299
chr1	58200001	59200000	0.409534	295
chr1	58300001	59300000	0.413362	284
chr1	58400001	59400000	0.415814	283
chr1	58500001	59500000	0.418163	281
chr1	58600001	59600000	0.417243	290
chr1	58700001	59700000	0.418168	289
chr1	58800001	59800000	0.416259	284
chr1	58900001	59900000	0.414047	287
chr1	59000001	60000000	0.414909	286
chr1	59100001	60100000	0.412717	295
chr1	59200001	60200000	0.415058	303
chr1	59300001	60300000	0.410332	321
chr1	59400001	60400000	0.404398	318
chr1	59500001	60500000	0.401223	325
chr1	59600001	60600000	0.397406	317
chr1	59700001	60700000	0.392358	316
chr1	59800001	60800000	0.389924	311
chr1	59900001	60900000	0.388059	315
chr1	60000001	61000000	0.384905	314
chr1	60100001	61100000	0.382334	301
chr1	60200001	61200000	0.380617	301
chr1	60300001	61300000	0.381615	297
chr1	60400001	61400000	0.384739	303
chr1	60500001	61500000	0.387179	301
chr1	60600001	61600000	0.38939	306
chr1	60700001	61700000	0.391226	308
chr1	60800001	61800000	0.392148	316
chr1	60900001	61900000	0.393519	323
chr1	61000001	62000000	0.397585	330
chr1	61100001	62100000	0.400657	336
chr1	61200001	62200000	0.402113	320
chr1	61300001	62300000	0.403333	309
chr1	61400001	62400000	0.402187	315
chr1	61500001	62500000	0.398957	321
chr1	61600001	62600000	0.400517	312
chr1	61700001	62700000	0.407173	291
chr1	61800001	62800000	0.415813	281
chr1	61900001	62900000	0.420277	269
chr1	62000001	63000000	0.416299	267
chr1	62100001	63100000	0.410369	268
chr1	62200001	63200000	0.409052	274
chr1	62300001	63300000	0.406461	270
chr1	62400001	63400000	0.405187	266
chr1	62500001	63500000	0.407821	266
chr1	62600001	63600000	0.406082	277
chr1	62700001	63700000	0.399088	296
chr1	62800001	63800000	0.394304	294
chr1	62900001	63900000	0.389825	291
chr1	63000001	64000000	0.389097	291
chr1	63100001	64100000	0.393296	291
chr1	63200001	64200000	0.397427	294
chr1	63300001	64300000	0.401355	301
chr1	63400001	64400000	0.404342	301
chr1	63500001	64500000	0.402875	290
chr1	63600001	64600000	0.403942	300
chr1	63700001	64700000	0.405833	299
chr1	63800001	64800000	0.404329	313
chr1	63900001	64900000	0.406016	314
chr1	64000001	65000000	0.410554	305
chr1	64100001	65100000	0.41087	300
chr1	64200001	65200000	0.407868	300
chr1	64300001	65300000	0.403179	319
chr1	64400001	65400000	0.405643	315
chr1	64500001	65500000	0.406868	310
chr1	64600001	65600000	0.409239	291
chr1	64700001	65700000	0.411622	288
chr1	64800001	65800000	0.411475	283
chr1	64900001	65900000	0.410006	287
chr1	65000001	66000000	0.407677	291
chr1	65100001	66100000	0.405023	297
chr1	65200001	66200000	0.403182	303
chr1	65300001	66300000	0.402414	282
chr1	65400001	66400000	0.395671	289
chr1	65500001	66500000	0.390616	300
chr1	65600001	66600000	0.383719	317
chr1	65700001	66700000	0.379053	317
chr1	65800001	66800000	0.377856	332
chr1	65900001	66900000	0.378044	335
chr1	66000001	67000000	0.377587	339
chr1	66100001	67100000	0.379026	340
chr1	66200001	67200000	0.377851	337
chr1	66300001	67300000	0.377424	345
chr1	66400001	67400000	0.378025	329
chr1	66500001	67500000	0.378114	334
chr1	66600001	67600000	0.380626	315
chr1	66700001	67700000	0.382652	314
chr1	66800001	67800000	0.383182	294
chr1	66900001	67900000	0.38477	294
chr1	67000001	68000000	0.389603	287
chr1	67100001	68100000	0.395469	279
chr1	67200001	68200000	0.399053	286
chr1	67300001	68300000	0.404224	282
chr1	67400001	68400000	0.406551	285
chr1	67500001	68500000	0.409403	290
chr1	67600001	68600000	0.411135	295
chr1	67700001	68700000	0.412007	302
chr1	67800001	68800000	0.413266	295
chr1	67900001	68900000	0.410846	294
chr1	68000001	69000000	0.404482	300
chr1	68100001	69100000	0.396745	304
chr1	68200001	69200000	0.392085	306
chr1	68300001	69300000	0.388441	312
chr1	68400001	69400000	0.387396	317
chr1	68500001	69500000	0.38514	305
chr1	68600001	69600000	0.382914	315
chr1	68700001	69700000	0.377837	317
chr1	68800001	69800000	0.373839	335
chr1	68900001	69900000	0.372058	331
chr1	69000001	70000000	0.371276	330
chr1	69100001	70100000	0.370372	338
chr1	69200001	70200000	0.3688	328
chr1	69300001	70300000	0.365921	312
chr1	69400001	70400000	0.36386	319
chr1	69500001	70500000	0.361551	326
chr1	69600001	70600000	0.358917	330
chr1	69700001	70700000	0.358993	329
chr1	69800001	70800000	0.359011	330
chr1	69900001	70900000	0.362387	332
chr1	70000001	71000000	0.365388	322
chr1	70100001	71100000	0.368118	305
chr1	70200001	71200000	0.369903	307
chr1	70300001	71300000	0.373312	324
chr1	70400001	71400000	0.374709	320
chr1	70500001	71500000	0.376965	324
chr1	70600001	71600000	0.378926	315
chr1	70700001	71700000	0.381023	314
chr1	70800001	71800000	0.37978	313
chr1	70900001	71900000	0.375443	315
chr1	71000001	72000000	0.372573	326
chr1	71100001	72100000	0.370481	327
chr1	71200001	72200000	0.368906	322
chr1	71300001	72300000	0.366472	310
chr1	71400001	72400000	0.364054	305
chr1	71500001	72500000	0.36085	291
chr1	71600001	72600000	0.356766	308
chr1	71700001	72700000	0.352137	305
chr1	71800001	72800000	0.351234	304
chr1	71900001	72900000	0.35006	298
chr1	72000001	73000000	0.349062	298
chr1	72100001	73100000	0.347265	307
chr1	72200001	73200000	0.34784	322
chr1	72300001	73300000	0.347055	332
chr1	72400001	73400000	0.346716	350
chr1	72500001	73500000	0.347481	354
chr1	72600001	73600000	0.349441	337
chr1	72700001	73700000	0.352276	332
chr1	72800001	73800000	0.350976	330
chr1	72900001	73900000	0.350295	342
chr1	73000001	74000000	0.349743	343
chr1	73100001	74100000	0.35154	338
chr1	73200001	74200000	0.351224	325
chr1	73300001	74300000	0.351286	316
chr1	73400001	74400000	0.351953	304
chr1	73500001	74500000	0.353042	310
