Case	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9:22	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22:9
B2<B1<B3<A2<A1	0.018000	0.029000	0.059000	0.007000	0.068000	0.030000	0.017000	0.007000	0.029000	0.017000	0.030000	0.006000	0.032000	0.014000	0.012000	0.002000	0.030000	0.001000	0.007000	0.000000	0.001000	0.011000
B3<B2<A2<A1<B1	0.027000	0.005000	0.009000	0.012000	0.011000	0.041000	0.015000	0.010000	0.043000	0.016000	0.012000	0.039000	0.004000	0.026000	0.011000	0.023000	0.008000	0.033000	0.008000	0.000000	0.046000	0.015000
A1<B1<A2<B2<B3	0.015000	0.003000	0.010000	0.005000	0.005000	0.011000	0.008000	0.004000	0.018000	0.012000	0.015000	0.002000	0.006000	0.013000	0.030000	0.014000	0.016000	0.051000	0.031000	0.071000	0.045000	0.002000
B3<A2<A1<B1<B2	0.017000	0.017000	0.016000	0.024000	0.020000	0.017000	0.022000	0.031000	0.024000	0.008000	0.020000	0.019000	0.024000	0.021000	0.011000	0.006000	0.015000	0.004000	0.013000	0.000000	0.002000	0.043000
B3<B2<B1<A2<A1	0.002000	0.004000	0.002000	0.000000	0.002000	0.008000	0.003000	0.006000	0.025000	0.017000	0.003000	0.002000	0.015000	0.016000	0.016000	0.069000	0.025000	0.005000	0.084000	0.000000	0.053000	0.002000
A1<B1<B2<A2<B3	0.016000	0.009000	0.007000	0.026000	0.009000	0.024000	0.012000	0.008000	0.008000	0.009000	0.025000	0.010000	0.007000	0.007000	0.024000	0.016000	0.009000	0.063000	0.004000	0.032000	0.026000	0.007000
B2<B3<B1<A2<A1	0.024000	0.010000	0.030000	0.001000	0.041000	0.028000	0.012000	0.005000	0.045000	0.014000	0.035000	0.010000	0.010000	0.014000	0.014000	0.009000	0.020000	0.003000	0.018000	0.000000	0.003000	0.008000
B2<B1<A2<B3<A1	0.015000	0.035000	0.014000	0.004000	0.024000	0.007000	0.016000	0.009000	0.024000	0.022000	0.023000	0.021000	0.047000	0.012000	0.027000	0.007000	0.017000	0.002000	0.005000	0.000000	0.003000	0.008000
B2<A1<B1<A2<B3	0.013000	0.007000	0.012000	0.012000	0.004000	0.008000	0.029000	0.032000	0.005000	0.004000	0.034000	0.008000	0.004000	0.011000	0.036000	0.016000	0.008000	0.003000	0.008000	0.035000	0.001000	0.040000
B1<B2<A2<A1<B3	0.002000	0.030000	0.002000	0.001000	0.000000	0.000000	0.005000	0.005000	0.005000	0.077000	0.007000	0.038000	0.018000	0.026000	0.017000	0.007000	0.010000	0.005000	0.006000	0.058000	0.004000	0.003000
B2<A2<B3<B1<A1	0.058000	0.011000	0.013000	0.009000	0.046000	0.006000	0.017000	0.007000	0.010000	0.003000	0.035000	0.011000	0.005000	0.007000	0.017000	0.003000	0.011000	0.004000	0.005000	0.000000	0.014000	0.012000
A2<B3<B2<A1<B1	0.019000	0.008000	0.002000	0.093000	0.021000	0.013000	0.011000	0.042000	0.001000	0.004000	0.002000	0.006000	0.002000	0.002000	0.001000	0.001000	0.009000	0.024000	0.000000	0.000000	0.005000	0.030000
B2<A2<B1<A1<B3	0.004000	0.002000	0.000000	0.000000	0.000000	0.001000	0.004000	0.006000	0.002000	0.001000	0.002000	0.009000	0.000000	0.027000	0.060000	0.019000	0.011000	0.005000	0.027000	0.084000	0.005000	0.006000
B3<A2<B1<B2<A1	0.011000	0.005000	0.016000	0.013000	0.009000	0.033000	0.004000	0.013000	0.026000	0.004000	0.016000	0.008000	0.042000	0.002000	0.025000	0.012000	0.006000	0.002000	0.010000	0.000000	0.005000	0.005000
B3<A2<B1<A1<B2	0.013000	0.009000	0.015000	0.018000	0.010000	0.014000	0.010000	0.041000	0.013000	0.004000	0.027000	0.012000	0.004000	0.006000	0.014000	0.007000	0.005000	0.001000	0.013000	0.000000	0.003000	0.014000
A1<A2<B1<B2<B3	0.000000	0.001000	0.002000	0.000000	0.000000	0.001000	0.001000	0.000000	0.001000	0.005000	0.002000	0.004000	0.004000	0.009000	0.020000	0.013000	0.018000	0.012000	0.043000	0.108000	0.008000	0.001000
A1<B1<A2<B3<B2	0.019000	0.006000	0.020000	0.005000	0.047000	0.013000	0.013000	0.008000	0.009000	0.001000	0.030000	0.011000	0.004000	0.005000	0.006000	0.003000	0.013000	0.006000	0.016000	0.000000	0.013000	0.004000
B3<A1<A2<B1<B2	0.004000	0.006000	0.003000	0.002000	0.004000	0.006000	0.003000	0.017000	0.025000	0.010000	0.006000	0.024000	0.030000	0.017000	0.018000	0.009000	0.019000	0.007000	0.026000	0.000000	0.000000	0.010000
A1<B3<A2<B1<B2	0.002000	0.010000	0.015000	0.002000	0.018000	0.010000	0.006000	0.006000	0.016000	0.018000	0.009000	0.009000	0.071000	0.002000	0.001000	0.008000	0.018000	0.002000	0.014000	0.000000	0.002000	0.005000
B3<A1<A2<B2<B1	0.003000	0.007000	0.002000	0.001000	0.001000	0.005000	0.012000	0.006000	0.017000	0.045000	0.003000	0.028000	0.049000	0.010000	0.007000	0.008000	0.006000	0.008000	0.008000	0.000000	0.002000	0.001000
A1<B3<A2<B2<B1	0.002000	0.009000	0.009000	0.003000	0.001000	0.008000	0.006000	0.001000	0.003000	0.047000	0.000000	0.017000	0.101000	0.002000	0.001000	0.001000	0.005000	0.001000	0.003000	0.000000	0.003000	0.003000
B2<A2<B3<A1<B1	0.016000	0.025000	0.009000	0.027000	0.006000	0.013000	0.016000	0.020000	0.001000	0.000000	0.018000	0.016000	0.001000	0.012000	0.004000	0.000000	0.005000	0.011000	0.002000	0.000000	0.000000	0.023000
B1<B2<A2<B3<A1	0.000000	0.035000	0.009000	0.003000	0.000000	0.004000	0.004000	0.006000	0.006000	0.068000	0.001000	0.017000	0.043000	0.005000	0.005000	0.001000	0.006000	0.000000	0.001000	0.000000	0.002000	0.001000
B1<A1<A2<B2<B3	0.007000	0.015000	0.004000	0.004000	0.002000	0.005000	0.015000	0.013000	0.005000	0.005000	0.005000	0.013000	0.001000	0.023000	0.008000	0.010000	0.008000	0.027000	0.011000	0.020000	0.008000	0.007000
A2<B3<A1<B1<B2	0.011000	0.017000	0.009000	0.018000	0.027000	0.008000	0.016000	0.023000	0.002000	0.002000	0.011000	0.001000	0.003000	0.004000	0.001000	0.000000	0.013000	0.001000	0.003000	0.000000	0.003000	0.032000
A1<B2<B1<A2<B3	0.003000	0.001000	0.005000	0.008000	0.001000	0.014000	0.007000	0.008000	0.007000	0.005000	0.016000	0.004000	0.015000	0.010000	0.012000	0.014000	0.005000	0.002000	0.009000	0.048000	0.002000	0.008000
B2<B1<A1<B3<A2	0.012000	0.006000	0.013000	0.007000	0.028000	0.009000	0.019000	0.005000	0.001000	0.004000	0.017000	0.002000	0.006000	0.012000	0.001000	0.002000	0.014000	0.000000	0.001000	0.000000	0.000000	0.043000
A2<B3<B2<B1<A1	0.016000	0.005000	0.003000	0.018000	0.047000	0.011000	0.006000	0.028000	0.004000	0.001000	0.010000	0.003000	0.008000	0.001000	0.001000	0.001000	0.006000	0.004000	0.001000	0.000000	0.017000	0.007000
B2<A2<B1<B3<A1	0.011000	0.009000	0.006000	0.002000	0.011000	0.000000	0.006000	0.009000	0.002000	0.006000	0.012000	0.008000	0.006000	0.004000	0.049000	0.003000	0.012000	0.003000	0.008000	0.000000	0.009000	0.009000
A2<B3<A1<B2<B1	0.006000	0.021000	0.005000	0.038000	0.014000	0.008000	0.015000	0.018000	0.001000	0.006000	0.001000	0.005000	0.004000	0.000000	0.001000	0.000000	0.006000	0.004000	0.001000	0.000000	0.002000	0.022000
B1<B2<B3<A2<A1	0.000000	0.062000	0.021000	0.000000	0.000000	0.011000	0.006000	0.004000	0.003000	0.029000	0.003000	0.009000	0.005000	0.008000	0.000000	0.001000	0.008000	0.001000	0.003000	0.000000	0.001000	0.002000
B2<A1<A2<B1<B3	0.004000	0.005000	0.007000	0.002000	0.002000	0.003000	0.012000	0.023000	0.002000	0.006000	0.008000	0.007000	0.001000	0.018000	0.017000	0.008000	0.001000	0.003000	0.016000	0.020000	0.002000	0.006000
B1<A1<A2<B3<B2	0.010000	0.020000	0.026000	0.019000	0.004000	0.005000	0.021000	0.009000	0.001000	0.002000	0.010000	0.006000	0.000000	0.002000	0.001000	0.003000	0.003000	0.005000	0.010000	0.000000	0.001000	0.008000
A1<A2<B3<B1<B2	0.002000	0.008000	0.017000	0.004000	0.029000	0.006000	0.019000	0.005000	0.006000	0.010000	0.008000	0.006000	0.015000	0.004000	0.003000	0.002000	0.008000	0.000000	0.007000	0.000000	0.002000	0.003000
B1<A1<B3<A2<B2	0.010000	0.018000	0.010000	0.014000	0.003000	0.005000	0.019000	0.037000	0.000000	0.001000	0.005000	0.008000	0.000000	0.006000	0.000000	0.000000	0.008000	0.003000	0.002000	0.000000	0.000000	0.013000
B1<A1<B2<B3<A2	0.008000	0.012000	0.002000	0.020000	0.006000	0.007000	0.012000	0.008000	0.001000	0.005000	0.001000	0.005000	0.001000	0.005000	0.001000	0.000000	0.010000	0.034000	0.000000	0.000000	0.002000	0.015000
B2<B1<B3<A1<A2	0.013000	0.004000	0.006000	0.001000	0.017000	0.009000	0.016000	0.003000	0.011000	0.007000	0.012000	0.001000	0.006000	0.007000	0.002000	0.003000	0.018000	0.002000	0.002000	0.000000	0.001000	0.012000
A1<A2<B1<B3<B2	0.004000	0.005000	0.005000	0.001000	0.013000	0.003000	0.011000	0.003000	0.005000	0.006000	0.010000	0.005000	0.004000	0.006000	0.006000	0.010000	0.020000	0.005000	0.023000	0.000000	0.006000	0.002000
A1<B1<B3<A2<B2	0.014000	0.007000	0.004000	0.007000	0.016000	0.003000	0.008000	0.010000	0.006000	0.007000	0.005000	0.001000	0.004000	0.005000	0.004000	0.000000	0.009000	0.011000	0.005000	0.000000	0.020000	0.005000
A1<A2<B2<B1<B3	0.000000	0.003000	0.001000	0.000000	0.000000	0.002000	0.002000	0.001000	0.000000	0.007000	0.000000	0.001000	0.000000	0.009000	0.008000	0.010000	0.009000	0.014000	0.014000	0.062000	0.003000	0.003000
B3<B2<B1<A1<A2	0.000000	0.000000	0.000000	0.000000	0.002000	0.001000	0.000000	0.001000	0.006000	0.005000	0.001000	0.001000	0.001000	0.003000	0.001000	0.055000	0.012000	0.007000	0.026000	0.000000	0.025000	0.000000
B2<A1<B1<B3<A2	0.009000	0.005000	0.015000	0.012000	0.008000	0.006000	0.008000	0.008000	0.004000	0.002000	0.021000	0.002000	0.003000	0.000000	0.005000	0.006000	0.004000	0.001000	0.000000	0.000000	0.001000	0.025000
B1<B2<A1<B3<A2	0.003000	0.021000	0.001000	0.009000	0.001000	0.010000	0.013000	0.008000	0.003000	0.008000	0.004000	0.004000	0.003000	0.021000	0.000000	0.000000	0.009000	0.003000	0.000000	0.000000	0.000000	0.023000
B3<B2<A1<A2<B1	0.001000	0.000000	0.003000	0.003000	0.004000	0.005000	0.004000	0.002000	0.015000	0.006000	0.000000	0.004000	0.003000	0.006000	0.011000	0.029000	0.003000	0.008000	0.012000	0.000000	0.020000	0.003000
B3<B2<A1<B1<A2	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005000	0.002000	0.000000	0.002000	0.002000	0.004000	0.007000	0.049000	0.006000	0.006000	0.015000	0.000000	0.036000	0.000000
B3<A1<B1<A2<B2	0.000000	0.001000	0.000000	0.000000	0.001000	0.001000	0.002000	0.003000	0.010000	0.009000	0.004000	0.001000	0.003000	0.010000	0.013000	0.016000	0.016000	0.009000	0.031000	0.000000	0.005000	0.000000
A1<B2<A2<B1<B3	0.004000	0.003000	0.000000	0.000000	0.000000	0.002000	0.006000	0.009000	0.000000	0.010000	0.004000	0.006000	0.006000	0.006000	0.011000	0.007000	0.003000	0.007000	0.008000	0.038000	0.001000	0.003000
B2<A1<A2<B3<B1	0.001000	0.013000	0.022000	0.005000	0.001000	0.009000	0.022000	0.012000	0.000000	0.005000	0.011000	0.011000	0.001000	0.009000	0.002000	0.001000	0.000000	0.002000	0.003000	0.000000	0.000000	0.004000
B3<B1<A2<B2<A1	0.001000	0.003000	0.010000	0.002000	0.003000	0.012000	0.004000	0.008000	0.004000	0.007000	0.004000	0.003000	0.010000	0.007000	0.008000	0.018000	0.008000	0.001000	0.013000	0.000000	0.003000	0.002000
B2<A2<A1<B1<B3	0.003000	0.001000	0.001000	0.002000	0.000000	0.001000	0.005000	0.011000	0.000000	0.002000	0.005000	0.013000	0.000000	0.021000	0.015000	0.004000	0.003000	0.006000	0.014000	0.015000	0.002000	0.005000
B2<B3<A1<A2<B1	0.008000	0.003000	0.023000	0.004000	0.003000	0.017000	0.012000	0.001000	0.002000	0.003000	0.021000	0.008000	0.000000	0.005000	0.002000	0.003000	0.001000	0.002000	0.003000	0.000000	0.000000	0.004000
B2<A1<B3<A2<B1	0.003000	0.002000	0.037000	0.010000	0.002000	0.011000	0.009000	0.007000	0.002000	0.006000	0.014000	0.006000	0.000000	0.000000	0.002000	0.003000	0.001000	0.000000	0.000000	0.000000	0.000000	0.009000
A2<B2<B1<A1<B3	0.000000	0.000000	0.000000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002000	0.004000	0.012000	0.030000	0.012000	0.007000	0.004000	0.027000	0.021000	0.001000
A2<B3<B1<A1<B2	0.010000	0.007000	0.007000	0.020000	0.015000	0.004000	0.003000	0.009000	0.001000	0.000000	0.017000	0.000000	0.004000	0.001000	0.002000	0.001000	0.002000	0.000000	0.002000	0.000000	0.002000	0.010000
B1<B3<A2<A1<B2	0.003000	0.026000	0.024000	0.005000	0.000000	0.005000	0.006000	0.014000	0.002000	0.003000	0.009000	0.008000	0.000000	0.002000	0.001000	0.003000	0.001000	0.000000	0.001000	0.000000	0.000000	0.003000
B3<B1<A2<A1<B2	0.003000	0.002000	0.010000	0.003000	0.002000	0.004000	0.007000	0.010000	0.004000	0.002000	0.008000	0.010000	0.000000	0.005000	0.011000	0.005000	0.007000	0.005000	0.011000	0.000000	0.001000	0.002000
B2<A2<A1<B3<B1	0.000000	0.009000	0.005000	0.002000	0.000000	0.004000	0.014000	0.015000	0.000000	0.002000	0.007000	0.014000	0.000000	0.016000	0.002000	0.001000	0.002000	0.005000	0.001000	0.000000	0.000000	0.012000
A1<A2<B3<B2<B1	0.001000	0.021000	0.009000	0.002000	0.001000	0.004000	0.014000	0.003000	0.002000	0.027000	0.001000	0.009000	0.009000	0.002000	0.000000	0.000000	0.001000	0.002000	0.001000	0.000000	0.000000	0.001000
A1<B3<B1<A2<B2	0.005000	0.001000	0.001000	0.002000	0.004000	0.004000	0.003000	0.008000	0.010000	0.001000	0.002000	0.004000	0.010000	0.002000	0.009000	0.004000	0.013000	0.004000	0.014000	0.000000	0.003000	0.005000
B3<B1<B2<A2<A1	0.003000	0.002000	0.002000	0.000000	0.000000	0.001000	0.003000	0.003000	0.008000	0.014000	0.000000	0.005000	0.010000	0.008000	0.005000	0.011000	0.007000	0.003000	0.019000	0.000000	0.002000	0.000000
B3<A1<B1<B2<A2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003000	0.000000	0.000000	0.001000	0.002000	0.005000	0.032000	0.015000	0.008000	0.014000	0.000000	0.023000	0.001000
A2<A1<B1<B2<B3	0.000000	0.001000	0.000000	0.000000	0.000000	0.001000	0.000000	0.000000	0.000000	0.001000	0.001000	0.000000	0.000000	0.004000	0.007000	0.027000	0.010000	0.006000	0.014000	0.023000	0.008000	0.000000
B3<B1<A1<A2<B2	0.002000	0.001000	0.001000	0.001000	0.001000	0.002000	0.003000	0.021000	0.003000	0.004000	0.001000	0.004000	0.000000	0.011000	0.004000	0.012000	0.009000	0.004000	0.009000	0.000000	0.002000	0.004000
B3<A1<B2<B1<A2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.001000	0.006000	0.004000	0.002000	0.000000	0.003000	0.003000	0.003000	0.039000	0.002000	0.005000	0.010000	0.000000	0.019000	0.000000
B1<B3<A2<B2<A1	0.001000	0.020000	0.017000	0.001000	0.001000	0.007000	0.007000	0.005000	0.004000	0.008000	0.001000	0.011000	0.002000	0.003000	0.002000	0.003000	0.003000	0.001000	0.001000	0.000000	0.000000	0.000000
B1<A2<B2<A1<B3	0.000000	0.001000	0.000000	0.000000	0.001000	0.001000	0.000000	0.003000	0.000000	0.006000	0.000000	0.003000	0.001000	0.004000	0.016000	0.011000	0.006000	0.002000	0.007000	0.034000	0.001000	0.001000
B3<A1<B2<A2<B1	0.001000	0.000000	0.001000	0.001000	0.002000	0.001000	0.004000	0.002000	0.013000	0.015000	0.001000	0.003000	0.006000	0.002000	0.002000	0.012000	0.005000	0.004000	0.010000	0.000000	0.006000	0.005000
B1<B2<B3<A1<A2	0.000000	0.018000	0.002000	0.001000	0.004000	0.008000	0.007000	0.000000	0.002000	0.005000	0.003000	0.005000	0.001000	0.013000	0.002000	0.003000	0.010000	0.005000	0.000000	0.000000	0.000000	0.005000
B1<B3<A1<A2<B2	0.001000	0.012000	0.006000	0.005000	0.000000	0.000000	0.003000	0.026000	0.001000	0.004000	0.002000	0.008000	0.001000	0.007000	0.001000	0.000000	0.005000	0.002000	0.001000	0.000000	0.000000	0.006000
A2<A1<B3<B1<B2	0.002000	0.001000	0.005000	0.003000	0.017000	0.002000	0.009000	0.003000	0.002000	0.003000	0.002000	0.003000	0.003000	0.002000	0.000000	0.000000	0.015000	0.007000	0.003000	0.000000	0.001000	0.008000
A2<B2<B3<B1<A1	0.004000	0.000000	0.001000	0.001000	0.008000	0.004000	0.002000	0.003000	0.001000	0.001000	0.004000	0.004000	0.003000	0.001000	0.003000	0.002000	0.007000	0.010000	0.001000	0.000000	0.026000	0.005000
B1<A2<B3<A1<B2	0.000000	0.012000	0.025000	0.004000	0.000000	0.006000	0.010000	0.005000	0.002000	0.000000	0.005000	0.003000	0.000000	0.001000	0.000000	0.000000	0.000000	0.000000	0.006000	0.000000	0.001000	0.010000
A2<B1<A1<B2<B3	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.001000	0.000000	0.000000	0.000000	0.002000	0.002000	0.005000	0.028000	0.011000	0.001000	0.013000	0.014000	0.009000	0.000000
A1<B1<B2<B3<A2	0.007000	0.002000	0.000000	0.010000	0.007000	0.006000	0.001000	0.005000	0.003000	0.006000	0.005000	0.000000	0.005000	0.001000	0.001000	0.004000	0.005000	0.005000	0.000000	0.000000	0.007000	0.007000
A2<B1<B2<A1<B3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.001000	0.001000	0.000000	0.000000	0.002000	0.000000	0.001000	0.009000	0.035000	0.010000	0.001000	0.004000	0.016000	0.005000	0.000000
A2<B2<B3<A1<B1	0.003000	0.004000	0.001000	0.006000	0.002000	0.002000	0.002000	0.009000	0.000000	0.002000	0.000000	0.004000	0.001000	0.001000	0.000000	0.000000	0.009000	0.026000	0.000000	0.000000	0.006000	0.007000
A2<B3<B1<B2<A1	0.003000	0.003000	0.005000	0.011000	0.012000	0.002000	0.002000	0.014000	0.001000	0.002000	0.006000	0.002000	0.002000	0.001000	0.003000	0.003000	0.004000	0.000000	0.002000	0.000000	0.000000	0.004000
B2<B3<B1<A1<A2	0.005000	0.000000	0.006000	0.001000	0.002000	0.004000	0.005000	0.001000	0.006000	0.003000	0.002000	0.000000	0.000000	0.004000	0.003000	0.007000	0.013000	0.001000	0.006000	0.000000	0.001000	0.010000
A1<B3<B2<A2<B1	0.001000	0.001000	0.001000	0.001000	0.002000	0.005000	0.002000	0.003000	0.010000	0.009000	0.000000	0.003000	0.024000	0.001000	0.001000	0.001000	0.003000	0.001000	0.004000	0.000000	0.001000	0.002000
B1<A1<B3<B2<A2	0.002000	0.007000	0.000000	0.001000	0.000000	0.000000	0.006000	0.005000	0.000000	0.004000	0.001000	0.001000	0.001000	0.005000	0.001000	0.002000	0.007000	0.022000	0.000000	0.000000	0.004000	0.005000
A1<B1<B3<B2<A2	0.004000	0.003000	0.000000	0.000000	0.000000	0.002000	0.003000	0.003000	0.003000	0.002000	0.001000	0.003000	0.002000	0.001000	0.000000	0.002000	0.006000	0.010000	0.002000	0.000000	0.023000	0.004000
B1<A2<A1<B2<B3	0.000000	0.001000	0.000000	0.002000	0.001000	0.001000	0.002000	0.001000	0.001000	0.005000	0.003000	0.001000	0.001000	0.006000	0.004000	0.006000	0.002000	0.004000	0.011000	0.013000	0.006000	0.002000
A1<B2<B1<B3<A2	0.002000	0.001000	0.000000	0.005000	0.006000	0.005000	0.004000	0.003000	0.001000	0.002000	0.004000	0.000000	0.010000	0.001000	0.004000	0.007000	0.006000	0.001000	0.002000	0.000000	0.001000	0.008000
B1<B3<B2<A2<A1	0.000000	0.010000	0.004000	0.001000	0.000000	0.007000	0.002000	0.001000	0.004000	0.019000	0.000000	0.005000	0.004000	0.005000	0.000000	0.000000	0.005000	0.000000	0.003000	0.000000	0.001000	0.001000
A1<B2<A2<B3<B1	0.000000	0.008000	0.007000	0.002000	0.001000	0.007000	0.011000	0.002000	0.000000	0.011000	0.002000	0.009000	0.001000	0.000000	0.001000	0.000000	0.000000	0.003000	0.002000	0.000000	0.000000	0.001000
A1<A2<B2<B3<B1	0.002000	0.006000	0.001000	0.000000	0.000000	0.004000	0.012000	0.003000	0.001000	0.014000	0.003000	0.010000	0.003000	0.003000	0.000000	0.000000	0.000000	0.001000	0.001000	0.000000	0.000000	0.000000
A2<B2<A1<B1<B3	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.000000	0.000000	0.001000	0.000000	0.000000	0.008000	0.005000	0.005000	0.013000	0.005000	0.007000	0.015000	0.002000	0.000000
B3<B1<B2<A1<A2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004000	0.003000	0.001000	0.000000	0.000000	0.000000	0.003000	0.001000	0.015000	0.008000	0.004000	0.013000	0.000000	0.009000	0.001000
B3<B1<A1<B2<A2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002000	0.002000	0.001000	0.000000	0.000000	0.001000	0.007000	0.004000	0.007000	0.011000	0.013000	0.007000	0.000000	0.006000	0.001000
B1<A2<A1<B3<B2	0.003000	0.004000	0.010000	0.004000	0.000000	0.001000	0.004000	0.004000	0.001000	0.003000	0.006000	0.001000	0.000000	0.002000	0.003000	0.002000	0.002000	0.001000	0.003000	0.000000	0.001000	0.006000
A2<A1<B2<B1<B3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001000	0.000000	0.000000	0.000000	0.001000	0.001000	0.000000	0.008000	0.001000	0.007000	0.011000	0.009000	0.004000	0.016000	0.001000	0.001000
B2<B3<A1<B1<A2	0.005000	0.000000	0.003000	0.001000	0.001000	0.003000	0.003000	0.000000	0.003000	0.002000	0.003000	0.001000	0.005000	0.001000	0.005000	0.007000	0.003000	0.000000	0.002000	0.000000	0.007000	0.004000
B2<A1<B3<B1<A2	0.002000	0.002000	0.005000	0.001000	0.007000	0.000000	0.004000	0.000000	0.001000	0.001000	0.008000	0.001000	0.001000	0.001000	0.003000	0.004000	0.002000	0.001000	0.004000	0.000000	0.001000	0.009000
A2<A1<B3<B2<B1	0.000000	0.007000	0.003000	0.004000	0.000000	0.000000	0.008000	0.006000	0.001000	0.004000	0.000000	0.003000	0.001000	0.004000	0.001000	0.002000	0.006000	0.005000	0.000000	0.000000	0.000000	0.003000
A1<B3<B1<B2<A2	0.000000	0.001000	0.000000	0.000000	0.000000	0.001000	0.000000	0.001000	0.003000	0.002000	0.000000	0.000000	0.002000	0.000000	0.002000	0.005000	0.008000	0.005000	0.003000	0.000000	0.023000	0.002000
A1<B2<B3<A2<B1	0.000000	0.005000	0.002000	0.003000	0.002000	0.008000	0.002000	0.003000	0.006000	0.002000	0.003000	0.002000	0.003000	0.001000	0.000000	0.002000	0.000000	0.000000	0.002000	0.000000	0.001000	0.001000
B1<A2<B3<B2<A1	0.001000	0.010000	0.005000	0.000000	0.002000	0.002000	0.002000	0.003000	0.000000	0.002000	0.004000	0.000000	0.004000	0.001000	0.002000	0.002000	0.002000	0.000000	0.003000	0.000000	0.000000	0.002000
A2<B1<B3<A1<B2	0.000000	0.004000	0.002000	0.005000	0.002000	0.001000	0.001000	0.003000	0.001000	0.000000	0.005000	0.001000	0.001000	0.001000	0.006000	0.002000	0.001000	0.002000	0.002000	0.000000	0.001000	0.006000
A2<B2<B1<B3<A1	0.001000	0.001000	0.000000	0.000000	0.002000	0.001000	0.000000	0.000000	0.001000	0.000000	0.002000	0.001000	0.006000	0.000000	0.005000	0.006000	0.006000	0.001000	0.000000	0.000000	0.013000	0.001000
A2<A1<B1<B3<B2	0.001000	0.001000	0.001000	0.001000	0.005000	0.000000	0.006000	0.001000	0.002000	0.000000	0.003000	0.001000	0.002000	0.002000	0.003000	0.002000	0.008000	0.002000	0.004000	0.000000	0.001000	0.001000
