chrom	start	end	gpseq_score
chr1	9e+06	1e+07	0.791952404810749
chr1	9100000	10100000	0.793210844824052
chr1	9200000	10200000	0.814057000924955
chr1	9300000	10300000	0.769582946766475
chr1	9400000	10400000	0.751328558176145
chr1	9500000	10500000	0.750268110170642
chr1	9600000	10600000	0.74274442162446
chr1	9700000	10700000	0.764776703961762
chr1	9800000	10800000	0.76024344121538
chr1	9900000	10900000	0.783050388229604
chr1	1e+07	1.1e+07	0.79428861393427
chr1	10100000	11100000	0.824451441502367
chr1	10200000	11200000	0.811354780538754
chr1	10300000	11300000	0.841452068520334
chr1	10400000	11400000	0.860094624069888
chr1	10500000	11500000	0.859029006540828
chr1	10600000	11600000	0.87445059222919
chr1	10700000	11700000	0.880178431811447
chr1	10800000	11800000	0.88482868198248
chr1	10900000	11900000	0.863128632360619
chr1	1.1e+07	1.2e+07	0.839493686223711
chr1	11100000	12100000	0.818309261199358
chr1	11200000	12200000	0.824779189141851
chr1	11300000	12300000	0.816462986245438
chr1	11400000	12400000	0.776357829370378
chr1	11500000	12500000	0.74705814113772
chr1	11600000	12600000	0.721767673745553
chr1	11700000	12700000	0.694175470293661
chr1	11800000	12800000	0.662025752625592
chr1	11900000	12900000	0.651276786591058
chr1	1.2e+07	1.3e+07	0.646525003949735
chr1	12100000	13100000	0.637403716371514
chr1	12200000	13200000	0.604097687826612
chr1	12300000	13300000	0.583485291116338
chr1	12400000	13400000	0.597280164797202
chr1	12500000	13500000	0.603489397899849
chr1	12600000	13600000	0.583699373247339
chr1	12700000	13700000	0.579037433588849
chr1	12800000	13800000	0.572378049111395
chr1	12900000	13900000	0.580266696622972
chr1	1.3e+07	1.4e+07	0.546017005443558
chr1	13100000	14100000	0.506539445504188
chr1	13200000	14200000	0.526946548726273
chr1	13300000	14300000	0.524892406908723
chr1	13400000	14400000	0.519816101275833
chr1	13500000	14500000	0.533970332966416
chr1	13600000	14600000	0.536190550297796
chr1	13700000	14700000	0.53926800121858
chr1	13800000	14800000	0.545520903036862
chr1	13900000	14900000	0.548746949326171
chr1	1.4e+07	1.5e+07	0.54456070290492
chr1	14100000	15100000	0.577793286038176
chr1	14200000	15200000	0.59056551053864
chr1	14300000	15300000	0.602917613231424
chr1	14400000	15400000	0.61048239860092
chr1	14500000	15500000	0.614770885630006
chr1	14600000	15600000	0.618345829648633
chr1	14700000	15700000	0.63072407644771
chr1	14800000	15800000	0.644135570414722
chr1	14900000	15900000	0.65191194769741
chr1	1.5e+07	1.6e+07	0.695944246994152
chr1	15100000	16100000	0.704741019693345
chr1	15200000	16200000	0.701263303344353
chr1	15300000	16300000	0.694260906101204
chr1	15400000	16400000	0.724124285529913
chr1	15500000	16500000	0.74579420728934
chr1	15600000	16600000	0.763173456565721
chr1	15700000	16700000	0.759341100434877
chr1	15800000	16800000	0.782309896419672
chr1	15900000	16900000	0.790004242071685
chr1	1.6e+07	1.7e+07	0.781086294489529
chr1	16100000	17100000	0.785758880647874
chr1	16200000	17200000	0.79658401892789
chr1	16300000	17300000	0.835506725309613
chr1	16400000	17400000	0.829301676259565
chr1	16500000	17500000	0.842447457885512
chr1	16600000	17600000	0.877590052412656
chr1	16700000	17700000	0.925961017425293
chr1	16800000	17800000	0.930877266498665
chr1	16900000	17900000	0.949023854927584
chr1	1.7e+07	1.8e+07	0.939087658461981
chr1	17100000	18100000	0.938433984036101
chr1	17200000	18200000	0.940364440190564
chr1	17300000	18300000	0.944987422023109
chr1	17400000	18400000	0.931078177068753
chr1	17500000	18500000	0.911821757903964
chr1	17600000	18600000	0.916194886526107
chr1	17700000	18700000	0.917811760835793
chr1	17800000	18800000	0.929933520343849
chr1	17900000	18900000	0.93511128040064
chr1	1.8e+07	1.9e+07	0.947839292329699
chr1	18100000	19100000	0.953565655118027
chr1	18200000	19200000	0.955339556572908
chr1	18300000	19300000	0.955162686666057
chr1	18400000	19400000	0.979915330958802
chr1	18500000	19500000	1
chr1	18600000	19600000	0.995965459281633
chr1	18700000	19700000	0.989777316479877
chr1	18800000	19800000	0.957943889277149
chr1	18900000	19900000	0.918832570221731
chr1	1.9e+07	2e+07	0.898054163621322
chr1	19100000	20100000	0.876973974985435
chr1	19200000	20200000	0.849597712399238
chr1	19300000	20300000	0.830642740012325
chr1	19400000	20400000	0.820880156254151
chr1	19500000	20500000	0.823815000572336
chr1	19600000	20600000	0.821338907119194
chr1	19700000	20700000	0.825546556562607
chr1	19800000	20800000	0.841122258739732
chr1	19900000	20900000	0.86738061899263
chr1	2e+07	2.1e+07	0.885767722788413
chr1	20100000	21100000	0.890446474135008
chr1	20200000	21200000	0.866983595420023
chr1	20300000	21300000	0.865984519867507
chr1	20400000	21400000	0.824386059572265
chr1	20500000	21500000	0.8028099754816
chr1	20600000	21600000	0.80656211164904
chr1	20700000	21700000	0.788171324100638
chr1	20800000	21800000	0.765187888253674
chr1	20900000	21900000	0.768493778978229
chr1	2.1e+07	2.2e+07	0.794203815479038
chr1	21100000	22100000	0.792011413152263
chr1	21200000	22200000	0.835201054807052
chr1	21300000	22300000	0.841650884429242
chr1	21400000	22400000	0.885295867194753
chr1	21500000	22500000	0.899391175119885
chr1	21600000	22600000	0.916374151260399
chr1	21700000	22700000	0.919243209729162
chr1	21800000	22800000	0.926391441489053
chr1	21900000	22900000	0.948131047053104
chr1	2.2e+07	2.3e+07	0.92702403712517
chr1	22100000	23100000	0.949473240344399
chr1	22200000	23200000	0.94548943491846
chr1	22300000	23300000	0.957703590085734
chr1	22400000	23400000	0.920244797372949
chr1	22500000	23500000	0.905836354279243
chr1	22600000	23600000	0.873743006115662
chr1	22700000	23700000	0.867529186902671
chr1	22800000	23800000	0.862089588626266
chr1	22900000	23900000	0.840768879127317
chr1	2.3e+07	2.4e+07	0.829929483935699
chr1	23100000	24100000	0.841644742929671
chr1	23200000	24200000	0.839257834888383
chr1	23300000	24300000	0.836086185655663
chr1	23400000	24400000	0.863944320399897
chr1	23500000	24500000	0.887683849343227
chr1	23600000	24600000	0.896129307647229
chr1	23700000	24700000	0.914509512584364
chr1	23800000	24800000	0.888892895218771
chr1	23900000	24900000	0.889532065735207
chr1	2.4e+07	2.5e+07	0.888539913751761
chr1	24100000	25100000	0.859043278230114
chr1	24200000	25200000	0.846686254098681
chr1	24300000	25300000	0.863240093392518
chr1	24400000	25400000	0.850955222687162
chr1	24500000	25500000	0.841818072075395
chr1	24600000	25600000	0.852622450406642
chr1	24700000	25700000	0.840929785718177
chr1	24800000	25800000	0.863672625319607
chr1	24900000	25900000	0.859808426094162
chr1	2.5e+07	2.6e+07	0.876024169726035
chr1	25100000	26100000	0.898020581156758
chr1	25200000	26200000	0.883360196468841
chr1	25300000	26300000	0.871815165381383
chr1	25400000	26400000	0.908143518997295
chr1	25500000	26500000	0.901387696543872
chr1	25600000	26600000	0.909678494381349
chr1	25700000	26700000	0.892656328480216
chr1	25800000	26800000	0.894633234478562
chr1	25900000	26900000	0.905224114484491
chr1	2.6e+07	2.7e+07	0.894018558524553
chr1	26100000	27100000	0.865949577060735
chr1	26200000	27200000	0.872988683552663
chr1	26300000	27300000	0.891252123955454
chr1	26400000	27400000	0.8768641043112
chr1	26500000	27500000	0.874682085767693
chr1	26600000	27600000	0.855646933863779
chr1	26700000	27700000	0.887759403050044
chr1	26800000	27800000	0.882507665503948
chr1	26900000	27900000	0.873731237528849
chr1	2.7e+07	2.8e+07	0.877834518231347
chr1	27100000	28100000	0.886279636870555
chr1	27200000	28200000	0.892121233527265
chr1	27300000	28300000	0.863622478631981
chr1	27400000	28400000	0.85217207867838
chr1	27500000	28500000	0.833801403270143
chr1	27600000	28600000	0.831121737355858
chr1	27700000	28700000	0.802488201481955
chr1	27800000	28800000	0.802267098466309
chr1	27900000	28900000	0.783003497815795
chr1	2.8e+07	2.9e+07	0.800172674005426
chr1	28100000	29100000	0.805489610777466
chr1	28200000	29200000	0.810184372725979
chr1	28300000	29300000	0.800161257935262
chr1	28400000	29400000	0.795702799509069
chr1	28500000	29500000	0.806812805190193
chr1	28600000	29600000	0.789773272505756
chr1	28700000	29700000	0.788000497240584
chr1	28800000	29800000	0.784552855744813
chr1	28900000	29900000	0.802531372003683
chr1	2.9e+07	3e+07	0.793804036820379
chr1	29100000	30100000	0.803425067740974
chr1	29200000	30200000	0.804059698647405
chr1	29300000	30300000	0.824614136004329
chr1	29400000	30400000	0.847628391037276
chr1	29500000	30500000	0.862515566236078
chr1	29600000	30600000	0.852208822164131
chr1	29700000	30700000	0.833419036039585
chr1	29800000	30800000	0.85404733267683
chr1	29900000	30900000	0.852676254915369
chr1	3e+07	3.1e+07	0.852068566156006
chr1	30100000	31100000	0.848242883289472
chr1	30200000	31200000	0.854028916657247
chr1	30300000	31300000	0.862850566317946
chr1	30400000	31400000	0.854006696400442
chr1	30500000	31500000	0.835687901393281
chr1	30600000	31600000	0.857282056966062
chr1	30700000	31700000	0.868984023422329
chr1	30800000	31800000	0.843734769854624
chr1	30900000	31900000	0.831068806128036
chr1	3.1e+07	3.2e+07	0.830533856676407
chr1	31100000	32100000	0.828068575197577
chr1	31200000	32200000	0.835181648444552
chr1	31300000	32300000	0.832891211375317
chr1	31400000	32400000	0.831531060597715
chr1	31500000	32500000	0.844621588370967
chr1	31600000	32600000	0.828592986057405
chr1	31700000	32700000	0.832199526133746
chr1	31800000	32800000	0.840463439707604
chr1	31900000	32900000	0.851660282395328
chr1	3.2e+07	3.3e+07	0.851651765442052
chr1	32100000	33100000	0.836924422145298
chr1	32200000	33200000	0.795131067055871
chr1	32300000	33300000	0.772141397820901
chr1	32400000	33400000	0.758561646173061
chr1	32500000	33500000	0.735887885843339
chr1	32600000	33600000	0.737578819243073
chr1	32700000	33700000	0.736178060540178
chr1	32800000	33800000	0.732789252187315
chr1	32900000	33900000	0.698466768537536
chr1	3.3e+07	3.4e+07	0.674195084950185
chr1	33100000	34100000	0.696182661314532
chr1	33200000	34200000	0.720414274692159
chr1	33300000	34300000	0.702032585101062
chr1	33400000	34400000	0.706393717758801
chr1	33500000	34500000	0.712336321294928
chr1	33600000	34600000	0.723391480287854
chr1	33700000	34700000	0.705585894207071
chr1	33800000	34800000	0.691108063991002
chr1	33900000	34900000	0.70116994529149
chr1	3.4e+07	3.5e+07	0.711974232610821
chr1	34100000	35100000	0.700095009932186
chr1	34200000	35200000	0.695379868734765
chr1	34300000	35300000	0.692596895685841
chr1	34400000	35400000	0.681428727946066
chr1	34500000	35500000	0.678420370883063
chr1	34600000	35600000	0.66199530583902
chr1	34700000	35700000	0.668680420445331
chr1	34800000	35800000	0.658968765737143
chr1	34900000	35900000	0.66019164334512
chr1	3.5e+07	3.6e+07	0.658315926449558
chr1	35100000	36100000	0.659489459898486
chr1	35200000	36200000	0.656836800201908
chr1	35300000	36300000	0.642073383369545
chr1	35400000	36400000	0.641904840840482
chr1	35500000	36500000	0.640394684946119
chr1	35600000	36600000	0.640323433312338
chr1	35700000	36700000	0.643187990778753
chr1	35800000	36800000	0.660126451107223
chr1	35900000	36900000	0.673973973933741
chr1	3.6e+07	3.7e+07	0.677548923682698
chr1	36100000	37100000	0.712803305431258
chr1	36200000	37200000	0.743715541411676
chr1	36300000	37300000	0.781172814558657
chr1	36400000	37400000	0.803186834126682
chr1	36500000	37500000	0.813233106885566
chr1	36600000	37600000	0.833332932274523
chr1	36700000	37700000	0.861464776593468
chr1	36800000	37800000	0.869404071019029
chr1	36900000	37900000	0.879764901036851
chr1	3.7e+07	3.8e+07	0.897838360493389
chr1	37100000	38100000	0.864473641689847
chr1	37200000	38200000	0.836590185808394
chr1	37300000	38300000	0.825504458446472
chr1	37400000	38400000	0.805467687715428
chr1	37500000	38500000	0.779521286268877
chr1	37600000	38600000	0.777081928941314
chr1	37700000	38700000	0.747178047492463
chr1	37800000	38800000	0.731394460488659
chr1	37900000	38900000	0.723277151386324
chr1	3.8e+07	3.9e+07	0.713437138380178
chr1	38100000	39100000	0.721082073304084
chr1	38200000	39200000	0.700909192572492
chr1	38300000	39300000	0.69678770646073
chr1	38400000	39400000	0.691992697992781
chr1	38500000	39500000	0.697012572364488
chr1	38600000	39600000	0.694804324774602
chr1	38700000	39700000	0.698659986239791
chr1	38800000	39800000	0.70527913398251
chr1	38900000	39900000	0.71749472149389
chr1	3.9e+07	4e+07	0.711529627485638
chr1	39100000	40100000	0.719755489893375
chr1	39200000	40200000	0.748231779447477
chr1	39300000	40300000	0.754263327590646
chr1	39400000	40400000	0.743875303067406
chr1	39500000	40500000	0.770419332615997
chr1	39600000	40600000	0.767524734632814
chr1	39700000	40700000	0.763581842453859
chr1	39800000	40800000	0.750363500003267
chr1	39900000	40900000	0.728665979732321
chr1	4e+07	4.1e+07	0.745462179357769
chr1	40100000	41100000	0.736532393433023
chr1	40200000	41200000	0.726919252580929
chr1	40300000	41300000	0.741751784327008
chr1	40400000	41400000	0.772723846771951
chr1	40500000	41500000	0.753575810710902
chr1	40600000	41600000	0.757779209774136
chr1	40700000	41700000	0.756080987006678
chr1	40800000	41800000	0.762855587868401
chr1	40900000	41900000	0.805966178211166
chr1	4.1e+07	4.2e+07	0.805036048238901
chr1	41100000	42100000	0.783734267161592
chr1	41200000	42200000	0.799533585069384
chr1	41300000	42300000	0.785126679202252
chr1	41400000	42400000	0.789226776669555
chr1	41500000	42500000	0.777279711353602
chr1	41600000	42600000	0.77285654280727
chr1	41700000	42700000	0.777682779586379
chr1	41800000	42800000	0.754468067041513
chr1	41900000	42900000	0.726793995765881
chr1	4.2e+07	4.3e+07	0.704012548755244
chr1	42100000	43100000	0.716466009718998
chr1	42200000	43200000	0.706023203234537
chr1	42300000	43300000	0.708776249533728
chr1	42400000	43400000	0.694536259063941
chr1	42500000	43500000	0.738430364448577
chr1	42600000	43600000	0.76431407588339
chr1	42700000	43700000	0.792626131636118
chr1	42800000	43800000	0.828221013992886
chr1	42900000	43900000	0.835435015632594
chr1	4.3e+07	4.4e+07	0.853711212582665
chr1	43100000	44100000	0.869111339115341
chr1	43200000	44200000	0.872978571221715
chr1	43300000	44300000	0.869293652365079
chr1	43400000	44400000	0.896804506292947
chr1	43500000	44500000	0.876438482734065
chr1	43600000	44600000	0.853709873901764
chr1	43700000	44700000	0.836589731303313
chr1	43800000	44800000	0.848605344317924
chr1	43900000	44900000	0.847010141800367
chr1	4.4e+07	4.5e+07	0.823702003762494
chr1	44100000	45100000	0.800423780357727
chr1	44200000	45200000	0.805609852547769
chr1	44300000	45300000	0.808646325687327
chr1	44400000	45400000	0.789928840160193
chr1	44500000	45500000	0.770596301297185
chr1	44600000	45600000	0.767647438016864
chr1	44700000	45700000	0.761240956533597
chr1	44800000	45800000	0.726189020161352
chr1	44900000	45900000	0.712805923218166
chr1	4.5e+07	4.6e+07	0.726552512283702
chr1	45100000	46100000	0.707023927908141
chr1	45200000	46200000	0.664319321710506
chr1	45300000	46300000	0.636364329205631
chr1	45400000	46400000	0.621102866732481
chr1	45500000	46500000	0.619137298772133
chr1	45600000	46600000	0.61584429877722
chr1	45700000	46700000	0.626895433233111
chr1	45800000	46800000	0.63868906942545
chr1	45900000	46900000	0.649256368563067
chr1	4.6e+07	4.7e+07	0.625414315142048
chr1	46100000	47100000	0.619338797013247
chr1	46200000	47200000	0.604232589105577
chr1	46300000	47300000	0.601596104388776
chr1	46400000	47400000	0.613539647284305
chr1	46500000	47500000	0.612878165034833
chr1	46600000	47600000	0.6017826393827
chr1	46700000	47700000	0.577502830770876
chr1	46800000	47800000	0.544925944955962
chr1	46900000	47900000	0.51001274394932
chr1	4.7e+07	4.8e+07	0.489061816866847
chr1	47100000	48100000	0.476693679824986
chr1	47200000	48200000	0.480562283118623
chr1	47300000	48300000	0.497473994905457
chr1	47400000	48400000	0.495483113133835
chr1	47500000	48500000	0.48479300690937
chr1	47600000	48600000	0.474626861651151
chr1	47700000	48700000	0.469836178890399
chr1	47800000	48800000	0.477217106777129
chr1	47900000	48900000	0.472231653424506
chr1	4.8e+07	4.9e+07	0.476751535227418
chr1	48100000	49100000	0.449846954152537
chr1	48200000	49200000	0.447879980949075
chr1	48300000	49300000	0.410628425288805
chr1	48400000	49400000	0.38436221657757
chr1	48500000	49500000	0.366198348671558
chr1	48600000	49600000	0.360647854487397
chr1	48700000	49700000	0.355443282857465
chr1	48800000	49800000	0.366125905174741
chr1	48900000	49900000	0.37456693874049
chr1	4.9e+07	5e+07	0.373024484090391
chr1	49100000	50100000	0.392953574345411
chr1	49200000	50200000	0.392338527082653
chr1	49300000	50300000	0.393818042420679
chr1	49400000	50400000	0.419901214754518
chr1	49500000	50500000	0.431211556761333
chr1	49600000	50600000	0.428109060591622
chr1	49700000	50700000	0.42727089891775
chr1	49800000	50800000	0.395485856856193
chr1	49900000	50900000	0.376935558497686
chr1	5e+07	5.1e+07	0.348789563693253
chr1	50100000	51100000	0.339906613605728
chr1	50200000	51200000	0.327355722185598
chr1	50300000	51300000	0.333584284511011
chr1	50400000	51400000	0.323384760358956
chr1	50500000	51500000	0.312067564594586
chr1	50600000	51600000	0.309393758506706
chr1	50700000	51700000	0.316074918477589
chr1	50800000	51800000	0.327647929435242
chr1	50900000	51900000	0.349607439084277
chr1	5.1e+07	5.2e+07	0.366609738844142
chr1	51100000	52100000	0.38427258410133
chr1	51200000	52200000	0.382285011159268
chr1	51300000	52300000	0.391073854468276
chr1	51400000	52400000	0.403308239051806
chr1	51500000	52500000	0.431447852219275
chr1	51600000	52600000	0.441137488620792
chr1	51700000	52700000	0.460859868969311
chr1	51800000	52800000	0.488087169661775
chr1	51900000	52900000	0.509816894076124
chr1	5.2e+07	5.3e+07	0.521046440834894
chr1	52100000	53100000	0.542503823090643
chr1	52200000	53200000	0.579323952144524
chr1	52300000	53300000	0.580780683516645
chr1	52400000	53400000	0.588620576914888
chr1	52500000	53500000	0.589698991399745
chr1	52600000	53600000	0.624219617232852
chr1	52700000	53700000	0.637903098248118
chr1	52800000	53800000	0.664752654469704
chr1	52900000	53900000	0.659009134826941
chr1	5.3e+07	5.4e+07	0.690346166288879
chr1	53100000	54100000	0.706420214056421
chr1	53200000	54200000	0.726052238558526
chr1	53300000	54300000	0.730292495570688
chr1	53400000	54400000	0.746420705926684
chr1	53500000	54500000	0.74927380677366
chr1	53600000	54600000	0.73125807486529
chr1	53700000	54700000	0.736710466137941
chr1	53800000	54800000	0.732337669022871
chr1	53900000	54900000	0.717789678803013
chr1	5.4e+07	5.5e+07	0.710755816563083
chr1	54100000	55100000	0.716689343256891
chr1	54200000	55200000	0.700396533908811
chr1	54300000	55300000	0.702679021883722
chr1	54400000	55400000	0.686090089540858
chr1	54500000	55500000	0.674868966572948
chr1	54600000	55600000	0.665079684355297
chr1	54700000	55700000	0.614509362835964
chr1	54800000	55800000	0.562425598374582
chr1	54900000	55900000	0.522806697634361
chr1	5.5e+07	5.6e+07	0.488941983081979
chr1	55100000	56100000	0.460119233923332
chr1	55200000	56200000	0.430331677241055
chr1	55300000	56300000	0.416850432695725
chr1	55400000	56400000	0.404653319439028
chr1	55500000	56500000	0.395605686109935
chr1	55600000	56600000	0.389421626291903
chr1	55700000	56700000	0.384375866081812
chr1	55800000	56800000	0.379328613297884
chr1	55900000	56900000	0.37011482237473
chr1	5.6e+07	5.7e+07	0.361740200567761
chr1	56100000	57100000	0.322003219308855
chr1	56200000	57200000	0.306825524931438
chr1	56300000	57300000	0.295691680711807
chr1	56400000	57400000	0.28995824447205
chr1	56500000	57500000	0.303913423528462
chr1	56600000	57600000	0.290152258982926
chr1	56700000	57700000	0.289971541024676
chr1	56800000	57800000	0.297517733935293
chr1	56900000	57900000	0.304304976587346
chr1	5.7e+07	5.8e+07	0.312479927222828
chr1	57100000	58100000	0.346581589133777
chr1	57200000	58200000	0.371449976480301
chr1	57300000	58300000	0.385238465055513
chr1	57400000	58400000	0.386379957196059
chr1	57500000	58500000	0.357283772779746
chr1	57600000	58600000	0.370495143360715
chr1	57700000	58700000	0.372069771833244
chr1	57800000	58800000	0.361513251681364
chr1	57900000	58900000	0.362125569688311
chr1	5.8e+07	5.9e+07	0.346404513272519
chr1	58100000	59100000	0.338648831218889
chr1	58200000	59200000	0.32537682817168
chr1	58300000	59300000	0.310613797681304
chr1	58400000	59400000	0.324154756578648
chr1	58500000	59500000	0.337210465775859
chr1	58600000	59600000	0.327552244275554
chr1	58700000	59700000	0.319211098715747
chr1	58800000	59800000	0.314661780787279
chr1	58900000	59900000	0.317918922982745
chr1	5.9e+07	6e+07	0.333459617543135
chr1	59100000	60100000	0.335959453814974
chr1	59200000	60200000	0.33293193551968
chr1	59300000	60300000	0.330217726595318
chr1	59400000	60400000	0.31204933954211
chr1	59500000	60500000	0.316801071066586
chr1	59600000	60600000	0.331696597998602
chr1	59700000	60700000	0.342668918352558
chr1	59800000	60800000	0.346421879171929
chr1	59900000	60900000	0.347087908358653
chr1	6e+07	6.1e+07	0.338591196597436
chr1	60100000	61100000	0.333752520228944
chr1	60200000	61200000	0.329872543839013
chr1	60300000	61300000	0.319113832158099
chr1	60400000	61400000	0.320169996159425
chr1	60500000	61500000	0.31914061148247
chr1	60600000	61600000	0.275562401745377
chr1	60700000	61700000	0.271261633561395
chr1	60800000	61800000	0.263069246602382
chr1	60900000	61900000	0.253076236510621
chr1	6.1e+07	6.2e+07	0.259760731860826
chr1	61100000	62100000	0.276595663193386
chr1	61200000	62200000	0.267145594758206
chr1	61300000	62300000	0.287991184235259
chr1	61400000	62400000	0.304058628013325
chr1	61500000	62500000	0.316681544889508
chr1	61600000	62600000	0.348854695437761
chr1	61700000	62700000	0.353498152875457
chr1	61800000	62800000	0.390036876610829
chr1	61900000	62900000	0.412481335016451
chr1	6.2e+07	6.3e+07	0.406844316916205
chr1	62100000	63100000	0.398869327167886
chr1	62200000	63200000	0.412048829843092
chr1	62300000	63300000	0.411333606337373
chr1	62400000	63400000	0.403228899335703
chr1	62500000	63500000	0.36735811551641
chr1	62600000	63600000	0.377214803802462
chr1	62700000	63700000	0.37128432120513
chr1	62800000	63800000	0.353785002856204
chr1	62900000	63900000	0.341340274642051
chr1	6.3e+07	6.4e+07	0.34044787984191
chr1	63100000	64100000	0.340628864580143
chr1	63200000	64200000	0.3542756071165
chr1	63300000	64300000	0.341860810676462
chr1	63400000	64400000	0.344348200839611
chr1	63500000	64500000	0.349728806482099
chr1	63600000	64600000	0.347323761769483
chr1	63700000	64700000	0.352586682436331
chr1	63800000	64800000	0.354705351588797
chr1	63900000	64900000	0.368006058090211
chr1	6.4e+07	6.5e+07	0.34722081395546
chr1	64100000	65100000	0.338389321776398
chr1	64200000	65200000	0.31766393930003
chr1	64300000	65300000	0.328681464441279
chr1	64400000	65400000	0.328972477191133
chr1	64500000	65500000	0.32408882602463
chr1	64600000	65600000	0.323223311605188
chr1	64700000	65700000	0.303938475725481
chr1	64800000	65800000	0.299942765232878
chr1	64900000	65900000	0.286500697211606
chr1	6.5e+07	6.6e+07	0.298764512098994
chr1	65100000	66100000	0.313386891174443
chr1	65200000	66200000	0.319044326777037
chr1	65300000	66300000	0.309551256460807
chr1	65400000	66400000	0.308598028634058
chr1	65500000	66500000	0.333591951655469
chr1	65600000	66600000	0.326992372167261
chr1	65700000	66700000	0.345151503263702
chr1	65800000	66800000	0.343724207888825
chr1	65900000	66900000	0.348808763380004
chr1	6.6e+07	6.7e+07	0.352834695887442
chr1	66100000	67100000	0.318847826517343
chr1	66200000	67200000	0.327003170372966
chr1	66300000	67300000	0.330528454109804
chr1	66400000	67400000	0.310266916325886
chr1	66500000	67500000	0.292225666722008
chr1	66600000	67600000	0.285222491464973
chr1	66700000	67700000	0.297318271898281
chr1	66800000	67800000	0.300203360130686
chr1	66900000	67900000	0.30436685405562
chr1	6.7e+07	6.8e+07	0.301399407100199
chr1	67100000	68100000	0.326997498298279
chr1	67200000	68200000	0.326586153692447
chr1	67300000	68300000	0.328280741249652
chr1	67400000	68400000	0.348739945421801
chr1	67500000	68500000	0.355541605020697
chr1	67600000	68600000	0.350231336366729
chr1	67700000	68700000	0.327797637686151
chr1	67800000	68800000	0.331738340769539
chr1	67900000	68900000	0.311256582378006
chr1	6.8e+07	6.9e+07	0.300955766418738
chr1	68100000	69100000	0.292758097857999
chr1	68200000	69200000	0.285751109149744
chr1	68300000	69300000	0.25409772180817
chr1	68400000	69400000	0.241885207741565
chr1	68500000	69500000	0.249719679566156
chr1	68600000	69600000	0.243004442148272
