chrom	start	end	G1	S1	S2	S3	S4	G1	gpseq_score
chr1	6000001	7e+06	34.438501	38.715497	16.290499	3.109499	2.706002	34.438501	1.70464251499132
chr1	6100001	7100000	34.280489	37.358475	16.668018	4.228523	2.766499	34.280489	1.72584788520355
chr1	6200001	7200000	31.937471	34.605469	18.493016	7.343036	2.938507	31.937471	1.72006628286771
chr1	6300001	7300000	28.843475	31.375962	20.21102	11.261038	3.546505	28.843475	1.74161785052122
chr1	6400001	7400000	25.705471	27.286455	21.522014	15.971545	4.546513	25.705471	1.71141347813954
chr1	6500001	7500000	22.194956	22.997461	23.247022	20.452046	5.95001	22.194956	1.70969618622192
chr1	6600001	7600000	17.689449	20.011976	25.863533	24.371541	6.712503	17.689449	1.72029304923393
chr1	6700001	7700000	12.80296	18.836487	28.619026	27.516523	7.096004	12.80296	1.71310024287699
chr1	6800001	7800000	9.945988	16.928988	31.796517	28.846503	7.411501	9.945988	1.69927984670249
chr1	6900001	7900000	9.895497	14.980485	33.192018	29.527497	7.352	9.895497	1.70399667220348
chr1	7000001	8e+06	10.837014	14.012503	32.909988	29.678	7.265996	10.837014	1.7150585532016
chr1	7100001	8100000	12.130511	14.931022	31.922487	28.527978	7.245002	12.130511	1.68435515688645
chr1	7200001	8200000	12.806505	17.407521	32.038515	25.613966	6.920992	12.806505	1.66832885765355
chr1	7300001	8300000	12.672489	20.227533	33.878014	22.02697	6.175994	12.672489	1.68670679336875
chr1	7400001	8400000	12.955513	22.363513	36.60302	17.774461	5.244489	12.955513	1.68171291890757
chr1	7500001	8500000	13.79201	24.544527	38.888519	13.711457	3.938491	13.79201	1.70009296438455
chr1	7600001	8600000	14.329006	28.073541	39.411986	10.221964	3.088996	14.329006	1.67096993076825
chr1	7700001	8700000	14.929012	32.30604	38.153477	7.133976	2.516994	14.929012	1.653494811313
chr1	7800001	8800000	17.101527	35.012012	34.90097	5.824996	2.283499	17.101527	1.6512861428094
chr1	7900001	8900000	20.937054	35.242986	31.694958	4.945497	2.289503	20.937054	1.63951496383506
chr1	8000001	9e+06	24.318028	34.772996	29.088978	4.258994	2.454503	24.318028	1.64147918875392
chr1	8100001	9100000	25.247994	36.251014	26.831984	3.914998	2.458002	25.247994	1.63617586742173
chr1	8200001	9200000	24.772	37.762507	25.915998	3.667	2.534499	24.772	1.62958425777247
chr1	8300001	9300000	24.736509	37.931493	25.651	3.573497	2.690503	24.736509	1.66337902361864
chr1	8400001	9400000	24.656994	37.331	25.816006	4.077004	2.749499	24.656994	1.66960382965023
chr1	8500001	9500000	24.140493	37.742509	25.707994	4.396503	2.713	24.140493	1.65302338513346
chr1	8600001	9600000	24.497505	38.395016	24.820489	4.177495	2.645998	24.497505	1.66493262681225
chr1	8700001	9700000	25.845513	37.799988	23.618996	4.096	2.925503	25.845513	1.66545667398975
chr1	8800001	9800000	26.427501	37.641	23.049998	4.047998	2.953	26.427501	1.70067358445848
chr1	8900001	9900000	25.835491	38.691517	22.598499	4.095	2.874998	25.835491	1.7216372425906
chr1	9000001	1e+07	26.569513	38.803996	22.427497	4.030998	2.708497	26.569513	1.73141600986702
chr1	9100001	10100000	28.038525	37.910495	22.318495	3.831998	2.541998	28.038525	1.73292695549566
chr1	9200001	10200000	30.570513	38.084525	19.807461	3.795998	2.542002	30.570513	1.7581485849554
chr1	9300001	10300000	32.486028	40.273521	15.879461	3.540994	2.567996	32.486028	1.70477689663181
chr1	9400001	10400000	35.360527	43.239024	11.405461	2.42499	2.276998	35.360527	1.68334228390105
chr1	9500001	10500000	38.85304	43.620487	8.378479	1.821495	2.149499	38.85304	1.68210540360896
chr1	9600001	10600000	41.647024	41.824974	7.507503	1.917501	2.146501	41.647024	1.67335601834852
chr1	9700001	10700000	41.228481	42.005503	8.239517	1.962499	1.946503	41.228481	1.69910699520816
chr1	9800001	10800000	39.29697	41.656505	10.027521	2.039	2.247	39.29697	1.6937764094468
chr1	9900001	10900000	35.995457	41.92001	12.798525	2.240503	2.252503	35.995457	1.72076536041464
chr1	10000001	1.1e+07	32.063461	43.69002	14.261509	2.511503	2.628505	32.063461	1.73422202680108
chr1	10100001	11100000	31.690515	43.598976	14.555004	2.681002	2.738499	31.690515	1.77086157233556
chr1	10200001	11200000	33.168511	41.72899	14.655503	2.761499	2.704499	33.168511	1.75485859068685
chr1	10300001	11300000	33.682994	40.989998	15.029006	2.775501	2.490499	33.682994	1.79185272931054
chr1	10400001	11400000	32.272978	41.618016	15.829008	3.003501	2.468	32.272978	1.81515736001031
chr1	10500001	11500000	29.254461	44.135529	16.30401	2.976501	2.578499	29.254461	1.81381712574766
chr1	10600001	11600000	25.877976	46.77302	16.908	2.820499	2.669503	25.877976	1.83330979160041
chr1	10700001	11700000	25.950525	47.537499	15.967978	2.834002	2.715996	25.950525	1.84060293203609
chr1	10800001	11800000	29.857058	46.065471	13.987475	2.755499	2.503	29.857058	1.84654533376425
chr1	10900001	11900000	35.815563	43.199968	11.161475	2.489998	2.592998	35.815563	1.81897867861703
chr1	11000001	1.2e+07	41.585553	39.646962	9.492489	2.324499	2.245499	41.585553	1.78942203404226
chr1	11100001	12100000	45.230026	36.793988	8.691489	2.214499	2.334499	45.230026	1.76333827071648
chr1	11200001	12200000	48.373044	34.49796	8.202992	2.069	2.363501	48.373044	1.7712639176789
chr1	11300001	12300000	52.63804	31.128471	7.293489	2.103499	2.500002	52.63804	1.76108309903101
chr1	11400001	12400000	56.585539	28.214473	6.155485	1.959	2.656501	56.585539	1.71280133982185
chr1	11500001	12500000	61.226062	25.328968	4.557475	1.941497	2.649002	61.226062	1.67836691165046
chr1	11600001	12600000	67.23206	21.637453	2.539988	1.792499	2.579998	67.23206	1.64920149454766
chr1	11700001	12700000	71.400014	17.637982	2.280503	1.741501	2.734499	71.400014	1.6179594718916
chr1	11800001	12800000	70.060459	19.001036	2.639008	1.738501	2.629499	70.060459	1.58230284679397
chr1	11900001	12900000	64.348936	23.513042	3.822022	1.986503	2.427497	64.348936	1.57055752594501
chr1	12000001	1.3e+07	57.631934	26.56102	5.722523	3.728531	2.236996	57.631934	1.56539311422859
chr1	12100001	13100000	50.546417	27.132491	8.640499	5.689998	1.942998	50.546417	1.55552730163796
chr1	12200001	13200000	42.655924	26.521996	10.739545	11.009543	1.605998	42.655924	1.52002777710105
chr1	12300001	13300000	35.101427	25.549982	12.729499	12.657499	1.385497	35.101427	1.49846490053745
chr1	12400001	13400000	28.631942	23.114471	13.595024	16.333044	1.189525	28.631942	1.51286175961335
chr1	12500001	13500000	22.599928	20.254479	13.509996	19.1271	7.683497	22.599928	1.51938701612171
chr1	12600001	13600000	15.443425	18.408489	13.190497	20.678499	7.491497	15.443425	1.49868727488035
chr1	12700001	13700000	8.683004	16.837475	12.784996	20.661032	7.100998	8.683004	1.49385221757291
chr1	12800001	13800000	6.658978	12.868447	12.602	25.947551	7.873523	6.658978	1.48697258514443
chr1	12900001	13900000	6.018998	6.903447	12.28299	30.882046	9.935018	6.018998	1.49512561202888
chr1	13000001	1.4e+07	5.425495	3.000475	12.192491	34.125519	11.478515	5.425495	1.46004922055514
chr1	13100001	14100000	4.801507	1.897505	11.174016	37.094048	13.114523	4.801507	1.4206384574582
chr1	13200001	14200000	5.169	1.878996	11.16398	36.294006	15.124018	5.169	1.44087636395651
chr1	13300001	14300000	5.669006	1.769004	11.274024	39.349048	16.729014	5.669006	1.43882627144267
chr1	13400001	14400000	5.932002	2.174507	12.503998	40.565499	18.010984	5.932002	1.43377247499247
chr1	13500001	14500000	6.250505	2.955505	14.902036	42.293944	12.183006	6.250505	1.44790839783435
chr1	13600001	14600000	6.864505	3.916515	18.493042	44.604533	12.675505	6.864505	1.45013835363669
chr1	13700001	14700000	7.122445	5.69902	23.165048	46.756477	13.013505	7.122445	1.45323498366209
chr1	13800001	14800000	5.851012	8.01003	27.195521	42.292956	12.53898	5.851012	1.45954723684626
chr1	13900001	14900000	6.165505	11.060026	29.410521	38.328463	10.632986	6.165505	1.46281461852567
chr1	14000001	1.5e+07	6.898006	13.666525	31.094519	34.420461	9.454988	6.898006	1.45857614376275
chr1	14100001	15100000	7.824511	15.757014	32.068511	31.550481	8.255483	7.824511	1.49256450855627
chr1	14200001	15200000	9.79702	17.382521	32.414501	29.096469	6.696485	9.79702	1.50583689275058
chr1	14300001	15300000	11.228505	19.426525	33.329014	26.204469	5.323489	11.228505	1.51878495536689
chr1	14400001	15400000	12.205509	21.82502	34.711515	22.530964	4.425495	12.205509	1.52676963451385
chr1	14500001	15500000	13.07001	24.375527	35.614004	18.666461	4.030998	13.07001	1.53131478971252
chr1	14600001	15600000	14.243513	27.064529	35.433487	15.101471	3.794497	14.243513	1.53511403538358
chr1	14700001	15700000	15.802515	30.408032	32.713966	13.118491	3.656996	15.802515	1.54834189827765
chr1	14800001	15800000	17.998525	32.596012	29.057974	12.363992	3.374	17.998525	1.5628026103979
chr1	14900001	15900000	21.567535	33.439505	26.129469	11.109489	3.331497	21.567535	1.57124913203778
chr1	15000001	1.6e+07	26.617054	32.94999	22.788469	10.043491	3.146499	26.617054	1.61994434324242
chr1	15100001	16100000	32.689056	32.027497	19.914974	8.062972	2.834495	32.689056	1.62985206140479
chr1	15200001	16200000	37.782551	31.583497	17.463974	5.945982	2.513998	37.782551	1.62592792169675
chr1	15300001	16300000	42.327547	31.653501	14.583465	4.107986	2.459499	42.327547	1.61805528962385
chr1	15400001	16400000	46.646537	31.910008	11.165964	2.956992	2.202497	46.646537	1.65189763169098
chr1	15500001	16500000	50.717543	31.937497	7.921962	2.265497	2.067998	50.717543	1.67689715143498
chr1	15600001	16600000	54.837529	31.170497	4.797974	2.036497	2.049501	54.837529	1.69721984946526
chr1	15700001	16700000	57.531028	29.840481	3.041988	1.852996	2.370505	57.531028	1.69271735980544
chr1	15800001	16800000	58.966495	28.999499	2.588503	1.633	2.459499	58.966495	1.71988237013008
chr1	15900001	16900000	57.865982	29.456014	3.052505	1.645998	2.493002	57.865982	1.72907954675922
chr1	16000001	1.7e+07	54.835457	31.98503	3.580008	1.492996	2.585501	54.835457	1.71842429399506
chr1	16100001	17100000	49.914944	35.23904	4.788515	1.394002	2.779002	49.914944	1.72399893194701
chr1	16200001	17200000	44.439956	39.62504	5.397	1.397499	2.980002	44.439956	1.73698346303972
chr1	16300001	17300000	41.328479	42.438016	5.701507	1.293499	3.114499	41.328479	1.78448370230579
chr1	16400001	17400000	38.856471	44.372016	6.261513	1.293501	3.222501	38.856471	1.7768250977169
chr1	16500001	17500000	35.098451	45.570511	8.634537	1.473002	3.138501	35.098451	1.79308944707641
chr1	16600001	17600000	30.202962	45.706481	12.979547	2.024012	3.153499	30.202962	1.83730361557797
chr1	16700001	17700000	26.434962	44.168988	17.83705	2.997511	2.924994	26.434962	1.89994942716536
chr1	16800001	17800000	22.759469	42.547978	22.448539	3.909511	2.871	22.759469	1.90643489872246
chr1	16900001	17900000	19.827475	40.031966	26.295042	5.459022	2.943501	19.827475	1.93056597134121
chr1	17000001	1.8e+07	17.237984	35.847954	29.836525	8.638539	3.128503	17.237984	1.91731536994243
chr1	17100001	18100000	15.160984	31.456447	31.032505	13.286545	4.135519	15.160984	1.91644684534051
chr1	17200001	18200000	13.69098	25.888443	31.748012	18.267046	5.878519	13.69098	1.91901294061165
chr1	17300001	18300000	10.899467	20.870457	32.132499	22.675543	8.501028	10.899467	1.92517210173064
chr1	17400001	18400000	8.308986	16.099451	32.205491	27.158044	11.050527	8.308986	1.90670040846826
chr1	17500001	18500000	7.401495	11.798463	30.304966	31.584054	13.679521	7.401495	1.88141975500809
chr1	17600001	18600000	6.915994	8.952481	26.777461	35.745535	16.163527	6.915994	1.88713140780656
chr1	17700001	18700000	6.305497	6.902481	22.802459	39.397032	18.841527	6.305497	1.88924756171549
chr1	17800001	18800000	5.716	4.851481	19.033972	43.667539	20.759513	5.716	1.90518820263795
chr1	17900001	18900000	5.331495	3.17699	16.564978	47.050525	21.894008	5.331495	1.91203811206608
chr1	18000001	1.9e+07	5.302002	3.121006	15.179495	47.993996	22.199499	5.302002	1.92898148010456
chr1	18100001	19100000	6.194509	4.111519	16.026517	45.969974	21.260481	6.194509	1.93665323230478
chr1	18200001	19200000	6.844006	6.258523	18.537525	42.413467	19.633481	6.844006	1.93903595686898
chr1	18300001	19300000	7.869511	9.206537	21.347024	38.435461	17.057473	7.869511	1.93879825168703
chr1	18400001	19400000	9.098018	13.393537	23.099517	34.131956	14.496473	9.098018	1.97234965212218
chr1	18500001	19500000	10.905517	16.925539	24.86602	29.716447	12.016481	10.905517	2
chr1	18600001	19600000	13.789539	19.26601	26.375519	25.711461	9.476471	13.789539	1.99441475225032
chr1	18700001	19700000	17.285529	21.288028	27.737008	21.669461	6.706976	17.285529	1.98587844200527
chr1	18800001	19800000	19.595509	25.593559	28.237996	16.64395	4.773986	19.595509	1.94253943844836
chr1	18900001	19900000	20.655521	31.527553	27.695489	11.706453	3.522489	20.655521	1.89058481182513
chr1	19000001	2e+07	22.49001	35.327539	26.71099	7.743467	2.950497	22.49001	1.86355082125821
chr1	19100001	20100000	22.860497	38.053014	26.313505	5.347984	2.766501	22.860497	1.83651919502939
chr1	19200001	20200000	22.662491	38.896503	26.740507	4.432495	2.616	22.662491	1.80199837779269
chr1	19300001	20300000	21.969493	38.293982	27.749515	5.002509	2.525501	21.969493	1.77847752147737
chr1	19400001	20400000	20.970986	35.757976	29.65902	6.536022	2.590499	20.970986	1.76648335623572
chr1	19500001	20500000	19.890994	33.387972	31.174008	8.514022	2.538499	19.890994	1.77008053393629
chr1	19600001	20600000	17.611469	32.168	32.33401	10.41902	2.690002	17.611469	1.76704515523055
chr1	19700001	20700000	14.733968	31.16898	33.884028	12.832022	2.732501	14.733968	1.7722063010174
chr1	19800001	20800000	12.950994	28.33896	36.462028	14.593515	3.036002	12.950994	1.79144314655466
chr1	19900001	20900000	12.464992	24.884475	39.407026	15.331002	3.035501	12.464992	1.82434757602021
chr1	20000001	2.1e+07	11.742	24.297491	40.653006	15.434501	3.211002	11.742	1.8477476293363
chr1	20100001	21100000	12.427517	24.512503	39.808982	15.335996	3.217497	12.427517	1.85374971918697
chr1	20200001	21200000	14.122511	24.880511	37.787986	15.177495	3.267	14.122511	1.8238455923594
chr1	20300001	21300000	14.680998	26.118527	36.387485	14.53499	3.212998	14.680998	1.82258300483514
chr1	20400001	21400000	15.321505	29.273541	34.441475	12.913479	3.046499	15.321505	1.77078131994631
chr1	20500001	21500000	16.07202	32.955533	32.394475	10.700974	3.036499	16.07202	1.74449562023899
chr1	20600001	21600000	17.865513	36.551036	29.619976	8.082473	3.014002	17.865513	1.74903857916708
chr1	20700001	21700000	20.142026	39.964036	26.914964	5.248477	3.045	20.142026	1.72688417733409
chr1	20800001	21800000	22.071509	43.238036	23.56297	3.543485	2.802497	22.071509	1.69959132880421
chr1	20900001	21900000	24.344529	45.599511	19.934461	2.811	2.688002	24.344529	1.70349035490865
chr1	21000001	2.2e+07	27.675036	45.12399	17.010976	2.73	2.633499	27.675036	1.73412009602368
chr1	21100001	22100000	31.743547	43.100978	15.058978	2.691499	2.692	31.743547	1.73148682876759
chr1	21200001	22200000	36.45306	40.925972	12.89797	2.391998	2.521	36.45306	1.78410565550191
chr1	21300001	22300000	42.858072	38.260964	9.655968	2.162497	2.526	42.858072	1.79209967919748
chr1	21400001	22400000	48.960058	34.989463	7.103481	2.056998	2.453499	48.960058	1.84714339388379
chr1	21500001	22500000	52.683507	33.111002	5.387996	2.109	2.258499	52.683507	1.86527865957259
chr1	21600001	22600000	52.062984	33.942018	5.506499	2.229501	2.115998	52.062984	1.88736591137071
chr1	21700001	22700000	49.807473	34.562996	7.110028	2.169499	2.123	49.807473	1.89112301240934
chr1	21800001	22800000	47.75499	32.648968	10.930537	2.477509	2.091002	47.75499	1.90051635637363
chr1	21900001	22900000	45.46897	29.344469	15.126048	3.35801	2.359497	45.46897	1.92937161547776
chr1	22000001	2.3e+07	41.53495	27.126984	19.60805	4.795509	2.386002	41.53495	1.90134988109099
chr1	22100001	23100000	35.709433	26.352002	24.476547	6.060014	2.673503	35.709433	1.93116741745607
chr1	22200001	23200000	28.845431	27.669022	28.965541	6.932004	2.754501	28.845431	1.92584211816664
chr1	22300001	23300000	22.51595	30.72004	31.791014	7.142998	2.813	22.51595	1.94221591076557
chr1	22400001	23400000	17.217946	34.622036	33.100014	7.095501	2.789501	17.217946	1.8924363759662
chr1	22500001	23500000	14.032998	36.470992	34.025006	7.093	2.930501	14.032998	1.87363035473185
chr1	22600001	23600000	15.782038	35.319473	33.54399	6.983	2.872499	15.782038	1.8324108445282
chr1	22700001	23700000	19.607545	33.850491	31.027465	7.081002	2.813998	19.607545	1.82453545596372
chr1	22800001	23800000	23.984541	34.35201	26.571455	6.727491	2.738998	23.984541	1.81766910319696
chr1	22900001	23900000	27.485527	36.682533	21.870954	5.922489	2.556	27.485527	1.79100439689441
chr1	23000001	2.4e+07	30.630042	39.518521	17.552453	4.494489	2.416497	30.630042	1.77759847473164
chr1	23100001	24100000	34.574549	41.770511	13.017455	3.184988	2.076	34.574549	1.79209205031149
chr1	23200001	24200000	38.730523	42.488012	8.990467	2.422497	2.081497	38.730523	1.78912952379662
chr1	23300001	24300000	40.844507	43.076493	6.793998	2.248501	1.903	40.844507	1.78520058647286
chr1	23400001	24400000	41.046493	42.054493	7.515517	2.271	2.104501	41.046493	1.82000740515328
chr1	23500001	24500000	39.361465	40.717489	10.378537	2.496008	2.1	39.361465	1.85020336005095
chr1	23600001	24600000	36.133459	38.318978	14.667056	3.439004	2.327503	36.133459	1.86106611385572
chr1	23700001	24700000	32.277455	36.574992	19.679549	4.060004	2.417	32.277455	1.88492812508212
chr1	23800001	24800000	27.951958	36.074006	24.006531	4.551505	2.468503	27.951958	1.85175456684592
chr1	23900001	24900000	24.445974	36.193505	27.024022	4.712499	2.721501	24.445974	1.85257514854593
chr1	24000001	2.5e+07	22.265487	36.672	28.645006	4.762004	2.696002	22.265487	1.85130155697916
chr1	24100001	25100000	21.062467	37.428527	29.017012	4.822998	2.713996	21.062467	1.81383506880683
chr1	24200001	25200000	17.693974	39.306006	30.782525	4.84	2.568002	17.693974	1.79836548747078
chr1	24300001	25300000	14.980976	39.003	33.420519	4.943503	2.781002	14.980976	1.8191192163377
chr1	24400001	25400000	13.652008	39.356	33.946487	5.209002	2.846501	13.652008	1.80369477413737
chr1	24500001	25500000	15.484042	40.095006	31.277457	5.141493	2.868	15.484042	1.79230736985965
chr1	24600001	25600000	20.69907	40.258495	27.122944	4.157994	2.750499	20.69907	1.8057803903649
chr1	24700001	25700000	26.669056	39.889497	22.356457	3.416994	2.642499	26.669056	1.79120416224677
chr1	24800001	25800000	32.612058	38.718483	18.274968	2.832495	2.588497	32.612058	1.81966468511549
chr1	24900001	25900000	37.529533	37.468489	15.145976	2.573	2.342499	37.529533	1.81479730967203
chr1	25000001	2.6e+07	38.307986	38.226529	13.813994	2.514996	2.279998	38.307986	1.83531051164786
chr1	25100001	26100000	37.962018	38.976481	13.512489	2.552004	2.388505	37.962018	1.86350744278995
chr1	25200001	26200000	42.110561	36.73497	11.396469	2.541	2.532499	42.110561	1.84466673474341
chr1	25300001	26300000	47.826056	34.394475	8.27197	2.312497	2.414499	47.826056	1.82996387066698
chr1	25400001	26400000	53.519551	31.61097	5.739483	1.946996	2.252998	53.519551	1.87662907037857
chr1	25500001	26500000	57.655517	29.067489	4.623497	1.787	2.211501	57.655517	1.86786177431765
chr1	25600001	26600000	57.75498	29.543016	4.093499	1.86	2.138499	57.75498	1.87862679845427
chr1	25700001	26700000	57.045501	30.453501	3.620491	1.826	2.161501	57.045501	1.85659138411746
chr1	25800001	26800000	56.211998	31.056996	3.234499	1.993501	2.151002	56.211998	1.85913719066358
chr1	25900001	26900000	57.237525	29.999978	3.039996	2.038501	2.383503	57.237525	1.87283540662108
chr1	26000001	2.7e+07	61.248543	26.775457	2.323994	1.919002	2.446503	61.248543	1.85834525370925
chr1	26100001	27100000	64.920026	23.436483	2.015499	1.925497	2.329996	64.920026	1.82253886148349
chr1	26200001	27200000	66.410006	22.080992	1.931998	1.839	2.304	66.410006	1.83145300692925
chr1	26300001	27300000	66.814495	21.680505	1.845	1.939002	2.216499	66.814495	1.85478520497344
chr1	26400001	27400000	65.267463	23.116028	1.964505	2.003501	2.196002	65.267463	1.83637933739263
chr1	26500001	27500000	61.575465	26.261533	2.283002	2.016	2.360499	61.575465	1.83360398643022
chr1	26600001	27600000	59.355489	28.232012	2.374501	1.973	2.584503	59.355489	1.8095700212977
chr1	26700001	27700000	59.006004	28.409495	2.452501	2.017	2.653501	59.006004	1.85030025744
chr1	26800001	27800000	60.041511	27.471491	2.446499	1.872499	2.823499	60.041511	1.84357698888589
chr1	26900001	27900000	61.005998	26.458998	2.483002	1.889501	2.595	61.005998	1.83239589694916
chr1	27000001	2.8e+07	60.387485	26.784517	2.718503	1.929499	2.733998	60.387485	1.83761497451182
chr1	27100001	28100000	58.17799	28.73001	2.662497	2.090002	2.821002	58.17799	1.84840338529325
chr1	27200001	28200000	56.896491	29.887507	2.753002	2.151002	2.902499	56.896491	1.85590290288035
chr1	27300001	28300000	55.662491	31.06901	2.875	2.144499	2.985501	55.662491	1.81960143642599
chr1	27400001	28400000	54.942008	31.914501	2.965998	2.127499	3.088998	54.942008	1.80521676084915
chr1	27500001	28500000	56.98403	30.510968	2.651998	2.108503	2.825	56.98403	1.78237561884691
chr1	27600001	28600000	59.877034	27.735473	2.566996	2.161	2.709497	59.877034	1.77906810189775
chr1	27700001	28700000	61.70701	26.176493	2.772	2.061	2.649501	61.70701	1.74410657700888
chr1	27800001	28800000	62.229489	26.05801	2.820002	2.114002	2.493	62.229489	1.74383930106744
chr1	27900001	28900000	61.908511	26.350994	2.881998	2.092998	2.563	61.908511	1.72070943307983
chr1	28000001	2.9e+07	63.216032	25.049972	2.893499	2.09	2.499499	63.216032	1.7413095288459
chr1	28100001	29100000	66.33701	22.661994	2.787501	1.774996	2.417499	66.33701	1.74773882539546
