chrom	layer	perc
chr19	5	0
chr19	6	0
chr19	7	0
chr19	8	0.574241181296145
chr19	9	6.29750271444083
chr19	10	33.3832335329341
chr2	1	20.8855472013367
chr2	2	8.76340821696013
chr2	3	8.95522388059701
chr2	4	8.58398889403054
chr2	5	10.7572310692233
chr2	6	10.3448275862069
chr2	7	8.45741512805241
chr2	8	2.37899917965546
chr2	9	0.1085776330076
chr2	10	0
chr20	1	0
chr20	2	0
chr20	3	0
chr20	4	1.45765849143915
chr20	5	2.40493987650309
chr20	6	4.92610837438424
chr20	7	5.95592614651578
chr20	8	7.30106644790812
chr20	9	7.70901194353963
chr20	10	2.47005988023952
chr21	1	0
chr21	2	0
chr21	3	0
chr21	4	0.717260527533549
chr21	5	2.72993175170621
chr21	6	2.85714285714286
chr21	7	5.47945205479452
chr21	8	0.656275635767022
chr21	9	2.38870792616721
chr21	10	2.54491017964072
chr22:9	1	0
chr22:9	2	0
chr22:9	3	0
chr22:9	4	0
chr22:9	5	0
chr22:9	6	0
chr22:9	7	0
chr22:9	8	0
chr22:9	9	0
chr22:9	10	8.30838323353293
chr3	1	16.2907268170426
chr3	2	9.47176684881603
chr3	3	7.53375977256574
chr3	4	6.27024525682554
chr3	5	6.30484237894053
chr3	6	5.02463054187192
chr3	7	6.19416319237642
chr3	8	4.51189499589828
chr3	9	3.58306188925081
chr3	10	1.79640718562874
chr4	1	25.1461988304094
chr4	2	13.7826350941105
chr4	3	8.70646766169154
chr4	4	4.4423877834336
chr4	5	1.98245043873903
chr4	6	1.13300492610837
chr4	7	1.48898153662895
chr4	8	2.2149302707137
chr4	9	2.17155266015201
chr4	10	0.0748502994011976
chr5	1	4.92898913951546
chr5	2	8.15624367536936
chr5	3	10.4299928926795
chr5	4	7.08005552984729
chr5	5	5.88235294117647
chr5	6	3.39901477832512
chr5	7	2.08457415128052
chr5	8	0.656275635767022
chr5	9	0.1085776330076
chr5	10	0
chr6	1	4.01002506265664
chr6	2	11.6980368346489
chr6	3	6.46766169154229
chr6	4	5.78435909301249
chr6	5	4.90737731556711
chr6	6	2.51231527093596
chr6	7	2.08457415128052
chr6	8	3.85561936013126
chr6	9	4.01737242128122
chr6	10	0.748502994011976
chr7	1	7.43525480367586
chr7	2	7.34669095324833
chr7	3	4.56645344705046
chr7	4	6.24710782045349
chr7	5	6.2398440038999
chr7	6	6.05911330049261
chr7	7	3.93091125670042
chr7	8	4.26579163248564
chr7	9	2.82301845819761
chr7	10	0.973053892215569
chr8	1	7.35171261487051
chr8	2	6.61809350333941
chr8	3	6.14783226723525
chr8	4	6.91809347524294
chr8	5	4.35489112772181
chr8	6	3.2512315270936
chr8	7	0.714711137581894
chr8	8	0.656275635767022
chr8	9	2.38870792616721
chr8	10	0.0748502994011976
chr9:22	1	0.167084377610693
chr9:22	2	3.66322606759765
chr9:22	3	7.05401563610519
chr9:22	4	3.3317908375752
chr9:22	5	2.89242768930777
chr9:22	6	3.15270935960591
chr9:22	7	6.31328171530673
chr9:22	8	9.35192780968007
chr9:22	9	7.16612377850163
chr9:22	10	3.74251497005988
chrX	1	0.0835421888053467
chrX	2	6.25379477838494
chrX	3	9.00852878464819
chrX	4	6.84868116612679
chrX	5	5.00487487812805
chrX	6	3.20197044334975
chrX	7	3.45443716497915
chrX	8	0.164068908941756
chrX	9	0
chrX	10	0
