phase	subcomp	chrom	start	end	gpseq_score
G1	A1	chr19	700001	800000	2.19095400070379
G1	A1	chr19	800001	900000	2.27102019304541
G1	A1	chr19	900001	1000000	2.00373371017856
G1	A1	chr19	1000001	1100000	1.89504418829113
G1	A1	chr19	1100001	1200000	2.43004513391401
G1	A1	chr19	1200001	1300000	2.17751218632821
G1	A1	chr19	1300001	1400000	2.28756033640729
G1	A1	chr19	1400001	1500000	1.75782388841293
G1	A1	chr19	1500001	1600000	2.23333167536416
G1	A1	chr19	1800001	1900000	2.19438646151707
G1	A1	chr19	1900001	2000000	2.5135683835756
G1	A1	chr19	2000001	2100000	2.10809699270251
G1	A1	chr19	2100001	2200000	2.46821420628146
G1	A1	chr19	2200001	2300000	2.24466019799711
G1	A1	chr19	3000001	3100000	1.97868988364444
G1	A1	chr19	3500001	3600000	2.33987096021225
G1	A1	chr19	10300001	10400000	1.89767515958763
G1	A1	chr19	10400001	10500000	2.25015622891157
G1	A1	chr19	10500001	10600000	2.1253375157064
G1	A1	chr19	11000001	11100000	2.11770689866043
G1	A1	chr19	11100001	11200000	2.2117246533359
G1	A1	chr19	11200001	11300000	2.10554399018285
G1	A1	chr19	12800001	12900000	1.90256776944254
G1	A1	chr19	12900001	13000000	2.12461980284246
G1	A1	chr19	13000001	13100000	2.22825183862028
G1	A1	chr19	14500001	14600000	2.19472328318126
G1	A1	chr19	18300001	18400000	1.95623294357742
G1	A1	chr19	18400001	18500000	2.40732058515012
G1	A1	chr19	18500001	18600000	2.07709592871747
G1	A1	chr19	18600001	18700000	2.09933598978885
G1	A1	chr19	18700001	18800000	1.78895352196057
G1	A1	chr19	39300001	39400000	2.79848884125352
G1	A1	chr19	40900001	41000000	1.84354209847659
G1	A1	chr19	45900001	46000000	1.8359351687393
G1	A1	chr19	46100001	46200000	1.88756070264273
G1	A1	chr19	46200001	46300000	1.99577343564152
G1	A1	chr19	46300001	46400000	3.14133281220987
G1	A1	chr19	47500001	47600000	2.22790611740405
G1	A1	chr19	47600001	47700000	1.85545004846758
G1	A1	chr19	47700001	47800000	1.87978010000968
G1	A1	chr19	49300001	49400000	2.03548264304441
G1	A1	chr19	49400001	49500000	2.07208863963151
G1	A1	chr19	49500001	49600000	2.12030073123692
G1	A1	chr19	50200001	50300000	2.08610368334518
G1	A1	chr2	70200001	70300000	1.59116922887447
G1	A1	chr2	70300001	70400000	1.44155247242603
G1	A1	chr20	300001	400000	1.69404711331527
G1	A1	chr20	46000001	46100000	1.83703501705276
G1	A1	chr20	49300001	49400000	1.62513548020083
G1	A1	chr21	45200001	45300000	1.98817121058199
G1	A1	chr3	48900001	49000000	2.02544737597717
G1	A1	chr3	49500001	49600000	1.76993478975833
G1	A1	chr3	50300001	50400000	1.80190476401069
G1	A1	chr3	195800001	195900000	1.5135854638631
G1	A1	chr4	1800001	1900000	1.63039099101685
G1	A1	chr5	176800001	176900000	1.69629893116335
G1	A1	chr6	31600001	31700000	1.9339795034752
G1	A1	chr6	31700001	31800000	1.74241218569691
G1	A1	chr6	31800001	31900000	1.87998331737804
G1	A1	chr7	5500001	5600000	1.73566720262137
G1	A1	chr7	5600001	5700000	1.63928692997832
G1	A1	chr8	37900001	38000000	1.48139762573961
G1	A1	chr8	38000001	38100000	1.36856386113024
G1	A1	chr8	145500001	145600000	1.73876704310154
G1	A1	chr8	145600001	145700000	1.90567668703412
G1	B2	chr1	111300001	111400000	1.4751185025954
G1	B2	chr1	118100001	118200000	1.65327943648192
G1	B2	chr1	118200001	118300000	1.50494217245636
G1	B2	chr1	157200001	157300000	1.4400756279926
G1	B2	chr10	3000001	3100000	1.40814651529618
G1	B2	chr10	3800001	3900000	1.36833765687559
G1	B2	chr10	4700001	4800000	1.38329270096159
G1	B2	chr10	4800001	4900000	1.28615417375874
G1	B2	chr10	4900001	5000000	1.31777016264827
G1	B2	chr10	5000001	5100000	1.28687817659005
G1	B2	chr10	5500001	5600000	1.46358836535199
G1	B2	chr10	23400001	23500000	1.39969470679665
G1	B2	chr10	32000001	32100000	1.53130756148107
G1	B2	chr10	33100001	33200000	1.38810155118781
G1	B2	chr10	49600001	49700000	1.39935322767091
G1	B2	chr10	49700001	49800000	1.45370691525268
G1	B2	chr10	49800001	49900000	1.45989903756677
G1	B2	chr10	50300001	50400000	1.41895690446016
G1	B2	chr10	50400001	50500000	1.45419107389911
G1	B2	chr10	50500001	50600000	1.50418160333683
G1	B2	chr10	52200001	52300000	1.36465181947354
G1	B2	chr10	52400001	52500000	1.59232172373405
G1	B2	chr10	52500001	52600000	1.19734361588483
G1	B2	chr10	96900001	97000000	1.4462580227574
G1	B2	chr10	97100001	97200000	1.40680153807979
G1	B2	chr11	59100001	59200000	1.40140229170917
G1	B2	chr12	16700001	16800000	1.39530038084874
G1	B2	chr12	17700001	17800000	1.23124160701502
G1	B2	chr12	22100001	22200000	1.64401186348264
G1	B2	chr12	46800001	46900000	1.35101747864067
G1	B2	chr12	47500001	47600000	1.47274439590807
G1	B2	chr12	47700001	47800000	1.34844039764084
G1	B2	chr13	20100001	20200000	1.54692447431741
G1	B2	chr14	20500001	20600000	1.54992675963681
G1	B2	chr14	20600001	20700000	1.61282620591953
G1	B2	chr14	24900001	25000000	1.61391264189552
G1	B2	chr14	25000001	25100000	1.6389488169694
G1	B2	chr14	26800001	26900000	1.45435013104845
G1	B2	chr14	29200001	29300000	1.40350372487114
G1	B2	chr14	29800001	29900000	1.40427770222583
G1	B2	chr14	34000001	34100000	1.59570038278426
G1	B2	chr14	34100001	34200000	1.6010102221313
G1	B2	chr14	34200001	34300000	1.45243524477645
G1	B2	chr14	37100001	37200000	1.52408408358341
G1	B2	chr14	37400001	37500000	1.34868022887358
G1	B2	chr14	37500001	37600000	1.50432299300457
G1	B2	chr14	39400001	39500000	1.36942082436779
G1	B2	chr14	42500001	42600000	1.46879540569654
G1	B2	chr14	43700001	43800000	1.45373928403833
G1	B2	chr14	49500001	49600000	1.38850111544562
G1	B2	chr14	49900001	50000000	1.4101806043826
G1	B2	chr15	55400001	55500000	1.47062500703713
G1	B2	chr15	88200001	88300000	1.50893248732242
G1	B2	chr16	9300001	9400000	1.65635978651265
G1	B2	chr16	10200001	10300000	1.67912951772914
G1	B2	chr16	12600001	12700000	1.87530612236792
G1	B2	chr16	12700001	12800000	1.80431023415154
G1	B2	chr16	12800001	12900000	1.73826965752683
G1	B2	chr16	16800001	16900000	1.64175083044716
G1	B2	chr16	17000001	17100000	1.86882029683438
G1	B2	chr16	79800001	79900000	1.45346603488482
G1	B2	chr17	13300001	13400000	1.62022506170737
G1	B2	chr17	14200001	14300000	1.79583075569047
G1	B2	chr17	14300001	14400000	1.6945310296205
G1	B2	chr17	32100001	32200000	1.80863122329397
G1	B2	chr17	32200001	32300000	1.81938708723071
G1	B2	chr17	67000001	67100000	1.52511952499527
G1	B2	chr17	67700001	67800000	1.49908305927306
G1	B2	chr17	67800001	67900000	1.46825732044359
G1	B2	chr17	67900001	68000000	1.49911044817923
G1	B2	chr17	68000001	68100000	1.40335553732371
G1	B2	chr18	10000001	10100000	1.56009633680739
G1	B2	chr18	48600001	48700000	1.30026408509183
G1	B2	chr18	75700001	75800000	1.35575270823395
G1	B2	chr2	102600001	102700000	1.43588263334288
G1	B2	chr2	103800001	103900000	1.48204095883046
G1	B2	chr2	127300001	127400000	1.4629825622301
G1	B2	chr2	132300001	132400000	1.63989846754821
G1	B2	chr2	132400001	132500000	1.41032828104999
G1	B2	chr2	162100001	162200000	1.13680281585765
G1	B2	chr20	6100001	6200000	1.37044423515387
G1	B2	chr20	13100001	13200000	1.40775127232477
G1	B2	chr20	15300001	15400000	1.51417653201701
G1	B2	chr20	17400001	17500000	1.48497172063339
G1	B2	chr20	22900001	23000000	1.71901284278232
G1	B2	chr20	23000001	23100000	1.63945728713737
G1	B2	chr20	23100001	23200000	1.68455092825193
G1	B2	chr20	23200001	23300000	1.62937429603419
G1	B2	chr20	37700001	37800000	1.58790317876333
G1	B2	chr20	39400001	39500000	1.57159736649431
G1	B2	chr20	39500001	39600000	1.42009027032906
G1	B2	chr20	40400001	40500000	1.58689927947456
G1	B2	chr20	51300001	51400000	1.49775344802764
G1	B2	chr20	54800001	54900000	1.40238347665452
G1	B2	chr21	15700001	15800000	1.60506133904923
G1	B2	chr21	15800001	15900000	1.56531303432306
G1	B2	chr21	15900001	16000000	1.47980958169942
G1	B2	chr21	16000001	16100000	1.52281340481338
G1	B2	chr21	16100001	16200000	1.46274956043002
G1	B2	chr21	16200001	16300000	1.51946141015094
G1	B2	chr21	21600001	21700000	1.46448806637236
G1	B2	chr21	30200001	30300000	1.43017092633451
G1	B2	chr21	30500001	30600000	1.49571713946861
G1	B2	chr21	30900001	31000000	1.64545079076447
G1	B2	chr21	31000001	31100000	1.45816368138706
G1	B2	chr21	31100001	31200000	1.58715433176982
G1	B2	chr21	36200001	36300000	1.55768456025306
G1	B2	chr21	36300001	36400000	1.69035961102747
G1	B2	chr21	36400001	36500000	1.65856888809263
G1	B2	chr21	38900001	39000000	1.79428104453582
G1	B2	chr21	40800001	40900000	1.43481181154653
G1	B2	chr21	40900001	41000000	1.61368109060667
G1	B2	chr4	10000001	10100000	1.43147407550479
G1	B2	chr4	10100001	10200000	1.48041426208155
G1	B2	chr4	10200001	10300000	1.45818729116899
G1	B2	chr4	10300001	10400000	1.33676043999253
G1	B2	chr4	38300001	38400000	1.40787948171681
G1	B2	chr5	10100001	10200000	1.32973367170876
G1	B2	chr5	40600001	40700000	1.32806837260811
G1	B2	chr6	47300001	47400000	1.25407137185688
G1	B2	chr6	49600001	49700000	1.23811733259307
G1	B2	chr6	52000001	52100000	1.43536222486767
G1	B2	chr7	43000001	43100000	1.42507950881497
G1	B2	chr7	45200001	45300000	1.56939122518362
G1	B2	chr7	50200001	50300000	1.34551342445028
G1	B2	chr8	11900001	12000000	1.36814519087861
G1	B2	chr8	23400001	23500000	1.35780884797731
G1	B2	chr8	23500001	23600000	1.45336933872758
G1	B2	chr8	37400001	37500000	1.48209030497064
G1	B2	chr8	56500001	56600000	1.29806641842297
G1	A2	chr1	12100001	12200000	1.76931261768489
G1	A2	chr1	12200001	12300000	1.68016339871283
G1	A2	chr1	12300001	12400000	1.52841460464793
G1	A2	chr1	12400001	12500000	1.55417507681036
G1	A2	chr1	12500001	12600000	1.59042658341518
G1	A2	chr1	12600001	12700000	1.65799820119136
G1	A2	chr1	16300001	16400000	1.86767750203992
G1	A2	chr1	21900001	22000000	2.07058821707034
G1	A2	chr1	22400001	22500000	1.81879562870114
G1	A2	chr1	29500001	29600000	1.64914868738201
G1	A2	chr1	31200001	31300000	1.89421358939613
G1	A2	chr1	31300001	31400000	1.7723647427944
G1	A2	chr1	32200001	32300000	1.91959312674436
G1	A2	chr1	38400001	38500000	1.54142815906672
G1	A2	chr1	38500001	38600000	1.72555059889894
G1	A2	chr1	44400001	44500000	1.78728787528724
G1	A2	chr1	45100001	45200000	1.78567796790676
G1	A2	chr1	46000001	46100000	1.64221095014219
G1	A2	chr1	46600001	46700000	1.63511749043709
G1	A2	chr1	46800001	46900000	1.61571319171603
G1	A2	chr1	46900001	47000000	1.51944663538962
G1	A2	chr1	47000001	47100000	1.5835522255329
G1	A2	chr1	47500001	47600000	1.45796201208317
G1	A2	chr1	47600001	47700000	1.47575796312656
G1	A2	chr1	47700001	47800000	1.36734729982538
G1	A2	chr1	47800001	47900000	1.39194575604604
G1	A2	chr1	52000001	52100000	1.48349731424317
G1	A2	chr1	65600001	65700000	1.29762387642151
G1	A2	chr1	65700001	65800000	1.35376635545248
G1	A2	chr1	65900001	66000000	1.31502568318776
G1	A2	chr1	68100001	68200000	1.3664918753318
G1	A2	chr1	90300001	90400000	1.51828871297618
G1	A2	chr1	90400001	90500000	1.25175014621864
G1	A2	chr1	93400001	93500000	1.41125223472551
G1	A2	chr1	95500001	95600000	1.39889448850012
G1	A2	chr1	100600001	100700000	1.44877382725176
G1	A2	chr1	100700001	100800000	1.36831160702552
G1	A2	chr1	100800001	100900000	1.35515122129415
G1	A2	chr1	109500001	109600000	1.44864670738511
G1	A2	chr1	109600001	109700000	1.41941419930131
G1	A2	chr1	109700001	109800000	1.45655791506115
G1	A2	chr1	109800001	109900000	1.70970672099461
G1	A2	chr1	109900001	110000000	1.61972554601282
G1	A2	chr1	153700001	153800000	1.84436735231136
G1	A2	chr1	154900001	155000000	1.6911845964387
G1	A2	chr1	156600001	156700000	1.57837551172907
G1	A2	chr1	156700001	156800000	1.69302047325752
G1	A2	chr1	156800001	156900000	1.75494156154894
G1	A2	chr1	161000001	161100000	1.42330490091729
G1	A2	chr1	161100001	161200000	1.44753337347051
G1	A2	chr1	161200001	161300000	1.56301288300522
G1	A2	chr1	161300001	161400000	1.50434835840428
G1	A2	chr1	161400001	161500000	1.64796302659041
G1	A2	chr1	161500001	161600000	1.70891886521362
G1	A2	chr1	161600001	161700000	1.52114781643279
G1	A2	chr1	167600001	167700000	1.32274820224536
G1	A2	chr1	167700001	167800000	1.36046532354061
G1	A2	chr1	167800001	167900000	1.46901742855455
G1	A2	chr1	180500001	180600000	1.40559720790163
G1	A2	chr1	182200001	182300000	1.42988155844371
G1	A2	chr1	182300001	182400000	1.31492823179023
G1	A2	chr1	206700001	206800000	1.45287139379738
G1	A2	chr1	206800001	206900000	1.40178113755635
G1	A2	chr1	212300001	212400000	1.53042874259742
G1	A2	chr1	212400001	212500000	1.39461786702809
G1	A2	chr1	224300001	224400000	1.35872546381299
G1	A2	chr1	224400001	224500000	1.46386640699249
G1	A2	chr1	226000001	226100000	1.54339282823737
G1	A2	chr1	226100001	226200000	1.42606982923246
G1	A2	chr1	227500001	227600000	1.41273749066138
G1	A2	chr10	5900001	6000000	1.58489589811981
G1	A2	chr10	11700001	11800000	1.47163442485003
G1	A2	chr10	11800001	11900000	1.55770004239138
G1	A2	chr10	72400001	72500000	1.88164085381852
G1	A2	chr10	76900001	77000000	1.38326086785908
G1	A2	chr10	79700001	79800000	1.61194799474137
G1	A2	chr10	88400001	88500000	1.54746887375787
G1	A2	chr10	88600001	88700000	1.38696031499181
G1	A2	chr10	88700001	88800000	1.62892778696428
G1	A2	chr10	88800001	88900000	1.46636074320529
G1	A2	chr10	89100001	89200000	1.67741414863007
G1	A2	chr10	89200001	89300000	1.42483760084228
G1	A2	chr10	94500001	94600000	1.50648248553968
G1	A2	chr10	94600001	94700000	1.58418261705359
G1	A2	chr10	97000001	97100000	1.36578747815948
G1	A2	chr10	97200001	97300000	1.41602257752838
G1	A2	chr10	97300001	97400000	1.39110240527741
G1	A2	chr10	98900001	99000000	1.65803869324937
G1	A2	chr10	103300001	103400000	1.71954833732101
G1	A2	chr10	105200001	105300000	1.53442646177782
G1	A2	chr10	111700001	111800000	1.21063662606697
G1	A2	chr10	112300001	112400000	1.26214551213221
G1	A2	chr10	112600001	112700000	1.22261700913626
G1	A2	chr10	119000001	119100000	1.2730011405671
G1	A2	chr10	120700001	120800000	1.46205071790881
G1	A2	chr10	120900001	121000000	1.48754981243886
G1	A2	chr10	121400001	121500000	1.39761771189563
G1	A2	chr11	3800001	3900000	1.4510429147237
G1	A2	chr11	3900001	4000000	1.46951604294975
G1	A2	chr11	6600001	6700000	1.34962622857326
G1	A2	chr11	12100001	12200000	1.63642582280064
G1	A2	chr11	12200001	12300000	1.72322721894917
G1	A2	chr11	33800001	33900000	1.54591286566476
G1	A2	chr11	33900001	34000000	1.57717710623074
G1	A2	chr11	34000001	34100000	1.47664082987489
G1	A2	chr11	45800001	45900000	1.55653662174261
G1	A2	chr11	45900001	46000000	1.8566173221888
G1	A2	chr11	46200001	46300000	1.57100162369061
G1	A2	chr11	46300001	46400000	1.72359997665175
G1	A2	chr11	46400001	46500000	1.95876338282325
G1	A2	chr11	46500001	46600000	2.94414300241753
G1	A2	chr11	57100001	57200000	1.47413889500575
G1	A2	chr11	57200001	57300000	1.36175537265317
G1	A2	chr11	57400001	57500000	1.29933053754858
G1	A2	chr11	59300001	59400000	1.3419898306814
G1	A2	chr11	60600001	60700000	1.54190649573732
G1	A2	chr11	61600001	61700000	1.90432702012029
G1	A2	chr11	62600001	62700000	1.80639348592522
G1	A2	chr11	62700001	62800000	1.88852595171029
G1	A2	chr11	65300001	65400000	2.09660453547541
G1	A2	chr11	72400001	72500000	2.08059185973548
G1	A2	chr11	72500001	72600000	1.74571710412022
G1	A2	chr11	73700001	73800000	1.66218756530686
G1	A2	chr11	74900001	75000000	1.78241921658377
G1	A2	chr11	75100001	75200000	1.91668804181707
G1	A2	chr11	75200001	75300000	1.80793942706953
G1	A2	chr11	77600001	77700000	1.71859654516794
G1	A2	chr11	77700001	77800000	1.51337779589384
G1	A2	chr11	77800001	77900000	1.4831422415565
G1	A2	chr11	77900001	78000000	1.56909315016885
G1	A2	chr11	78000001	78100000	1.39224301105567
G1	A2	chr11	85700001	85800000	1.18908598625947
G1	A2	chr11	85800001	85900000	1.42020761881186
G1	A2	chr11	85900001	86000000	1.28430142225514
G1	A2	chr11	86000001	86100000	1.30280629919471
G1	A2	chr11	96000001	96100000	1.18341357689972
G1	A2	chr11	111700001	111800000	1.23738560628756
G1	A2	chr11	111800001	111900000	1.46609495051566
G1	A2	chr11	117000001	117100000	1.5072813943196
G1	A2	chr11	125400001	125500000	1.27823098332592
G1	A2	chr12	8200001	8300000	1.54605383820011
G1	A2	chr12	48100001	48200000	1.53705223046207
G1	A2	chr12	48200001	48300000	1.47233698978988
G1	A2	chr12	53200001	53300000	1.81647008971273
G1	A2	chr12	54400001	54500000	1.59398860415521
G1	A2	chr12	54500001	54600000	1.77500404303246
G1	A2	chr12	54800001	54900000	1.53078540701414
G1	A2	chr12	54900001	55000000	1.50025013218654
G1	A2	chr12	56100001	56200000	1.57711671554947
G1	A2	chr12	57200001	57300000	1.70981416468626
G1	A2	chr12	57500001	57600000	1.81289621477068
G1	A2	chr12	57600001	57700000	1.61431943800413
G1	A2	chr12	57900001	58000000	1.69635957541154
G1	A2	chr12	58000001	58100000	1.48871983028734
G1	A2	chr12	58100001	58200000	1.58256398009527
G1	A2	chr12	93900001	94000000	1.29326425123267
G1	A2	chr12	94000001	94100000	1.34017200387771
G1	A2	chr12	94100001	94200000	1.38463631290144
G1	A2	chr12	109000001	109100000	1.52764791308196
G1	A2	chr12	113800001	113900000	1.83668019736348
G1	A2	chr12	125200001	125300000	1.86309954070402
G1	A2	chr12	125300001	125400000	1.79228301503418
G1	A2	chr12	125400001	125500000	1.47309734408626
G1	A2	chr12	125500001	125600000	1.35829113835752
G1	A2	chr14	24500001	24600000	1.6026443531533
G1	A2	chr14	24700001	24800000	1.51007731476975
G1	A2	chr14	31300001	31400000	1.43316633712924
G1	A2	chr14	35800001	35900000	1.59028373217222
G1	A2	chr14	35900001	36000000	1.48475822337117
G1	A2	chr14	50000001	50100000	1.36377849864613
G1	A2	chr14	50500001	50600000	1.64265389981684
G1	A2	chr14	69100001	69200000	1.66758430162927
G1	A2	chr14	69200001	69300000	1.55817851631128
G1	A2	chr14	70000001	70100000	1.71330155549463
G1	A2	chr14	81800001	81900000	1.30596145050626
G1	A2	chr14	81900001	82000000	1.30534808853983
G1	A2	chr14	91600001	91700000	1.702511731479
G1	A2	chr14	91700001	91800000	1.59282904973141
G1	A2	chr14	91800001	91900000	1.48155240674445
G1	A2	chr14	100500001	100600000	1.62487822157456
G1	A2	chr14	100800001	100900000	1.59118152345947
G1	A2	chr14	101000001	101100000	1.64114248919138
G1	A2	chr14	101100001	101200000	1.68733365947898
G1	A2	chr14	101200001	101300000	1.52369816041964
G1	A2	chr15	34800001	34900000	1.57440225186046
G1	A2	chr15	50500001	50600000	1.57947890047077
G1	A2	chr15	51800001	51900000	1.56253638815717
G1	A2	chr15	51900001	52000000	1.61964640406667
G1	A2	chr15	52000001	52100000	1.5289950833958
G1	A2	chr15	52100001	52200000	1.45895547555732
G1	A2	chr15	82900001	83000000	4.13368608117237
G1	A2	chr15	89600001	89700000	1.4911245597822
G1	A2	chr15	91400001	91500000	1.41691877377489
G1	A2	chr15	91500001	91600000	1.42403883098757
G1	A2	chr15	93300001	93400000	1.27579366710109
G1	A2	chr15	93400001	93500000	1.29816903669485
G1	A2	chr16	8900001	9000000	1.67554335834574
G1	A2	chr16	11200001	11300000	1.74568939934902
G1	A2	chr16	20800001	20900000	1.72142604554367
G1	A2	chr16	23700001	23800000	1.76096883748846
G1	A2	chr16	30200001	30300000	1.92090095917346
G1	A2	chr16	50300001	50400000	1.83964802884986
G1	A2	chr16	75200001	75300000	1.55556952276433
G1	A2	chr16	81400001	81500000	1.59880894990192
G1	A2	chr17	26800001	26900000	2.02375031952679
G1	A2	chr17	34000001	34100000	1.66153350071911
G1	A2	chr17	44600001	44700000	2.44799495047744
G1	A2	chr17	56400001	56500000	1.72677134117105
G1	A2	chr17	64200001	64300000	1.48324841176818
G1	A2	chr18	800001	900000	1.48044287652293
G1	A2	chr18	3600001	3700000	1.66741635514136
