chrom	start	end	HindIII
chr1	17200000	18200000	199
chr1	17300000	18300000	202
chr1	17400000	18400000	215
chr1	17500000	18500000	220
chr1	17600000	18600000	220
chr1	17700000	18700000	219
chr1	17800000	18800000	221
chr1	17900000	18900000	221
chr1	18000000	19000000	229
chr1	18100000	19100000	226
chr1	18200000	19200000	232
chr1	18300000	19300000	217
chr1	18400000	19400000	208
chr1	18500000	19500000	216
chr1	18600000	19600000	220
chr1	18700000	19700000	223
chr1	18800000	19800000	236
chr1	18900000	19900000	230
chr1	19000000	20000000	226
chr1	19100000	20100000	228
chr1	19200000	20200000	218
chr1	19300000	20300000	224
chr1	19400000	20400000	231
chr1	19500000	20500000	231
chr1	19600000	20600000	233
chr1	19700000	20700000	237
chr1	19800000	20800000	231
chr1	19900000	20900000	238
chr1	20000000	21000000	235
chr1	20100000	21100000	232
chr1	20200000	21200000	236
chr1	20300000	21300000	236
chr1	20400000	21400000	243
chr1	20500000	21500000	244
chr1	20600000	21600000	232
chr1	20700000	21700000	229
chr1	20800000	21800000	223
chr1	20900000	21900000	223
chr1	21000000	22000000	220
chr1	21100000	22100000	236
chr1	21200000	22200000	226
chr1	21300000	22300000	218
chr1	21400000	22400000	203
chr1	21500000	22500000	204
chr1	21600000	22600000	207
chr1	21700000	22700000	202
chr1	21800000	22800000	200
chr1	21900000	22900000	211
chr1	22000000	23000000	216
chr1	22100000	23100000	206
chr1	22200000	23200000	204
chr1	22300000	23300000	204
chr1	22400000	23400000	221
chr1	22500000	23500000	218
chr1	22600000	23600000	242
chr1	22700000	23700000	256
chr1	22800000	23800000	252
chr1	22900000	23900000	243
chr1	23000000	24000000	242
chr1	23100000	24100000	238
chr1	23200000	24200000	251
chr1	23300000	24300000	257
chr1	23400000	24400000	236
chr1	23500000	24500000	234
chr1	23600000	24600000	208
chr1	23700000	24700000	204
chr1	23800000	24800000	227
chr1	23900000	24900000	227
chr1	24000000	25000000	232
chr1	24100000	25100000	228
chr1	24200000	25200000	217
chr1	24300000	25300000	219
chr1	24400000	25400000	237
chr1	24500000	25500000	232
chr1	24600000	25600000	231
chr1	24700000	25700000	224
chr1	24800000	25800000	210
chr1	24900000	25900000	210
chr1	25000000	26000000	203
chr1	25100000	26100000	214
chr1	25200000	26200000	221
chr1	25300000	26300000	226
chr1	25400000	26400000	217
chr1	25500000	26500000	221
chr1	25600000	26600000	229
chr1	25700000	26700000	232
chr1	25800000	26800000	239
chr1	25900000	26900000	234
chr1	26000000	27000000	240
chr1	26100000	27100000	237
chr1	26200000	27200000	235
chr1	26300000	27300000	225
chr1	26400000	27400000	224
chr1	26500000	27500000	221
chr1	26600000	27600000	218
chr1	26700000	27700000	214
chr1	26800000	27800000	208
chr1	26900000	27900000	214
chr1	27000000	28000000	207
chr1	27100000	28100000	202
chr1	27200000	28200000	195
chr1	27300000	28300000	192
chr1	27400000	28400000	195
chr1	27500000	28500000	197
chr1	27600000	28600000	194
chr1	27700000	28700000	190
chr1	27800000	28800000	189
chr1	27900000	28900000	176
chr1	28000000	29000000	172
chr1	28100000	29100000	173
chr1	28200000	29200000	172
chr1	28300000	29300000	178
chr1	28400000	29400000	180
chr1	28500000	29500000	178
chr1	28600000	29600000	184
chr1	28700000	29700000	179
chr1	28800000	29800000	182
chr1	28900000	29900000	190
chr1	29000000	30000000	177
chr1	29100000	30100000	176
chr1	29200000	30200000	184
chr1	29300000	30300000	193
chr1	29400000	30400000	187
chr1	29500000	30500000	189
chr1	29600000	30600000	194
chr1	29700000	30700000	208
chr1	29800000	30800000	211
chr1	29900000	30900000	208
chr1	30000000	31000000	230
chr1	30100000	31100000	234
chr1	30200000	31200000	233
chr1	30300000	31300000	234
chr1	30400000	31400000	231
chr1	30500000	31500000	240
chr1	30600000	31600000	224
chr1	30700000	31700000	219
chr1	30800000	31800000	212
chr1	30900000	31900000	220
chr1	31000000	32000000	219
chr1	31100000	32100000	221
chr1	31200000	32200000	221
chr1	31300000	32300000	208
chr1	31400000	32400000	208
chr1	31500000	32500000	200
chr1	31600000	32600000	211
chr1	31700000	32700000	214
chr1	31800000	32800000	212
chr1	31900000	32900000	209
chr1	32000000	33000000	202
chr1	32100000	33100000	198
chr1	32200000	33200000	196
chr1	32300000	33300000	194
chr1	32400000	33400000	194
chr1	32500000	33500000	198
chr1	32600000	33600000	188
chr1	32700000	33700000	190
chr1	32800000	33800000	190
chr1	32900000	33900000	190
chr1	33000000	34000000	210
chr1	33100000	34100000	210
chr1	33200000	34200000	211
chr1	33300000	34300000	232
chr1	33400000	34400000	247
chr1	33500000	34500000	255
chr1	33600000	34600000	276
chr1	33700000	34700000	292
chr1	33800000	34800000	307
chr1	33900000	34900000	323
chr1	34000000	35000000	329
chr1	34100000	35100000	338
chr1	34200000	35200000	341
chr1	34300000	35300000	327
chr1	34400000	35400000	316
chr1	34500000	35500000	305
chr1	34600000	35600000	286
chr1	34700000	35700000	268
chr1	34800000	35800000	253
chr1	34900000	35900000	249
chr1	35000000	36000000	241
chr1	35100000	36100000	237
chr1	35200000	36200000	239
chr1	35300000	36300000	243
chr1	35400000	36400000	241
chr1	35500000	36500000	241
chr1	35600000	36600000	244
chr1	35700000	36700000	243
chr1	35800000	36800000	243
chr1	35900000	36900000	233
chr1	36000000	37000000	224
chr1	36100000	37100000	222
chr1	36200000	37200000	226
chr1	36300000	37300000	223
chr1	36400000	37400000	225
chr1	36500000	37500000	219
chr1	36600000	37600000	223
chr1	36700000	37700000	236
chr1	36800000	37800000	243
chr1	36900000	37900000	243
chr1	37000000	38000000	247
chr1	37100000	38100000	256
chr1	37200000	38200000	247
chr1	37300000	38300000	251
chr1	37400000	38400000	252
chr1	37500000	38500000	252
chr1	37600000	38600000	255
chr1	37700000	38700000	248
chr1	37800000	38800000	243
chr1	37900000	38900000	253
chr1	38000000	39000000	256
chr1	38100000	39100000	247
chr1	38200000	39200000	255
chr1	38300000	39300000	257
chr1	38400000	39400000	255
chr1	38500000	39500000	264
chr1	38600000	39600000	260
chr1	38700000	39700000	269
chr1	38800000	39800000	280
chr1	38900000	39900000	279
chr1	39000000	40000000	269
chr1	39100000	40100000	272
chr1	39200000	40200000	265
chr1	39300000	40300000	253
chr1	39400000	40400000	253
chr1	39500000	40500000	248
chr1	39600000	40600000	256
chr1	39700000	40700000	257
chr1	39800000	40800000	248
chr1	39900000	40900000	249
chr1	40000000	41000000	248
chr1	40100000	41100000	239
chr1	40200000	41200000	253
chr1	40300000	41300000	264
chr1	40400000	41400000	260
chr1	40500000	41500000	266
chr1	40600000	41600000	268
chr1	40700000	41700000	256
chr1	40800000	41800000	256
chr1	40900000	41900000	238
chr1	41000000	42000000	242
chr1	41100000	42100000	257
chr1	41200000	42200000	244
chr1	41300000	42300000	247
chr1	41400000	42400000	263
chr1	41500000	42500000	265
chr1	41600000	42600000	260
chr1	41700000	42700000	260
chr1	41800000	42800000	268
chr1	41900000	42900000	286
chr1	42000000	43000000	300
chr1	42100000	43100000	296
chr1	42200000	43200000	300
chr1	42300000	43300000	299
chr1	42400000	43400000	297
chr1	42500000	43500000	291
chr1	42600000	43600000	286
chr1	42700000	43700000	283
chr1	42800000	43800000	279
chr1	42900000	43900000	271
chr1	43000000	44000000	245
chr1	43100000	44100000	236
chr1	43200000	44200000	221
chr1	43300000	44300000	211
chr1	43400000	44400000	197
chr1	43500000	44500000	191
chr1	43600000	44600000	204
chr1	43700000	44700000	210
chr1	43800000	44800000	210
chr1	43900000	44900000	216
chr1	44000000	45000000	224
chr1	44100000	45100000	231
chr1	44200000	45200000	251
chr1	44300000	45300000	247
chr1	44400000	45400000	252
chr1	44500000	45500000	250
chr1	44600000	45600000	235
chr1	44700000	45700000	240
chr1	44800000	45800000	242
chr1	44900000	45900000	239
chr1	45000000	46000000	244
chr1	45100000	46100000	235
chr1	45200000	46200000	223
chr1	45300000	46300000	224
chr1	45400000	46400000	226
chr1	45500000	46500000	224
chr1	45600000	46600000	230
chr1	45700000	46700000	222
chr1	45800000	46800000	219
chr1	45900000	46900000	215
chr1	46000000	47000000	214
chr1	46100000	47100000	218
chr1	46200000	47200000	226
chr1	46300000	47300000	242
chr1	46400000	47400000	244
chr1	46500000	47500000	256
chr1	46600000	47600000	253
chr1	46700000	47700000	252
chr1	46800000	47800000	241
chr1	46900000	47900000	241
chr1	47000000	48000000	239
chr1	47100000	48100000	241
chr1	47200000	48200000	244
chr1	47300000	48300000	236
chr1	47400000	48400000	232
chr1	47500000	48500000	246
chr1	47600000	48600000	242
chr1	47700000	48700000	255
chr1	47800000	48800000	269
chr1	47900000	48900000	279
chr1	48000000	49000000	288
chr1	48100000	49100000	301
chr1	48200000	49200000	292
chr1	48300000	49300000	295
chr1	48400000	49400000	302
chr1	48500000	49500000	292
chr1	48600000	49600000	309
chr1	48700000	49700000	303
chr1	48800000	49800000	301
chr1	48900000	49900000	306
chr1	49000000	50000000	315
chr1	49100000	50100000	301
chr1	49200000	50200000	325
chr1	49300000	50300000	325
chr1	49400000	50400000	319
chr1	49500000	50500000	317
chr1	49600000	50600000	323
chr1	49700000	50700000	317
chr1	49800000	50800000	312
chr1	49900000	50900000	300
chr1	50000000	51000000	287
chr1	50100000	51100000	300
chr1	50200000	51200000	277
chr1	50300000	51300000	272
chr1	50400000	51400000	281
chr1	50500000	51500000	281
chr1	50600000	51600000	269
chr1	50700000	51700000	269
chr1	50800000	51800000	272
chr1	50900000	51900000	266
chr1	51000000	52000000	266
chr1	51100000	52100000	255
chr1	51200000	52200000	265
chr1	51300000	52300000	274
chr1	51400000	52400000	272
chr1	51500000	52500000	259
chr1	51600000	52600000	253
chr1	51700000	52700000	255
chr1	51800000	52800000	253
chr1	51900000	52900000	263
chr1	52000000	53000000	268
chr1	52100000	53100000	264
chr1	52200000	53200000	253
chr1	52300000	53300000	248
chr1	52400000	53400000	239
chr1	52500000	53500000	246
chr1	52600000	53600000	249
chr1	52700000	53700000	253
chr1	52800000	53800000	250
chr1	52900000	53900000	243
chr1	53000000	54000000	241
chr1	53100000	54100000	254
chr1	53200000	54200000	252
chr1	53300000	54300000	252
chr1	53400000	54400000	250
chr1	53500000	54500000	246
chr1	53600000	54600000	247
chr1	53700000	54700000	242
chr1	53800000	54800000	249
chr1	53900000	54900000	254
chr1	54000000	55000000	250
chr1	54100000	55100000	231
chr1	54200000	55200000	246
chr1	54300000	55300000	238
chr1	54400000	55400000	239
chr1	54500000	55500000	241
chr1	54600000	55600000	246
chr1	54700000	55700000	260
chr1	54800000	55800000	270
chr1	54900000	55900000	286
chr1	55000000	56000000	300
chr1	55100000	56100000	322
chr1	55200000	56200000	324
chr1	55300000	56300000	343
chr1	55400000	56400000	369
chr1	55500000	56500000	380
chr1	55600000	56600000	381
chr1	55700000	56700000	378
chr1	55800000	56800000	367
chr1	55900000	56900000	348
chr1	56000000	57000000	330
chr1	56100000	57100000	325
chr1	56200000	57200000	322
chr1	56300000	57300000	318
chr1	56400000	57400000	306
chr1	56500000	57500000	312
chr1	56600000	57600000	314
chr1	56700000	57700000	310
chr1	56800000	57800000	311
chr1	56900000	57900000	325
chr1	57000000	58000000	340
chr1	57100000	58100000	350
chr1	57200000	58200000	348
chr1	57300000	58300000	348
chr1	57400000	58400000	343
chr1	57500000	58500000	333
chr1	57600000	58600000	321
chr1	57700000	58700000	324
chr1	57800000	58800000	332
chr1	57900000	58900000	318
chr1	58000000	59000000	311
chr1	58100000	59100000	299
chr1	58200000	59200000	295
chr1	58300000	59300000	284
chr1	58400000	59400000	283
chr1	58500000	59500000	281
chr1	58600000	59600000	290
chr1	58700000	59700000	289
chr1	58800000	59800000	284
chr1	58900000	59900000	287
chr1	59000000	60000000	286
chr1	59100000	60100000	295
chr1	59200000	60200000	303
chr1	59300000	60300000	321
chr1	59400000	60400000	318
chr1	59500000	60500000	325
chr1	59600000	60600000	317
chr1	59700000	60700000	316
chr1	59800000	60800000	311
chr1	59900000	60900000	315
chr1	60000000	61000000	314
chr1	60100000	61100000	301
chr1	60200000	61200000	301
chr1	60300000	61300000	297
chr1	60400000	61400000	303
chr1	60500000	61500000	301
chr1	60600000	61600000	306
chr1	60700000	61700000	308
chr1	60800000	61800000	316
chr1	60900000	61900000	323
chr1	61000000	62000000	330
chr1	61100000	62100000	336
chr1	61200000	62200000	320
chr1	61300000	62300000	309
chr1	61400000	62400000	315
chr1	61500000	62500000	321
chr1	61600000	62600000	312
chr1	61700000	62700000	291
chr1	61800000	62800000	281
chr1	61900000	62900000	269
chr1	62000000	63000000	267
chr1	62100000	63100000	268
chr1	62200000	63200000	274
chr1	62300000	63300000	270
chr1	62400000	63400000	266
chr1	62500000	63500000	266
chr1	62600000	63600000	277
chr1	62700000	63700000	296
chr1	62800000	63800000	294
chr1	62900000	63900000	291
chr1	63000000	64000000	291
chr1	63100000	64100000	291
chr1	63200000	64200000	294
chr1	63300000	64300000	301
chr1	63400000	64400000	301
chr1	63500000	64500000	290
chr1	63600000	64600000	300
chr1	63700000	64700000	299
chr1	63800000	64800000	313
chr1	63900000	64900000	314
chr1	64000000	65000000	305
chr1	64100000	65100000	300
chr1	64200000	65200000	300
chr1	64300000	65300000	319
chr1	64400000	65400000	315
chr1	64500000	65500000	310
chr1	64600000	65600000	291
chr1	64700000	65700000	288
chr1	64800000	65800000	283
chr1	64900000	65900000	287
chr1	65000000	66000000	291
chr1	65100000	66100000	297
chr1	65200000	66200000	303
chr1	65300000	66300000	282
chr1	65400000	66400000	289
chr1	65500000	66500000	300
chr1	65600000	66600000	317
chr1	65700000	66700000	317
chr1	65800000	66800000	332
chr1	65900000	66900000	335
chr1	66000000	67000000	339
chr1	66100000	67100000	340
chr1	66200000	67200000	337
chr1	66300000	67300000	345
chr1	66400000	67400000	329
chr1	66500000	67500000	334
chr1	66600000	67600000	315
chr1	66700000	67700000	314
chr1	66800000	67800000	294
chr1	66900000	67900000	294
chr1	67000000	68000000	287
chr1	67100000	68100000	279
chr1	67200000	68200000	286
chr1	67300000	68300000	282
chr1	67400000	68400000	285
chr1	67500000	68500000	290
chr1	67600000	68600000	295
chr1	67700000	68700000	302
chr1	67800000	68800000	295
chr1	67900000	68900000	294
chr1	68000000	69000000	300
chr1	68100000	69100000	304
chr1	68200000	69200000	306
chr1	68300000	69300000	312
chr1	68400000	69400000	317
chr1	68500000	69500000	305
chr1	68600000	69600000	315
chr1	68700000	69700000	317
chr1	68800000	69800000	335
chr1	68900000	69900000	331
chr1	69000000	70000000	330
chr1	69100000	70100000	338
chr1	69200000	70200000	328
chr1	69300000	70300000	312
chr1	69400000	70400000	319
chr1	69500000	70500000	326
chr1	69600000	70600000	330
chr1	69700000	70700000	329
chr1	69800000	70800000	330
chr1	69900000	70900000	332
chr1	70000000	71000000	322
chr1	70100000	71100000	305
chr1	70200000	71200000	307
chr1	70300000	71300000	324
chr1	70400000	71400000	320
chr1	70500000	71500000	324
chr1	70600000	71600000	315
chr1	70700000	71700000	314
chr1	70800000	71800000	313
chr1	70900000	71900000	315
chr1	71000000	72000000	326
chr1	71100000	72100000	327
chr1	71200000	72200000	322
chr1	71300000	72300000	310
chr1	71400000	72400000	305
chr1	71500000	72500000	291
chr1	71600000	72600000	308
chr1	71700000	72700000	305
chr1	71800000	72800000	304
chr1	71900000	72900000	298
chr1	72000000	73000000	298
chr1	72100000	73100000	307
chr1	72200000	73200000	322
chr1	72300000	73300000	332
chr1	72400000	73400000	350
chr1	72500000	73500000	354
chr1	72600000	73600000	337
chr1	72700000	73700000	332
chr1	72800000	73800000	330
chr1	72900000	73900000	342
chr1	73000000	74000000	343
chr1	73100000	74100000	338
chr1	73200000	74200000	325
chr1	73300000	74300000	316
chr1	73400000	74400000	304
chr1	73500000	74500000	310
chr1	73600000	74600000	316
chr1	73700000	74700000	312
chr1	73800000	74800000	314
chr1	73900000	74900000	316
chr1	74000000	75000000	323
chr1	74100000	75100000	338
chr1	74200000	75200000	332
chr1	74300000	75300000	344
chr1	74400000	75400000	349
chr1	74500000	75500000	351
chr1	74600000	75600000	345
chr1	74700000	75700000	372
chr1	74800000	75800000	377
chr1	74900000	75900000	370
chr1	75000000	76000000	365
chr1	75100000	76100000	352
chr1	75200000	76200000	353
chr1	75300000	76300000	343
chr1	75400000	76400000	329
chr1	75500000	76500000	318
chr1	75600000	76600000	322
chr1	75700000	76700000	302
chr1	75800000	76800000	311
chr1	75900000	76900000	308
chr1	76000000	77000000	310
chr1	76100000	77100000	310
chr1	76200000	77200000	313
chr1	76300000	77300000	317
chr1	76400000	77400000	332
chr1	76500000	77500000	351
chr1	76600000	77600000	349
chr1	76700000	77700000	347
chr1	76800000	77800000	324
chr1	76900000	77900000	325
chr1	77000000	78000000	324
chr1	77100000	78100000	324
chr1	77200000	78200000	317
chr1	77300000	78300000	310
chr1	77400000	78400000	290
chr1	77500000	78500000	281
chr1	77600000	78600000	268
chr1	77700000	78700000	275
chr1	77800000	78800000	288
chr1	77900000	78900000	280
chr1	78000000	79000000	277
chr1	78100000	79100000	276
chr1	78200000	79200000	291
chr1	78300000	79300000	291
chr1	78400000	79400000	313
chr1	78500000	79500000	304
chr1	78600000	79600000	318
chr1	78700000	79700000	312
chr1	78800000	79800000	302
chr1	78900000	79900000	310
chr1	79000000	80000000	311
chr1	79100000	80100000	324
chr1	79200000	80200000	318
chr1	79300000	80300000	313
chr1	79400000	80400000	304
chr1	79500000	80500000	310
chr1	79600000	80600000	313
chr1	79700000	80700000	319
chr1	79800000	80800000	319
chr1	79900000	80900000	317
chr1	80000000	81000000	323
chr1	80100000	81100000	305
chr1	80200000	81200000	317
chr1	80300000	81300000	343
chr1	80400000	81400000	343
chr1	80500000	81500000	341
chr1	80600000	81600000	344
chr1	80700000	81700000	358
chr1	80800000	81800000	375
chr1	80900000	81900000	380
chr1	81000000	82000000	372
chr1	81100000	82100000	391
chr1	81200000	82200000	387
chr1	81300000	82300000	376
chr1	81400000	82400000	376
chr1	81500000	82500000	380
chr1	81600000	82600000	376
chr1	81700000	82700000	364
chr1	81800000	82800000	359
chr1	81900000	82900000	358
chr1	82000000	83000000	364
chr1	82100000	83100000	361
chr1	82200000	83200000	367
chr1	82300000	83300000	373
chr1	82400000	83400000	369
chr1	82500000	83500000	361
chr1	82600000	83600000	373
chr1	82700000	83700000	371
chr1	82800000	83800000	363
chr1	82900000	83900000	366
chr1	83000000	84000000	362
chr1	83100000	84100000	357
chr1	83200000	84200000	350
chr1	83300000	84300000	343
chr1	83400000	84400000	346
chr1	83500000	84500000	337
chr1	83600000	84600000	317
chr1	83700000	84700000	327
chr1	83800000	84800000	327
chr1	83900000	84900000	326
chr1	84000000	85000000	319
chr1	84100000	85100000	321
chr1	84200000	85200000	318
chr1	84300000	85300000	319
chr1	84400000	85400000	316
chr1	84500000	85500000	321
chr1	84600000	85600000	322
chr1	84700000	85700000	308
chr1	84800000	85800000	303
chr1	84900000	85900000	318
chr1	85000000	86000000	329
chr1	85100000	86100000	322
chr1	85200000	86200000	326
chr1	85300000	86300000	317
chr1	85400000	86400000	325
chr1	85500000	86500000	337
chr1	85600000	86600000	349
chr1	85700000	86700000	349
chr1	85800000	86800000	363
chr1	85900000	86900000	353
chr1	86000000	87000000	355
chr1	86100000	87100000	364
chr1	86200000	87200000	372
chr1	86300000	87300000	377
chr1	86400000	87400000	379
chr1	86500000	87500000	371
chr1	86600000	87600000	371
chr1	86700000	87700000	383
chr1	86800000	87800000	383
chr1	86900000	87900000	383
chr1	87000000	88000000	364
chr1	87100000	88100000	358
chr1	87200000	88200000	341
chr1	87300000	88300000	342
chr1	87400000	88400000	345
chr1	87500000	88500000	355
chr1	87600000	88600000	345
chr1	87700000	88700000	341
chr1	87800000	88800000	337
chr1	87900000	88900000	337
chr1	88000000	89000000	350
chr1	88100000	89100000	338
chr1	88200000	89200000	358
chr1	88300000	89300000	352
chr1	88400000	89400000	332
chr1	88500000	89500000	324
chr1	88600000	89600000	324
chr1	88700000	89700000	330
chr1	88800000	89800000	323
chr1	88900000	89900000	316
chr1	89000000	90000000	314
chr1	89100000	90100000	322
chr1	89200000	90200000	301
chr1	89300000	90300000	305
chr1	89400000	90400000	317
chr1	89500000	90500000	313
chr1	89600000	90600000	309
chr1	89700000	90700000	293
chr1	89800000	90800000	300
chr1	89900000	90900000	300
chr1	90000000	91000000	301
chr1	90100000	91100000	307
chr1	90200000	91200000	317
chr1	90300000	91300000	327
chr1	90400000	91400000	315
chr1	90500000	91500000	334
chr1	90600000	91600000	336
chr1	90700000	91700000	350
chr1	90800000	91800000	340
chr1	90900000	91900000	335
chr1	91000000	92000000	337
chr1	91100000	92100000	338
chr1	91200000	92200000	327
chr1	91300000	92300000	313
chr1	91400000	92400000	308
chr1	91500000	92500000	289
chr1	91600000	92600000	291
chr1	91700000	92700000	273
chr1	91800000	92800000	275
chr1	91900000	92900000	282
chr1	92000000	93000000	280
chr1	92100000	93100000	281
chr1	92200000	93200000	285
chr1	92300000	93300000	278
chr1	92400000	93400000	284
chr1	92500000	93500000	292
chr1	92600000	93600000	285
chr1	92700000	93700000	301
chr1	92800000	93800000	303
chr1	92900000	93900000	302
chr1	93000000	94000000	290
chr1	93100000	94100000	288
chr1	93200000	94200000	283
chr1	93300000	94300000	300
chr1	93400000	94400000	305
chr1	93500000	94500000	298
chr1	93600000	94600000	298
chr1	93700000	94700000	290
chr1	93800000	94800000	286
chr1	93900000	94900000	284
chr1	94000000	95000000	300
chr1	94100000	95100000	294
chr1	94200000	95200000	292
chr1	94300000	95300000	286
chr1	94400000	95400000	291
chr1	94500000	95500000	297
chr1	94600000	95600000	296
chr1	94700000	95700000	294
chr1	94800000	95800000	299
chr1	94900000	95900000	296
chr1	95000000	96000000	295
chr1	95100000	96100000	298
chr1	95200000	96200000	312
chr1	95300000	96300000	311
chr1	95400000	96400000	313
chr1	95500000	96500000	319
chr1	95600000	96600000	334
chr1	95700000	96700000	342
chr1	95800000	96800000	327
chr1	95900000	96900000	339
chr1	96000000	97000000	336
chr1	96100000	97100000	338
chr1	96200000	97200000	332
chr1	96300000	97300000	334
chr1	96400000	97400000	323
chr1	96500000	97500000	323
chr1	96600000	97600000	315
chr1	96700000	97700000	317
chr1	96800000	97800000	332
chr1	96900000	97900000	337
chr1	97000000	98000000	335
chr1	97100000	98100000	338
chr1	97200000	98200000	335
chr1	97300000	98300000	347
chr1	97400000	98400000	363
chr1	97500000	98500000	374
chr1	97600000	98600000	377
chr1	97700000	98700000	372
chr1	97800000	98800000	373
chr1	97900000	98900000	360
chr1	98000000	99000000	371
chr1	98100000	99100000	360
chr1	98200000	99200000	375
chr1	98300000	99300000	366
chr1	98400000	99400000	356
chr1	98500000	99500000	343
chr1	98600000	99600000	346
chr1	98700000	99700000	343
chr1	98800000	99800000	336
chr1	98900000	99900000	332
chr1	99000000	100000000	334
chr1	99100000	100100000	345
chr1	99200000	100200000	325
chr1	99300000	100300000	313
chr1	99400000	100400000	315
chr1	99500000	100500000	311
chr1	99600000	100600000	309
chr1	99700000	100700000	307
chr1	99800000	100800000	298
